D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;2482;2017;55697;Viajeros;8253.83314233;A
40123;2482;2016;55698;Viajeros;28889.17428017;A
40123;2482;2016;55565;Viajeros;23003.303769335;A
40123;2482;2016;55697;Viajeros;5885.870510835;A
40123;2482;2015;55698;Viajeros;22365.23178181;A
40123;2482;2015;55565;Viajeros;19529.939318655;A
40123;2482;2015;55697;Viajeros;2835.292463155;A
40123;2482;2014;55698;Viajeros;26602.550510696;A
40123;2482;2014;55565;Viajeros;22012.400334777;A
40123;2482;2014;55697;Viajeros;4590.150175919;A
40123;2482;2013;55698;Viajeros;25523.09382157;A
40123;2482;2013;55565;Viajeros;20296.055096693;A
40123;2482;2013;55697;Viajeros;5227.038724877;A
40123;2713;2020;55698;Viajeros;15599.476289953;A
40123;2713;2020;55565;Viajeros;14030.086926866;A
40123;2713;2020;55697;Viajeros;1569.389363087;A
40123;2713;2019;55698;Viajeros;35164.628874713;A
40123;2713;2019;55565;Viajeros;23822.045014735;A
40123;2713;2019;55697;Viajeros;11342.583859978;A
40123;2713;2018;55698;Viajeros;32563.531433454;A
40123;2713;2018;55565;Viajeros;20283.998248177;A
40123;2713;2018;55697;Viajeros;12279.533185277;A
40123;2713;2017;55698;Viajeros;29583.546768178;A
40123;2713;2017;55565;Viajeros;18551.488685798;A
40123;2713;2017;55697;Viajeros;11032.05808238;A
40123;2713;2016;55698;Viajeros;25991.196332662;A
40123;2713;2016;55565;Viajeros;15959.523458557;A
40123;2713;2016;55697;Viajeros;10031.672874105;A
40123;2713;2015;55698;Viajeros;23873.225451322;A
40123;2713;2015;55565;Viajeros;16166.239935385;A
40123;2713;2015;55697;Viajeros;7706.985515937;A
40123;2713;2014;55698;Viajeros;25443.987339938;A
40123;2713;2014;55565;Viajeros;17748.638092224;A
40123;2713;2014;55697;Viajeros;7695.349247714;A
40123;2713;2013;55698;Viajeros;20480.132276912;A
40123;2713;2013;55565;Viajeros;14089.591386415;A
40123;2713;2013;55697;Viajeros;6390.540890497;A
40123;2797;2020;55698;Viajeros;23907.584932089;A
40123;2797;2020;55565;Viajeros;22694.741793237;A
40123;2797;2020;55697;Viajeros;1212.843138852;A
40123;2797;2019;55698;Viajeros;51707.238752611;A
40123;2797;2019;55565;Viajeros;45388.416386176;A
40123;2797;2019;55697;Viajeros;6318.822366435;A
40123;2797;2018;55698;Viajeros;44787.568557673;A
40123;2797;2018;55565;Viajeros;40874.745484641;A
40123;2797;2018;55697;Viajeros;3912.823073032;A
40123;2797;2017;55698;Viajeros;36442.771196148;A
40123;2797;2017;55565;Viajeros;32455.426137502;A
40123;2797;2017;55697;Viajeros;3987.345058646;A
