TEMPORAL;CNAE09;PUB_PRIV;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;INDICATOR;OBS_VALUE;FREQ
2013;8385;215135;ES61;215124;213227;UNIDADES;1.0;A
2013;8426;215134;ES61;215124;213227;UNIDADES;21.185099995;A
2013;8426;215135;ES61;215124;213227;UNIDADES;1.055555556;A
2013;8426;215136;ES61;215124;213227;UNIDADES;20.129544439;A
2014;7859;215134;ES61;215124;213227;UNIDADES;36.261496787;A
2014;7859;215136;ES61;215124;213227;UNIDADES;36.261496787;A
2014;7958;215134;ES61;215124;213227;UNIDADES;4.91;A
2014;7958;215135;ES61;215124;213227;UNIDADES;2.16;A
2014;7958;215136;ES61;215124;213227;UNIDADES;2.75;A
2014;7888;215134;ES61;215124;213227;UNIDADES;3.346801347;A
2014;7888;215136;ES61;215124;213227;UNIDADES;3.346801347;A
2014;8031;215134;ES61;215124;213227;UNIDADES;100.847199829;A
2014;8031;215135;ES61;215124;213227;UNIDADES;2.110495195;A
2014;8031;215136;ES61;215124;213227;UNIDADES;98.736704634;A
2014;8080;215134;ES61;215124;213227;UNIDADES;3.03030303;A
2014;8080;215136;ES61;215124;213227;UNIDADES;3.03030303;A
2014;8165;215134;ES61;215124;213227;UNIDADES;285.25915977;A
2014;8165;215135;ES61;215124;213227;UNIDADES;3.500977517;A
2014;8165;215136;ES61;215124;213227;UNIDADES;281.758182253;A
2014;8255;215134;ES61;215124;213227;UNIDADES;14.674573057;A
2014;8255;215135;ES61;215124;213227;UNIDADES;1.096;A
2014;8255;215136;ES61;215124;213227;UNIDADES;13.578573057;A
2014;8345;215134;ES61;215124;213227;UNIDADES;21.833875634;A
2014;8345;215135;ES61;215124;213227;UNIDADES;1.01744186;A
2014;8345;215136;ES61;215124;213227;UNIDADES;20.816433774;A
2014;8385;215134;ES61;215124;213227;UNIDADES;6.545163634;A
2014;8385;215135;ES61;215124;213227;UNIDADES;3.08775436;A
2014;8385;215136;ES61;215124;213227;UNIDADES;3.457409274;A
2014;8426;215134;ES61;215124;213227;UNIDADES;20.060783986;A
2014;8426;215135;ES61;215124;213227;UNIDADES;1.125;A
2014;8426;215136;ES61;215124;213227;UNIDADES;18.935783986;A
2015;7859;215134;ES61;215124;213227;UNIDADES;44.428440392;A
2015;7859;215136;ES61;215124;213227;UNIDADES;44.428440392;A
2015;7958;215134;ES61;215124;213227;UNIDADES;3.27070707;A
