TEMPORAL;TIPO_EMPRESA;NAT_GASTO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;215117;215185;ES61;IMPORTE;305839.5130000002;A
2020;215117;215177;ES61;IMPORTE;287870.8199333681;A
2020;215117;215183;ES61;IMPORTE;17968.693066632055;A
2020;215120;215185;ES61;IMPORTE;727876.3120000004;A
2020;215120;215177;ES61;IMPORTE;670268.8306453432;A
2020;215120;215183;ES61;IMPORTE;57607.48135465709;A
2020;215122;215185;ES61;IMPORTE;3272.145;A
2020;215122;215177;ES61;IMPORTE;3233.453441982545;A
2020;215122;215183;ES61;IMPORTE;38.691558017455;A
2020;215124;215185;ES61;IMPORTE;590259.5170011796;A
2020;215124;215177;ES61;IMPORTE;537764.8758869764;A
2020;215124;215183;ES61;IMPORTE;52494.641114203216;A
