TEMPORAL;CNAE09;TIPO_PERSONAL;SEXO;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;ESTUDIOS;INDICATOR;OBS_VALUE;FREQ
2008;217314;215155;M;ES61;215124;213227;_Z;PERSONAS;25.79323308;A
2008;217314;215155;F;ES61;215124;213227;_Z;PERSONAS;2.214285714;A
2008;217314;215156;_T;ES61;215124;213227;_Z;PERSONAS;8.507518796;A
2008;217314;215156;M;ES61;215124;213227;_Z;PERSONAS;6.428571428;A
2008;217314;215156;F;ES61;215124;213227;_Z;PERSONAS;2.078947368;A
2008;217314;215157;_T;ES61;215124;213227;_Z;PERSONAS;11.872180448;A
2008;217314;215157;M;ES61;215124;213227;_Z;PERSONAS;10.79323308;A
2008;217314;215157;F;ES61;215124;213227;_Z;PERSONAS;1.078947368;A
2008;217315;215154;_T;ES61;215124;213227;_Z;PERSONAS;34.623456781;A
2008;217315;215154;M;ES61;215124;213227;_Z;PERSONAS;22.014991176;A
2008;217315;215154;F;ES61;215124;213227;_Z;PERSONAS;12.608465605;A
2008;217315;215155;_T;ES61;215124;213227;_Z;PERSONAS;11.524691355;A
2008;217315;215155;M;ES61;215124;213227;_Z;PERSONAS;8.381834213;A
2008;217315;215155;F;ES61;215124;213227;_Z;PERSONAS;3.142857142;A
2008;217315;215156;_T;ES61;215124;213227;_Z;PERSONAS;15.716931213;A
2008;217315;215156;M;ES61;215124;213227;_Z;PERSONAS;9.465608463;A
2008;217315;215156;F;ES61;215124;213227;_Z;PERSONAS;6.25132275;A
2008;217315;215157;_T;ES61;215124;213227;_Z;PERSONAS;7.381834213;A
2008;217315;215157;M;ES61;215124;213227;_Z;PERSONAS;4.1675485;A
2008;217315;215157;F;ES61;215124;213227;_Z;PERSONAS;3.214285713;A
2008;217316;215154;_T;ES61;215124;213227;_Z;PERSONAS;22.783681215;A
2008;217316;215154;M;ES61;215124;213227;_Z;PERSONAS;12.548387097;A
2008;217316;215154;F;ES61;215124;213227;_Z;PERSONAS;10.235294118;A
2008;217316;215155;_T;ES61;215124;213227;_Z;PERSONAS;15.783681215;A
2008;217316;215155;M;ES61;215124;213227;_Z;PERSONAS;7.548387097;A
2008;217316;215155;F;ES61;215124;213227;_Z;PERSONAS;8.235294118;A
2008;217316;215156;_T;ES61;215124;213227;_Z;PERSONAS;7.0;A
2008;217316;215156;M;ES61;215124;213227;_Z;PERSONAS;5.0;A
2008;217316;215156;F;ES61;215124;213227;_Z;PERSONAS;2.0;A
2008;217316;215157;_T;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;217316;215157;M;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;217316;215157;F;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;7605;215154;_T;ES61;215124;213227;_Z;PERSONAS;35.719883885;A
2008;7605;215154;M;ES61;215124;213227;_Z;PERSONAS;30.719883885;A
2008;7605;215154;F;ES61;215124;213227;_Z;PERSONAS;5.0;A
2008;7605;215155;_T;ES61;215124;213227;_Z;PERSONAS;22.459361392;A
2008;7605;215155;M;ES61;215124;213227;_Z;PERSONAS;18.459361392;A
2008;7605;215155;F;ES61;215124;213227;_Z;PERSONAS;4.0;A
2008;7605;215156;_T;ES61;215124;213227;_Z;PERSONAS;7.690130622;A
2008;7605;215156;M;ES61;215124;213227;_Z;PERSONAS;6.690130622;A
2008;7605;215156;F;ES61;215124;213227;_Z;PERSONAS;1.0;A
2008;7605;215157;_T;ES61;215124;213227;_Z;PERSONAS;5.570391871;A
2008;7605;215157;M;ES61;215124;213227;_Z;PERSONAS;5.570391871;A
2008;7605;215157;F;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;7627;215154;_T;ES61;215124;213227;_Z;PERSONAS;86.333333334;A
2008;7627;215154;M;ES61;215124;213227;_Z;PERSONAS;53.166666667;A
2008;7627;215154;F;ES61;215124;213227;_Z;PERSONAS;33.166666667;A
2008;7627;215155;_T;ES61;215124;213227;_Z;PERSONAS;35.333333334;A
2008;7627;215155;M;ES61;215124;213227;_Z;PERSONAS;26.166666667;A
2008;7627;215155;F;ES61;215124;213227;_Z;PERSONAS;9.166666667;A
2008;7627;215156;_T;ES61;215124;213227;_Z;PERSONAS;26.0;A
2008;7627;215156;M;ES61;215124;213227;_Z;PERSONAS;13.0;A
2008;7627;215156;F;ES61;215124;213227;_Z;PERSONAS;13.0;A
2008;7627;215157;_T;ES61;215124;213227;_Z;PERSONAS;25.0;A
2008;7627;215157;M;ES61;215124;213227;_Z;PERSONAS;14.0;A
2008;7627;215157;F;ES61;215124;213227;_Z;PERSONAS;11.0;A
2008;7661;215154;_T;ES61;215124;213227;_Z;PERSONAS;27.01814441;A
2008;7661;215154;M;ES61;215124;213227;_Z;PERSONAS;13.704642857;A
2008;7661;215154;F;ES61;215124;213227;_Z;PERSONAS;13.313501553;A
2008;7661;215155;_T;ES61;215124;213227;_Z;PERSONAS;15.71064441;A
2008;7661;215155;M;ES61;215124;213227;_Z;PERSONAS;8.570892857;A
2008;7661;215155;F;ES61;215124;213227;_Z;PERSONAS;7.139751553;A
2008;7661;215156;_T;ES61;215124;213227;_Z;PERSONAS;6.17375;A
2008;7661;215156;M;ES61;215124;213227;_Z;PERSONAS;3.04;A
2008;7661;215156;F;ES61;215124;213227;_Z;PERSONAS;3.13375;A
2008;7661;215157;_T;ES61;215124;213227;_Z;PERSONAS;5.13375;A
2008;7661;215157;M;ES61;215124;213227;_Z;PERSONAS;2.09375;A
2008;7661;215157;F;ES61;215124;213227;_Z;PERSONAS;3.04;A
2009;7109;215154;_T;ES61;215124;213227;_Z;PERSONAS;68.318452388;A
2009;7109;215154;M;ES61;215124;213227;_Z;PERSONAS;54.588095244;A
2009;7109;215154;F;ES61;215124;213227;_Z;PERSONAS;13.730357144;A
2009;7109;215155;_T;ES61;215124;213227;_Z;PERSONAS;9.39702381;A
2009;7109;215155;M;ES61;215124;213227;_Z;PERSONAS;8.39702381;A
2009;7109;215155;F;ES61;215124;213227;_Z;PERSONAS;1.0;A
2009;7109;215156;_T;ES61;215124;213227;_Z;PERSONAS;29.627380957;A
2009;7109;215156;M;ES61;215124;213227;_Z;PERSONAS;24.294047623;A
2009;7109;215156;F;ES61;215124;213227;_Z;PERSONAS;5.333333334;A
2009;7109;215157;_T;ES61;215124;213227;_Z;PERSONAS;29.294047621;A
2009;7109;215157;M;ES61;215124;213227;_Z;PERSONAS;21.897023811;A
2009;7109;215157;F;ES61;215124;213227;_Z;PERSONAS;7.39702381;A
2009;217302;215154;_T;ES61;215124;213227;_Z;PERSONAS;341.513443228;A
2009;217302;215154;M;ES61;215124;213227;_Z;PERSONAS;239.410529758;A
2009;217302;215154;F;ES61;215124;213227;_Z;PERSONAS;102.10291347;A
2009;217302;215155;_T;ES61;215124;213227;_Z;PERSONAS;113.714159996;A
2009;217302;215155;M;ES61;215124;213227;_Z;PERSONAS;73.998845607;A
2009;217302;215155;F;ES61;215124;213227;_Z;PERSONAS;39.715314389;A
2009;217302;215156;_T;ES61;215124;213227;_Z;PERSONAS;122.450622031;A
2009;217302;215156;M;ES61;215124;213227;_Z;PERSONAS;76.447277545;A
2009;217302;215156;F;ES61;215124;213227;_Z;PERSONAS;46.003344486;A
2009;217302;215157;_T;ES61;215124;213227;_Z;PERSONAS;105.348661201;A
2009;217302;215157;M;ES61;215124;213227;_Z;PERSONAS;88.964406606;A
2009;217302;215157;F;ES61;215124;213227;_Z;PERSONAS;16.384254595;A
2009;217304;215154;_T;ES61;215124;213227;_Z;PERSONAS;38.919171752;A
2009;217304;215154;M;ES61;215124;213227;_Z;PERSONAS;12.714134394;A
2009;217304;215154;F;ES61;215124;213227;_Z;PERSONAS;26.205037358;A
2009;217304;215155;_T;ES61;215124;213227;_Z;PERSONAS;10.14936043;A
2009;217304;215155;M;ES61;215124;213227;_Z;PERSONAS;7.900926846;A
2009;217304;215155;F;ES61;215124;213227;_Z;PERSONAS;2.248433584;A
2009;217304;215156;_T;ES61;215124;213227;_Z;PERSONAS;13.313207548;A
2009;217304;215156;M;ES61;215124;213227;_Z;PERSONAS;3.756603774;A
2009;217304;215156;F;ES61;215124;213227;_Z;PERSONAS;9.556603774;A
2009;217304;215157;_T;ES61;215124;213227;_Z;PERSONAS;15.456603774;A
2009;217304;215157;M;ES61;215124;213227;_Z;PERSONAS;1.056603774;A
2009;217304;215157;F;ES61;215124;213227;_Z;PERSONAS;14.4;A
2009;217305;215154;_T;ES61;215124;213227;_Z;PERSONAS;44.101477044;A
2009;217305;215154;M;ES61;215124;213227;_Z;PERSONAS;38.530935564;A
2009;217305;215154;F;ES61;215124;213227;_Z;PERSONAS;5.57054148;A
2009;217305;215155;_T;ES61;215124;213227;_Z;PERSONAS;18.939071502;A
2009;217305;215155;M;ES61;215124;213227;_Z;PERSONAS;16.772404835;A
2009;217305;215155;F;ES61;215124;213227;_Z;PERSONAS;2.166666667;A
2009;217305;215156;_T;ES61;215124;213227;_Z;PERSONAS;18.614786495;A
2009;217305;215156;M;ES61;215124;213227;_Z;PERSONAS;15.210911682;A
2009;217305;215156;F;ES61;215124;213227;_Z;PERSONAS;3.403874813;A
2009;217305;215157;_T;ES61;215124;213227;_Z;PERSONAS;6.547619047;A
2009;217305;215157;M;ES61;215124;213227;_Z;PERSONAS;6.547619047;A
2009;217305;215157;F;ES61;215124;213227;_Z;PERSONAS;0.0;A
2009;217306;215154;_T;ES61;215124;213227;_Z;PERSONAS;197.67337471;A
2009;217306;215154;M;ES61;215124;213227;_Z;PERSONAS;113.773902716;A
2009;217306;215154;F;ES61;215124;213227;_Z;PERSONAS;83.899471994;A
2009;217306;215155;_T;ES61;215124;213227;_Z;PERSONAS;111.795323279;A
2009;217306;215155;M;ES61;215124;213227;_Z;PERSONAS;67.165910544;A
2009;217306;215155;F;ES61;215124;213227;_Z;PERSONAS;44.629412735;A
2009;217306;215156;_T;ES61;215124;213227;_Z;PERSONAS;51.296413214;A
2009;217306;215156;M;ES61;215124;213227;_Z;PERSONAS;28.50761068;A
2009;217306;215156;F;ES61;215124;213227;_Z;PERSONAS;22.788802534;A
2009;217306;215157;_T;ES61;215124;213227;_Z;PERSONAS;34.581638217;A
2009;217306;215157;M;ES61;215124;213227;_Z;PERSONAS;18.100381492;A
2009;217306;215157;F;ES61;215124;213227;_Z;PERSONAS;16.481256725;A
2009;217307;215154;_T;ES61;215124;213227;_Z;PERSONAS;113.135713185;A
2009;217307;215154;M;ES61;215124;213227;_Z;PERSONAS;102.45825427;A
2009;217307;215154;F;ES61;215124;213227;_Z;PERSONAS;10.677458915;A
2009;217307;215155;_T;ES61;215124;213227;_Z;PERSONAS;31.488178243;A
2009;217307;215155;M;ES61;215124;213227;_Z;PERSONAS;25.943169658;A
2009;217307;215155;F;ES61;215124;213227;_Z;PERSONAS;5.545008585;A
2009;217307;215156;_T;ES61;215124;213227;_Z;PERSONAS;59.06475349;A
2009;217307;215156;M;ES61;215124;213227;_Z;PERSONAS;57.011773358;A
2009;217307;215156;F;ES61;215124;213227;_Z;PERSONAS;2.052980132;A
2009;217307;215157;_T;ES61;215124;213227;_Z;PERSONAS;22.582781452;A
2009;217307;215157;M;ES61;215124;213227;_Z;PERSONAS;19.503311254;A
2009;217307;215157;F;ES61;215124;213227;_Z;PERSONAS;3.079470198;A
2009;217308;215154;_T;ES61;215124;213227;_Z;PERSONAS;92.005434028;A
2009;217308;215154;M;ES61;215124;213227;_Z;PERSONAS;82.97345559;A
2009;217308;215154;F;ES61;215124;213227;_Z;PERSONAS;9.031978438;A
2009;217308;215155;_T;ES61;215124;213227;_Z;PERSONAS;48.144145808;A
2009;217308;215155;M;ES61;215124;213227;_Z;PERSONAS;44.98469068;A
2009;217308;215155;F;ES61;215124;213227;_Z;PERSONAS;3.159455128;A
2009;217308;215156;_T;ES61;215124;213227;_Z;PERSONAS;15.977422698;A
2009;217308;215156;M;ES61;215124;213227;_Z;PERSONAS;12.78671757;A
2009;217308;215156;F;ES61;215124;213227;_Z;PERSONAS;3.190705128;A
2009;217308;215157;_T;ES61;215124;213227;_Z;PERSONAS;27.883865522;A
2009;217308;215157;M;ES61;215124;213227;_Z;PERSONAS;25.20204734;A
2009;217308;215157;F;ES61;215124;213227;_Z;PERSONAS;2.681818182;A
2009;217309;215154;_T;ES61;215124;213227;_Z;PERSONAS;140.812523932;A
2009;217309;215154;M;ES61;215124;213227;_Z;PERSONAS;121.352811024;A
2009;217309;215154;F;ES61;215124;213227;_Z;PERSONAS;19.459712908;A
2009;217309;215155;_T;ES61;215124;213227;_Z;PERSONAS;59.489726009;A
2009;217309;215155;M;ES61;215124;213227;_Z;PERSONAS;56.369036354;A
2009;217309;215155;F;ES61;215124;213227;_Z;PERSONAS;3.120689655;A
2009;217309;215156;_T;ES61;215124;213227;_Z;PERSONAS;31.064348854;A
2009;217309;215156;M;ES61;215124;213227;_Z;PERSONAS;27.998359006;A
2009;217309;215156;F;ES61;215124;213227;_Z;PERSONAS;3.065989848;A
2009;217309;215157;_T;ES61;215124;213227;_Z;PERSONAS;50.258449069;A
2009;217309;215157;M;ES61;215124;213227;_Z;PERSONAS;36.985415664;A
2009;217309;215157;F;ES61;215124;213227;_Z;PERSONAS;13.273033405;A
2009;217310;215154;_T;ES61;215124;213227;_Z;PERSONAS;178.449596838;A
2009;217310;215154;M;ES61;215124;213227;_Z;PERSONAS;151.335887151;A
2009;217310;215154;F;ES61;215124;213227;_Z;PERSONAS;27.113709687;A
2009;217310;215155;_T;ES61;215124;213227;_Z;PERSONAS;66.930241958;A
