D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55107;55565;2014;Viajeros;51210.108333004;A
40123;55107;55697;2020;Viajeros;1141.238111324;A
40123;55107;55697;2019;Viajeros;11963.598333333;A
40123;55107;55697;2018;Viajeros;11440.036309541;A
40123;55107;55697;2017;Viajeros;9772.948519867;A
40123;55107;55697;2016;Viajeros;4733.868749986;A
40123;55107;55697;2015;Viajeros;3904.839912241;A
40123;55107;55697;2014;Viajeros;3510.204166703;A
40123;55107;55577;2020;Viajeros;24.8;A
40123;55107;55577;2019;Viajeros;322.593333333;A
40123;55107;55577;2018;Viajeros;148.08571429;A
40123;55107;55577;2017;Viajeros;62.988596554;A
40123;55107;55577;2016;Viajeros;62.866666667;A
40123;55107;55577;2015;Viajeros;25.099122807;A
40123;55107;55577;2014;Viajeros;116.6;A
40123;55107;516705;2019;Viajeros;14.266666667;A
40123;55107;516705;2018;Viajeros;15.75;A
40123;55107;516706;2020;Viajeros;19.891666667;A
40123;55107;516706;2019;Viajeros;109.345833333;A
40123;55107;516706;2018;Viajeros;178.07738095;A
40123;55107;516706;2017;Viajeros;92.960128561;A
40123;55107;516706;2016;Viajeros;131.73333333;A
40123;55107;516706;2015;Viajeros;32.679166667;A
40123;55107;516706;2014;Viajeros;31.820833333;A
40123;55107;516707;2020;Viajeros;16.533333333;A
40123;55107;516707;2019;Viajeros;12.133333333;A
40123;55107;516707;2018;Viajeros;46.866666667;A
40123;55107;516707;2017;Viajeros;-;A
40123;55107;516707;2016;Viajeros;12.4;A
40123;55107;516707;2015;Viajeros;-;A
40123;55107;516707;2014;Viajeros;-;A
40123;55107;516708;2019;Viajeros;-;A
40123;55107;516708;2018;Viajeros;12.4;A
40123;55107;55568;2020;Viajeros;229.056949807;A
40123;55107;55568;2019;Viajeros;883.475;A
40123;55107;55568;2018;Viajeros;935.56666667;A
40123;55107;55568;2017;Viajeros;602.9950236;A
40123;55107;55568;2016;Viajeros;343.35;A
40123;55107;55568;2015;Viajeros;813.86666667;A
40123;55107;55568;2014;Viajeros;575.70416667;A
40123;55107;516709;2020;Viajeros;-;A
40123;55107;516709;2019;Viajeros;45.466666667;A
40123;55107;516710;2020;Viajeros;24.413626126;A
40123;55107;516710;2019;Viajeros;499.4;A
40123;55107;516710;2018;Viajeros;587.23809524;A
40123;55107;516710;2017;Viajeros;118.26954184;A
40123;55107;516710;2016;Viajeros;165.48958333;A
40123;55107;516710;2015;Viajeros;62.6;A
40123;55107;516710;2014;Viajeros;44.816666667;A
40123;55107;516711;2020;Viajeros;39.984459459;A
40123;55107;516711;2019;Viajeros;329.747916667;A
40123;55107;516711;2018;Viajeros;215.0202381;A
40123;55107;516711;2017;Viajeros;124.25688505;A
40123;55107;516711;2016;Viajeros;63.383333333;A
40123;55107;516711;2015;Viajeros;86.9125;A
40123;55107;516711;2014;Viajeros;102.6625;A
40123;55107;516712;2018;Viajeros;-;A
40123;55107;55571;2020;Viajeros;38.875;A
40123;55107;55571;2019;Viajeros;176.483333333;A
40123;55107;55571;2018;Viajeros;106.56190476;A
40123;55107;55571;2017;Viajeros;83.07798924;A
40123;55107;55571;2016;Viajeros;85.089583333;A
40123;55107;55571;2015;Viajeros;83.083333333;A
40123;55107;55571;2014;Viajeros;54.229166667;A
40123;55107;516713;2020;Viajeros;10.2;A
40123;55107;516713;2019;Viajeros;640.495;A
40123;55107;516713;2018;Viajeros;1320.7333333;A
40123;55107;516713;2017;Viajeros;1062.3748279;A
40123;55107;516713;2016;Viajeros;228.53333333;A
40123;55107;516713;2015;Viajeros;86.9125;A
40123;55107;516713;2014;Viajeros;53.533333333;A
40123;55107;516715;2020;Viajeros;105.647619048;A
40123;55107;516715;2019;Viajeros;124.133333333;A
40123;55107;516715;2018;Viajeros;92.8125;A
40123;55107;516715;2017;Viajeros;70.431724698;A
40123;55107;516715;2016;Viajeros;78.425;A
40123;55107;516715;2015;Viajeros;76.579166667;A
40123;55107;516715;2014;Viajeros;-;A
40123;55107;55574;2020;Viajeros;237.389623552;A
40123;55107;55574;2019;Viajeros;7145.99125;A
40123;55107;55574;2018;Viajeros;6598.4416667;A
40123;55107;55574;2017;Viajeros;6500.6161664;A
40123;55107;55574;2016;Viajeros;2921.21875;A
40123;55107;55574;2015;Viajeros;2090.7199561;A
40123;55107;55574;2014;Viajeros;2098.3041667;A
40123;55107;516716;2019;Viajeros;169.2;A
40123;55107;516716;2018;Viajeros;200.8;A
