D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
40123;55697;2019;3023;Viajeros;925786.930385657;A
40123;55697;2019;3142;Viajeros;264965.568736627;A
40123;55697;2018;3143;Viajeros;1351343.2470229;A
40123;55697;2018;2352;Viajeros;30911.511430719;A
40123;55697;2018;2402;Viajeros;53373.84756792;A
40123;55697;2018;2482;Viajeros;20398.87774955;A
40123;55697;2018;2713;Viajeros;97042.99804366;A
40123;55697;2018;2797;Viajeros;11615.097363021;A
40123;55697;2018;2911;Viajeros;2649.35765699;A
40123;55697;2018;3023;Viajeros;887992.50873498;A
40123;55697;2018;3142;Viajeros;247359.04847606;A
40123;55697;2017;3143;Viajeros;1328622.038716451;A
40123;55697;2017;2352;Viajeros;33201.893151028;A
40123;55697;2017;2402;Viajeros;44836.802062248;A
40123;55697;2017;2482;Viajeros;25419.118801269;A
40123;55697;2017;2713;Viajeros;67149.56336167;A
40123;55697;2017;2797;Viajeros;6909.017558514;A
40123;55697;2017;2911;Viajeros;2557.201130332;A
40123;55697;2017;3023;Viajeros;930339.66446946;A
40123;55697;2017;3142;Viajeros;218208.77818193;A
40123;55697;2016;3143;Viajeros;1125972.926632315;A
40123;55697;2016;2352;Viajeros;25342.749832757;A
40123;55697;2016;2402;Viajeros;31889.553222946;A
40123;55697;2016;2482;Viajeros;17316.497041425;A
40123;55697;2016;2713;Viajeros;88569.5540304;A
40123;55697;2016;2797;Viajeros;6951.427325008;A
40123;55697;2016;2911;Viajeros;3524.431377019;A
40123;55697;2016;3023;Viajeros;792277.10964459;A
40123;55697;2016;3142;Viajeros;160101.60415817;A
40123;55697;2015;3143;Viajeros;978153.725494761;A
40123;55697;2015;2352;Viajeros;23206.561290511;A
40123;55697;2015;2402;Viajeros;33310.760179405;A
40123;55697;2015;2482;Viajeros;10437.079674476;A
40123;55697;2015;2713;Viajeros;78113.45273715;A
40123;55697;2015;2797;Viajeros;5293.47588087;A
40123;55697;2015;2911;Viajeros;2565.547653909;A
40123;55697;2015;3023;Viajeros;702051.87193825;A
40123;55697;2015;3142;Viajeros;123174.97614019;A
40123;55697;2014;3143;Viajeros;865082.002261164;A
40123;55697;2014;2352;Viajeros;20200.607810241;A
40123;55697;2014;2402;Viajeros;29364.839150639;A
40123;55697;2014;2482;Viajeros;10888.081351743;A
40123;55697;2014;2713;Viajeros;55094.282872013;A
40123;55697;2014;2797;Viajeros;5301.830608444;A
40123;55697;2014;2911;Viajeros;1969.917770954;A
40123;55697;2014;3023;Viajeros;627196.94507203;A
40123;55697;2014;3142;Viajeros;115065.4976251;A
40123;55577;2020;3143;Viajeros;14481.726717076;A
40123;55577;2020;2352;Viajeros;513.341042876;A
40123;55577;2020;2402;Viajeros;1189.61873479;A
40123;55577;2020;2482;Viajeros;245.541111196;A
40123;55577;2020;2713;Viajeros;818.576134924;A
40123;55577;2020;2797;Viajeros;69.770461776;A
40123;55577;2020;2911;Viajeros;100.750961579;A
40123;55577;2020;3023;Viajeros;10343.229558147;A
40123;55577;2020;3142;Viajeros;1200.898711788;A
40123;55577;2019;3143;Viajeros;80972.225572344;A
40123;55577;2019;2352;Viajeros;1865.997801651;A
40123;55577;2019;2402;Viajeros;10847.492232608;A
40123;55577;2019;2482;Viajeros;1985.682807043;A
40123;55577;2019;2713;Viajeros;6261.396472338;A
40123;55577;2019;2797;Viajeros;426.030259636;A
40123;55577;2019;2911;Viajeros;231.08892119;A
40123;55577;2019;3023;Viajeros;48582.807442203;A
40123;55577;2019;3142;Viajeros;10771.729635675;A
40123;55577;2018;3143;Viajeros;78258.19349395;A
40123;55577;2018;2352;Viajeros;1214.0702643;A
40123;55577;2018;2402;Viajeros;10897.69925;A
40123;55577;2018;2482;Viajeros;1694.6154134;A
40123;55577;2018;2713;Viajeros;7127.564985;A
40123;55577;2018;2797;Viajeros;477.46167764;A
40123;55577;2018;2911;Viajeros;371.42107561;A
40123;55577;2018;3023;Viajeros;44922.996018;A
40123;55577;2018;3142;Viajeros;11552.36481;A
40123;55577;2017;3143;Viajeros;78052.97151073;A
40123;55577;2017;2352;Viajeros;1807.8183146;A
40123;55577;2017;2402;Viajeros;10456.167614;A
40123;55577;2017;2482;Viajeros;1938.5488627;A
40123;55577;2017;2713;Viajeros;5638.6123872;A
40123;55577;2017;2797;Viajeros;417.4027912;A
40123;55577;2017;2911;Viajeros;409.94582933;A
40123;55577;2017;3023;Viajeros;49069.551554;A
40123;55577;2017;3142;Viajeros;8314.9241577;A
40123;55577;2016;3143;Viajeros;65778.46659056;A
40123;55577;2016;2352;Viajeros;1389.9025451;A
40123;55577;2016;2402;Viajeros;7925.1057049;A
40123;55577;2016;2482;Viajeros;1470.2978648;A
40123;55577;2016;2713;Viajeros;7233.9911542;A
40123;55577;2016;2797;Viajeros;345.31335281;A
40123;55577;2016;2911;Viajeros;697.15497955;A
40123;55577;2016;3023;Viajeros;39924.658661;A
40123;55577;2016;3142;Viajeros;6792.0423282;A
40123;55577;2015;3143;Viajeros;56418.08626969;A
40123;55577;2015;2352;Viajeros;1215.0654075;A
40123;55577;2015;2402;Viajeros;7809.8449063;A
40123;55577;2015;2482;Viajeros;642.56624894;A
40123;55577;2015;2713;Viajeros;6364.8535457;A
40123;55577;2015;2797;Viajeros;217.58463995;A
40123;55577;2015;2911;Viajeros;486.3030395;A
40123;55577;2015;3023;Viajeros;32534.589127;A
40123;55577;2015;3142;Viajeros;7147.2793548;A
40123;55577;2014;3143;Viajeros;50151.44623802;A
40123;55577;2014;2352;Viajeros;1146.166225;A
40123;55577;2014;2402;Viajeros;8455.2255994;A
40123;55577;2014;2482;Viajeros;805.97372082;A
40123;55577;2014;2713;Viajeros;4267.1127612;A
40123;55577;2014;2797;Viajeros;242.03909859;A
40123;55577;2014;2911;Viajeros;454.15180861;A
40123;55577;2014;3023;Viajeros;29341.134743;A
40123;55577;2014;3142;Viajeros;5439.6422814;A
40123;516705;2020;3143;Viajeros;1256.237285511;A
40123;516705;2020;2352;Viajeros;42.865158366;A
40123;516705;2020;2402;Viajeros;101.912543891;A
40123;516705;2020;2482;Viajeros;-;A
40123;516705;2020;2713;Viajeros;28.980263158;A
40123;516705;2020;2797;Viajeros;-;A
40123;516705;2020;2911;Viajeros;;A
40123;516705;2020;3023;Viajeros;857.20717486;A
40123;516705;2020;3142;Viajeros;218.46648867;A
40123;516705;2019;3143;Viajeros;7448.126870684;A
40123;516705;2019;2352;Viajeros;108.897074232;A
40123;516705;2019;2402;Viajeros;480.107871417;A
40123;516705;2019;2482;Viajeros;148.979944988;A
40123;516705;2019;2713;Viajeros;565.382889935;A
40123;516705;2019;2797;Viajeros;48.037327539;A
40123;516705;2019;2911;Viajeros;15.96895128;A
40123;516705;2019;3023;Viajeros;4873.622463826;A
40123;516705;2019;3142;Viajeros;1207.130347467;A
40123;516705;2018;3143;Viajeros;7679.087761819;A
40123;516705;2018;2352;Viajeros;66.170638629;A
40123;516705;2018;2402;Viajeros;647.74836209;A
40123;516705;2018;2482;Viajeros;224.1900755;A
40123;516705;2018;2713;Viajeros;475.8647624;A
40123;516705;2018;2797;Viajeros;34.0;A
40123;516705;2018;2911;Viajeros;;A
40123;516705;2018;3023;Viajeros;4876.3685917;A
40123;516705;2018;3142;Viajeros;1354.7453315;A
40123;516705;2017;3143;Viajeros;6683.153356425;A
40123;516705;2017;2352;Viajeros;62.609489313;A
40123;516705;2017;2402;Viajeros;639.83834793;A
40123;516705;2017;2482;Viajeros;240.313678;A
40123;516705;2017;2713;Viajeros;351.08551657;A
40123;516705;2017;2797;Viajeros;28.235227912;A
40123;516705;2017;2911;Viajeros;;A
40123;516705;2017;3023;Viajeros;4309.9371998;A
40123;516705;2017;3142;Viajeros;1051.1338969;A
40123;516705;2016;3143;Viajeros;5439.286301728;A
40123;516705;2016;2352;Viajeros;81.048685891;A
40123;516705;2016;2402;Viajeros;318.31730369;A
40123;516705;2016;2482;Viajeros;149.09121071;A
40123;516705;2016;2713;Viajeros;502.14414243;A
40123;516705;2016;2797;Viajeros;30.672893332;A
40123;516705;2016;2911;Viajeros;23.006265545;A
40123;516705;2016;3023;Viajeros;3632.6785833;A
40123;516705;2016;3142;Viajeros;702.32721683;A
40123;516705;2015;3143;Viajeros;5009.805667009;A
40123;516705;2015;2352;Viajeros;145.10744071;A
40123;516705;2015;2402;Viajeros;462.09464853;A
40123;516705;2015;2482;Viajeros;61.582941711;A
40123;516705;2015;2713;Viajeros;733.09206066;A
40123;516705;2015;2797;Viajeros;27.989765168;A
40123;516705;2015;2911;Viajeros;17.65211822;A
40123;516705;2015;3023;Viajeros;2982.8669545;A
40123;516705;2015;3142;Viajeros;579.41973751;A
40123;516705;2014;3143;Viajeros;4590.120740969;A
40123;516705;2014;2352;Viajeros;23.142361111;A
40123;516705;2014;2402;Viajeros;376.52274999;A
40123;516705;2014;2482;Viajeros;176.73365795;A
40123;516705;2014;2713;Viajeros;218.96031176;A
40123;516705;2014;2797;Viajeros;32.177486188;A
40123;516705;2014;2911;Viajeros;;A
40123;516705;2014;3023;Viajeros;3148.523453;A
40123;516705;2014;3142;Viajeros;614.06072097;A
40123;516706;2020;3143;Viajeros;7171.229636353;A
40123;516706;2020;2352;Viajeros;347.272799998;A
40123;516706;2020;2402;Viajeros;221.684125851;A
40123;516706;2020;2482;Viajeros;85.64983926;A
40123;516706;2020;2713;Viajeros;474.511053981;A
40123;516706;2020;2797;Viajeros;47.068396931;A
40123;516706;2020;2911;Viajeros;20.298480028;A
40123;516706;2020;3023;Viajeros;4732.782285359;A
40123;516706;2020;3142;Viajeros;1241.962654945;A
40123;516706;2019;3143;Viajeros;28544.49785638;A
40123;516706;2019;2352;Viajeros;813.697857724;A
40123;516706;2019;2402;Viajeros;862.168061265;A
40123;516706;2019;2482;Viajeros;678.492934022;A
40123;516706;2019;2713;Viajeros;1469.365894045;A
40123;516706;2019;2797;Viajeros;179.193448781;A
40123;516706;2019;2911;Viajeros;83.994784196;A
40123;516706;2019;3023;Viajeros;20499.755874453;A
40123;516706;2019;3142;Viajeros;3957.829001894;A
40123;516706;2018;3143;Viajeros;28246.3369444;A
40123;516706;2018;2352;Viajeros;943.92573491;A
40123;516706;2018;2402;Viajeros;1145.1915574;A
40123;516706;2018;2482;Viajeros;452.80419303;A
40123;516706;2018;2713;Viajeros;3172.1947221;A
40123;516706;2018;2797;Viajeros;118.16831648;A
40123;516706;2018;2911;Viajeros;116.43898778;A
40123;516706;2018;3023;Viajeros;18835.777145;A
40123;516706;2018;3142;Viajeros;3461.8362877;A
40123;516706;2017;3143;Viajeros;28691.660829109;A
40123;516706;2017;2352;Viajeros;1175.1418901;A
40123;516706;2017;2402;Viajeros;938.37439004;A
40123;516706;2017;2482;Viajeros;593.78240861;A
40123;516706;2017;2713;Viajeros;1960.5855349;A
40123;516706;2017;2797;Viajeros;71.086357749;A
40123;516706;2017;2911;Viajeros;98.57509151;A
40123;516706;2017;3023;Viajeros;20536.51816;A
40123;516706;2017;3142;Viajeros;3317.5969962;A
40123;516706;2016;3143;Viajeros;23956.110343105;A
40123;516706;2016;2352;Viajeros;872.81113522;A
40123;516706;2016;2402;Viajeros;531.89382155;A
40123;516706;2016;2482;Viajeros;488.28188122;A
40123;516706;2016;2713;Viajeros;2865.9003574;A
40123;516706;2016;2797;Viajeros;149.90408178;A
40123;516706;2016;2911;Viajeros;61.071990535;A
40123;516706;2016;3023;Viajeros;16077.985502;A
40123;516706;2016;3142;Viajeros;2908.2615734;A
40123;516706;2015;3143;Viajeros;21930.37404716;A
40123;516706;2015;2352;Viajeros;613.81524561;A
40123;516706;2015;2402;Viajeros;713.66807701;A
40123;516706;2015;2482;Viajeros;316.72808575;A
40123;516706;2015;2713;Viajeros;2868.5609216;A
40123;516706;2015;2797;Viajeros;73.26007085;A
40123;516706;2015;2911;Viajeros;165.78304044;A
40123;516706;2015;3023;Viajeros;14779.863058;A
40123;516706;2015;3142;Viajeros;2398.6955479;A
40123;516706;2014;3143;Viajeros;18843.674103786;A
40123;516706;2014;2352;Viajeros;553.4038213;A
40123;516706;2014;2402;Viajeros;361.00843294;A
40123;516706;2014;2482;Viajeros;459.22664381;A
40123;516706;2014;2713;Viajeros;1287.4159611;A
40123;516706;2014;2797;Viajeros;102.7645345;A
40123;516706;2014;2911;Viajeros;66.213301736;A
40123;516706;2014;3023;Viajeros;12743.123109;A
40123;516706;2014;3142;Viajeros;3270.5182994;A
40123;516707;2020;3143;Viajeros;5226.508522902;A
40123;516707;2020;2352;Viajeros;118.232685628;A
40123;516707;2020;2402;Viajeros;148.36653661;A
40123;516707;2020;2482;Viajeros;33.735531803;A
40123;516707;2020;2713;Viajeros;280.432749966;A
40123;516707;2020;2797;Viajeros;26.09125449;A
40123;516707;2020;2911;Viajeros;-;A
40123;516707;2020;3023;Viajeros;4400.806147272;A
40123;516707;2020;3142;Viajeros;214.70075999;A
40123;516707;2019;3143;Viajeros;22996.872201806;A
40123;516707;2019;2352;Viajeros;312.401822679;A
40123;516707;2019;2402;Viajeros;607.549071811;A
40123;516707;2019;2482;Viajeros;203.640224749;A
40123;516707;2019;2713;Viajeros;916.478704754;A
40123;516707;2019;2797;Viajeros;24.884252408;A
40123;516707;2019;2911;Viajeros;;A
40123;516707;2019;3023;Viajeros;19800.625593189;A
40123;516707;2019;3142;Viajeros;1131.292532216;A
40123;516707;2018;3143;Viajeros;25633.387406335;A
40123;516707;2018;2352;Viajeros;257.46323275;A
40123;516707;2018;2402;Viajeros;595.39915006;A
40123;516707;2018;2482;Viajeros;110.62830594;A
