D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;2797;2021;Personal medio empleado;75.567792729;A
40124;2911;2021;Personal medio empleado;124.339977286;A
40124;3023;2021;Personal medio empleado;1961.130036976;A
40124;3142;2021;Personal medio empleado;373.920993906;A
40123;3143;2020;Personal medio no remunerado;394.34786468;A
40123;3143;2019;Personal medio no remunerado;531.863807876;A
40123;3143;2018;Personal medio no remunerado;508.957268387;A
40123;3143;2017;Personal medio no remunerado;494.268438799;A
40123;3143;2016;Personal medio no remunerado;469.217337887;A
40123;3143;2015;Personal medio no remunerado;437.402681486;A
40123;3143;2014;Personal medio no remunerado;384.402316574;A
40123;2352;2020;Personal medio no remunerado;40.150264114;A
40123;2352;2019;Personal medio no remunerado;45.815680807;A
40123;2352;2018;Personal medio no remunerado;43.053944966;A
40123;2352;2017;Personal medio no remunerado;49.647034785;A
40123;2352;2016;Personal medio no remunerado;33.478714744;A
40123;2352;2015;Personal medio no remunerado;28.058678783;A
40123;2352;2014;Personal medio no remunerado;24.859536109;A
40123;2402;2020;Personal medio no remunerado;51.25398483;A
40123;2402;2019;Personal medio no remunerado;64.380969351;A
40123;2402;2018;Personal medio no remunerado;69.894606168;A
40123;2402;2017;Personal medio no remunerado;36.321092995;A
40123;2402;2016;Personal medio no remunerado;35.125395924;A
40123;2402;2015;Personal medio no remunerado;27.851974679;A
40123;2402;2014;Personal medio no remunerado;27.983064051;A
40123;2482;2020;Personal medio no remunerado;15.044601799;A
40123;2482;2019;Personal medio no remunerado;19.394273115;A
40123;2482;2018;Personal medio no remunerado;24.813831683;A
40123;2482;2017;Personal medio no remunerado;29.473880884;A
40123;2482;2016;Personal medio no remunerado;25.03601386;A
40123;2482;2015;Personal medio no remunerado;20.74085476;A
40123;2482;2014;Personal medio no remunerado;18.388068496;A
40123;2713;2020;Personal medio no remunerado;81.703409929;A
40123;2713;2019;Personal medio no remunerado;115.056255804;A
40123;2713;2018;Personal medio no remunerado;102.90864973;A
40123;2713;2017;Personal medio no remunerado;104.761496;A
40123;2713;2016;Personal medio no remunerado;102.37740286;A
40123;2713;2015;Personal medio no remunerado;110.49627116;A
40123;2713;2014;Personal medio no remunerado;92.680791677;A
40123;2797;2020;Personal medio no remunerado;3.572395785;A
40123;2797;2019;Personal medio no remunerado;4.088510815;A
40123;2797;2018;Personal medio no remunerado;4.116812674;A
40123;2797;2017;Personal medio no remunerado;5.855417917;A
