D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_PARQUES_TURISMO_0;INDICATOR;OBS_VALUE;FREQ
40123;55568;2019;55538;Viajeros;3510.534087697;A
40123;55568;2019;55539;Viajeros;709.47662037;A
40123;55568;2019;55540;Viajeros;442.879934426;A
40123;55568;2019;55541;Viajeros;49512.788645713;A
40123;55568;2020;55537;Viajeros;1237.813546566;A
40123;55568;2020;55538;Viajeros;850.702887907;A
40123;55568;2020;55539;Viajeros;112.852380952;A
40123;55568;2020;55540;Viajeros;195.064452694;A
40123;55568;2020;55541;Viajeros;15829.600795138;A
40123;516709;2014;55537;Viajeros;;A
40123;516709;2014;55538;Viajeros;49.736357219;A
40123;516709;2014;55539;Viajeros;;A
40123;516709;2014;55540;Viajeros;165.96399415;A
40123;516709;2014;55541;Viajeros;418.9030201;A
40123;516709;2015;55537;Viajeros;30.866666667;A
40123;516709;2015;55538;Viajeros;28.413964435;A
40123;516709;2015;55539;Viajeros;;A
40123;516709;2015;55540;Viajeros;59.2;A
40123;516709;2015;55541;Viajeros;365.44047778;A
40123;516709;2016;55537;Viajeros;34.007293946;A
40123;516709;2016;55538;Viajeros;83.669864831;A
40123;516709;2016;55539;Viajeros;;A
40123;516709;2016;55540;Viajeros;51.318212141;A
40123;516709;2016;55541;Viajeros;347.33233799;A
40123;516709;2017;55537;Viajeros;10.868490796;A
40123;516709;2017;55538;Viajeros;168.11164296;A
40123;516709;2017;55539;Viajeros;-;A
40123;516709;2017;55540;Viajeros;28.0;A
40123;516709;2017;55541;Viajeros;564.59427516;A
40123;516709;2018;55537;Viajeros;16.133333333;A
40123;516709;2018;55538;Viajeros;132.67575876;A
40123;516709;2018;55539;Viajeros;;A
40123;516709;2018;55540;Viajeros;-;A
40123;516709;2018;55541;Viajeros;1512.9236454;A
40123;516709;2019;55537;Viajeros;55.342622951;A
40123;516709;2019;55538;Viajeros;66.454467622;A
40123;516709;2019;55539;Viajeros;12.4;A
40123;516709;2019;55540;Viajeros;39.0;A
40123;516709;2019;55541;Viajeros;1104.050701534;A
40123;516709;2020;55537;Viajeros;-;A
40123;516709;2020;55538;Viajeros;17.796568236;A
40123;516709;2020;55539;Viajeros;;A
40123;516709;2020;55540;Viajeros;20.0;A
40123;516709;2020;55541;Viajeros;170.90190219;A
40123;516710;2014;55537;Viajeros;174.0005005;A
40123;516710;2014;55538;Viajeros;445.11007858;A
40123;516710;2014;55539;Viajeros;31.633591731;A
40123;516710;2014;55540;Viajeros;49.37019774;A
40123;516710;2014;55541;Viajeros;43885.82345;A
40123;516710;2015;55537;Viajeros;255.01663095;A
40123;516710;2015;55538;Viajeros;518.93333766;A
40123;516710;2015;55539;Viajeros;116.16692506;A
40123;516710;2015;55540;Viajeros;35.733333333;A
40123;516710;2015;55541;Viajeros;55979.315616;A
