D_TEMPORAL_0;D_TERRITORIO_0;D_MCVLS_VARIABLE_0;D_SEXO_0;D_MCVL_MONSALARIO_0;D_MCVL_MONEDAD_0;INDICATOR;OBS_VALUE;FREQ
2017;2911;281592;3689;281486;281487;Asalariados (Personas);161575.0;A
2017;2911;281592;3690;281485;281487;Asalariados (Personas);127900.0;A
2017;2911;281592;3690;281486;281487;Asalariados (Personas);127900.0;A
2017;3023;281593;;281485;281487;Asalariados (Personas);1470000.0;A
2017;3023;281593;;281486;281487;Asalariados (Personas);1470000.0;A
2017;3023;281593;3689;281485;281487;Asalariados (Personas);382150.0;A
2017;3023;281593;3689;281486;281487;Asalariados (Personas);382150.0;A
2017;3023;281593;3690;281485;281487;Asalariados (Personas);352850.0;A
2017;3023;281593;3690;281486;281487;Asalariados (Personas);352850.0;A
2017;3023;281594;;281485;281487;Asalariados (Personas);181450.0;A
2017;3023;281594;;281486;281487;Asalariados (Personas);181450.0;A
2017;3023;281594;3689;281485;281487;Asalariados (Personas);49975.0;A
2017;3023;281594;3689;281486;281487;Asalariados (Personas);49975.0;A
2017;3023;281594;3690;281485;281487;Asalariados (Personas);40750.0;A
2017;3023;281594;3690;281486;281487;Asalariados (Personas);40750.0;A
2017;3023;281592;;281485;281487;Asalariados (Personas);1651450.0;A
2017;3023;281592;;281486;281487;Asalariados (Personas);1651450.0;A
2017;3023;281592;3689;281485;281487;Asalariados (Personas);432125.0;A
2017;3023;281592;3689;281486;281487;Asalariados (Personas);432125.0;A
2017;3023;281592;3690;281485;281487;Asalariados (Personas);393600.0;A
2017;3023;281592;3690;281486;281487;Asalariados (Personas);393600.0;A
2017;3142;281593;;281485;281487;Asalariados (Personas);1904350.0;A
2017;3142;281593;;281486;281487;Asalariados (Personas);1904350.0;A
2017;3142;281593;3689;281485;281487;Asalariados (Personas);506500.0;A
2017;3142;281593;3689;281486;281487;Asalariados (Personas);506500.0;A
2017;3142;281593;3690;281485;281487;Asalariados (Personas);445675.0;A
2017;3142;281593;3690;281486;281487;Asalariados (Personas);445675.0;A
2017;3142;281594;;281485;281487;Asalariados (Personas);83900.0;A
2017;3142;281594;;281486;281487;Asalariados (Personas);83900.0;A
2017;3142;281594;3689;281485;281487;Asalariados (Personas);25450.0;A
2017;3142;281594;3689;281486;281487;Asalariados (Personas);25450.0;A
2017;3142;281594;3690;281485;281487;Asalariados (Personas);16500.0;A
2017;3142;281594;3690;281486;281487;Asalariados (Personas);16500.0;A
2017;3142;281592;;281485;281487;Asalariados (Personas);1988250.0;A
2017;3142;281592;;281486;281487;Asalariados (Personas);1988250.0;A
2017;3142;281592;3689;281485;281487;Asalariados (Personas);531950.0;A
2017;3142;281592;3689;281486;281487;Asalariados (Personas);531950.0;A
2017;3142;281592;3690;281485;281487;Asalariados (Personas);462175.0;A
2017;3142;281592;3690;281486;281487;Asalariados (Personas);462175.0;A
2017;3143;281593;;281485;281487;Asalariados (Personas);5607650.0;A
2017;3143;281593;;281486;281487;Asalariados (Personas);5607650.0;A
2017;3143;281593;3689;281485;281487;Asalariados (Personas);1503175.0;A
2017;3143;281593;3689;281486;281487;Asalariados (Personas);1503175.0;A
2017;3143;281593;3690;281485;281487;Asalariados (Personas);1300650.0;A
2017;3143;281593;3690;281486;281487;Asalariados (Personas);1300650.0;A
2017;3143;281594;;281485;281487;Asalariados (Personas);536350.0;A
2017;3143;281594;;281486;281487;Asalariados (Personas);536350.0;A
2017;3143;281594;3689;281485;281487;Asalariados (Personas);151250.0;A
2017;3143;281594;3689;281486;281487;Asalariados (Personas);151250.0;A
2017;3143;281594;3690;281485;281487;Asalariados (Personas);116925.0;A
2017;3143;281594;3690;281486;281487;Asalariados (Personas);116925.0;A
2017;3143;281592;;281485;281487;Asalariados (Personas);6144000.0;A
2017;3143;281592;;281486;281487;Asalariados (Personas);6144000.0;A
2017;3143;281592;3689;281485;281487;Asalariados (Personas);1654425.0;A
2017;3143;281592;3689;281486;281487;Asalariados (Personas);1654425.0;A
2017;3143;281592;3690;281485;281487;Asalariados (Personas);1417575.0;A
2017;3143;281592;3690;281486;281487;Asalariados (Personas);1417575.0;A
2018;2352;281593;;281485;281487;Asalariados (Personas);540650.0;A
2018;2352;281593;;281486;281487;Asalariados (Personas);540650.0;A
2018;2352;281593;3689;281485;281487;Asalariados (Personas);136750.0;A
2018;2352;281593;3689;281486;281487;Asalariados (Personas);136750.0;A
2018;2352;281593;3690;281485;281487;Asalariados (Personas);133575.0;A
2018;2352;281593;3690;281486;281487;Asalariados (Personas);133575.0;A
2018;2352;281594;;281485;281487;Asalariados (Personas);159450.0;A
2018;2352;281594;;281486;281487;Asalariados (Personas);159450.0;A
2018;2352;281594;3689;281485;281487;Asalariados (Personas);52575.0;A
2018;2352;281594;3689;281486;281487;Asalariados (Personas);52575.0;A
2018;2352;281594;3690;281485;281487;Asalariados (Personas);27150.0;A
2018;2352;281594;3690;281486;281487;Asalariados (Personas);27150.0;A
2018;2352;281592;;281485;281487;Asalariados (Personas);700100.0;A
2018;2352;281592;;281486;281487;Asalariados (Personas);700100.0;A
2018;2352;281592;3689;281485;281487;Asalariados (Personas);189325.0;A
2018;2352;281592;3689;281486;281487;Asalariados (Personas);189325.0;A
2018;2352;281592;3690;281485;281487;Asalariados (Personas);160725.0;A
2018;2352;281592;3690;281486;281487;Asalariados (Personas);160725.0;A
2018;2402;281593;;281485;281487;Asalariados (Personas);1131850.0;A
2018;2402;281593;;281486;281487;Asalariados (Personas);1131850.0;A
2018;2402;281593;3689;281485;281487;Asalariados (Personas);311850.0;A
2018;2402;281593;3689;281486;281487;Asalariados (Personas);311850.0;A
2018;2402;281593;3690;281485;281487;Asalariados (Personas);254075.0;A
2018;2402;281593;3690;281486;281487;Asalariados (Personas);254075.0;A
2018;2402;281594;;281485;281487;Asalariados (Personas);32700.0;A
2018;2402;281594;;281486;281487;Asalariados (Personas);32700.0;A
2018;2402;281594;3689;281485;281487;Asalariados (Personas);9800.0;A
