D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55538;55553;2018;Viajeros;48957.88957113;A
40123;55538;55553;2017;Viajeros;48106.9631563;A
40123;55538;55553;2016;Viajeros;43207.24482645;A
40123;55538;55553;2015;Viajeros;46730.67919803;A
40123;55538;55553;2014;Viajeros;40122.87212276;A
40123;55538;55553;2013;Viajeros;41516.62;A
40123;55538;55553;2012;Viajeros;36709.32;A
40123;55538;55553;2011;Viajeros;43381.09;A
40123;55538;55553;2010;Viajeros;44687.47;A
40123;55538;55553;2009;Viajeros;47850.22;A
40123;55538;55553;2008;Viajeros;49907.43;A
40123;55538;55554;2020;Viajeros;10625.017950446;A
40123;55538;55554;2019;Viajeros;20803.3013435;A
40123;55538;55554;2018;Viajeros;18979.67693653;A
40123;55538;55554;2017;Viajeros;17839.95640821;A
40123;55538;55554;2016;Viajeros;19124.42441702;A
40123;55538;55554;2015;Viajeros;18845.67013106;A
40123;55538;55554;2014;Viajeros;15784.37258427;A
40123;55538;55554;2013;Viajeros;17521.42;A
40123;55538;55554;2012;Viajeros;13350.26;A
40123;55538;55554;2011;Viajeros;17357.65;A
40123;55538;55554;2010;Viajeros;17328.81;A
40123;55538;55554;2009;Viajeros;19527.44;A
40123;55538;55554;2008;Viajeros;25199.5;A
40123;55538;55555;2020;Viajeros;114573.483002165;A
40123;55538;55555;2019;Viajeros;218931.581771856;A
40123;55538;55555;2018;Viajeros;198811.1974557;A
40123;55538;55555;2017;Viajeros;192836.9970401;A
40123;55538;55555;2016;Viajeros;184096.5730247;A
40123;55538;55555;2015;Viajeros;189715.2624821;A
40123;55538;55555;2014;Viajeros;174651.6683293;A
40123;55538;55555;2013;Viajeros;182960.81;A
40123;55538;55555;2012;Viajeros;177921.18;A
40123;55538;55555;2011;Viajeros;189699.94;A
40123;55538;55555;2010;Viajeros;206328.95;A
40123;55538;55555;2009;Viajeros;230898.57;A
40123;55538;55555;2008;Viajeros;259011.85;A
40123;55538;55556;2020;Viajeros;6025.685541559;A
40123;55538;55556;2019;Viajeros;13063.246709949;A
40123;55538;55556;2018;Viajeros;14237.95685271;A
40123;55538;55556;2017;Viajeros;11886.9227533;A
40123;55538;55556;2016;Viajeros;12846.069050251;A
40123;55538;55556;2015;Viajeros;10863.91015225;A
40123;55538;55556;2014;Viajeros;8882.246436878;A
40123;55538;55556;2013;Viajeros;10431.39;A
40123;55538;55556;2012;Viajeros;7802.44;A
40123;55538;55556;2011;Viajeros;12244.13;A
40123;55538;55556;2010;Viajeros;12819.11;A
40123;55538;55556;2009;Viajeros;14057.03;A
40123;55538;55556;2008;Viajeros;15578.96;A
40123;55538;55557;2020;Viajeros;3788.846683398;A
40123;55538;55557;2019;Viajeros;7235.128885472;A
40123;55538;55557;2018;Viajeros;8406.757491547;A
40123;55538;55557;2017;Viajeros;7881.100593888;A
40123;55538;55557;2016;Viajeros;8249.56852807;A
