D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;70677;2017;Empleo medio;308.597994364;A
40123;70677;2016;Empleo medio;295.460997436;A
40123;70677;2015;Empleo medio;252.743940572;A
40123;70677;2013;Empleo medio;232.894166667;A
40123;70678;2019;Empleo medio;437.902838275;A
40123;282055;2020;Empleo medio;175.2184772;A
40123;282055;2019;Empleo medio;399.981509215;A
40123;70679;2020;Empleo medio;65.42297433;A
40123;70679;2019;Empleo medio;107.349093147;A
40123;70679;2012;Empleo medio;107.975833334;A
40123;70679;2009;Empleo medio;160.032500001;A
40123;70679;2008;Empleo medio;169.085;A
40123;55117;2019;Empleo medio;508.840688998;A
40123;70680;2020;Empleo medio;54.899680646;A
40123;302612;2019;Empleo medio;142.140376174;A
40123;269776;2019;Empleo medio;540.441646889;A
40123;278109;2020;Empleo medio;44.811781863;A
40123;278109;2019;Empleo medio;79.49947534;A
40123;70681;2020;Empleo medio;76.896632753;A
40123;70681;2019;Empleo medio;108.7349638;A
40123;70681;2018;Empleo medio;103.171719828;A
40123;70681;2017;Empleo medio;105.467242453;A
40123;70681;2016;Empleo medio;92.474883797;A
40123;70681;2015;Empleo medio;79.15445176;A
40123;70681;2014;Empleo medio;79.651147332;A
40123;70681;2013;Empleo medio;77.291666667;A
40123;70681;2012;Empleo medio;86.7225;A
40123;70681;2011;Empleo medio;90.952499999;A
40123;70681;2010;Empleo medio;72.812499999;A
40123;269777;2020;Empleo medio;23.031037916;A
40123;269777;2019;Empleo medio;36.174266001;A
40123;70682;2020;Empleo medio;128.291584468;A
40123;70682;2019;Empleo medio;146.080299167;A
40123;70682;2012;Empleo medio;167.284166667;A
40123;70682;2010;Empleo medio;211.4725;A
40123;70682;2009;Empleo medio;248.5325;A
40123;70682;2008;Empleo medio;271.070833334;A
40123;70683;2020;Empleo medio;99.011672194;A
40123;70683;2019;Empleo medio;158.629542205;A
40123;70683;2018;Empleo medio;130.454267189;A
40123;70683;2017;Empleo medio;130.465590117;A
40123;70683;2016;Empleo medio;136.722684398;A
40123;70683;2015;Empleo medio;115.315710122;A
40123;70683;2014;Empleo medio;118.171752613;A
40123;70683;2013;Empleo medio;117.591666667;A
40123;70683;2012;Empleo medio;104.1075;A
40123;70684;2020;Empleo medio;120.528216658;A
40123;70684;2019;Empleo medio;260.981973274;A
40123;70684;2018;Empleo medio;226.242197934;A
40123;70684;2014;Empleo medio;175.600994551;A
40123;70684;2013;Empleo medio;189.125833334;A
40123;70684;2012;Empleo medio;208.956666668;A
40123;70685;2020;Empleo medio;465.064064295;A
40123;70685;2019;Empleo medio;1522.257665465;A
40123;70685;2018;Empleo medio;1269.19850297;A
40123;70685;2017;Empleo medio;1433.603286665;A
40123;70685;2016;Empleo medio;1361.616243947;A
40123;70685;2015;Empleo medio;1248.073289271;A
40123;70685;2014;Empleo medio;1237.090315165;A
40123;70685;2013;Empleo medio;1183.128333333;A
40123;70685;2011;Empleo medio;1328.06;A
40123;70685;2010;Empleo medio;1189.473333333;A
