D_ESTADO_DATO_0;D_TERRITORIO_0;D_CAT_HOTELES_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;62148;2012;55565;Viajeros;733676.87;A
40123;3143;62148;2012;55697;Viajeros;376830.99;A
40123;3143;62148;2011;55698;Viajeros;1124804.22;A
40123;3143;62148;2011;55565;Viajeros;748560.3;A
40123;3143;62148;2011;55697;Viajeros;376243.92;A
40123;3143;62148;2010;55698;Viajeros;1053615.89;A
40123;3143;62148;2010;55565;Viajeros;710936.76;A
40123;3143;62148;2010;55697;Viajeros;342679.13;A
40123;3143;62148;2009;55698;Viajeros;1048115.78;A
40123;3143;62148;2009;55565;Viajeros;719864.59;A
40123;3143;62148;2009;55697;Viajeros;328251.19;A
40123;3143;62148;2008;55698;Viajeros;1232765.12;A
40123;3143;62148;2008;55565;Viajeros;835911.87;A
40123;3143;62148;2008;55697;Viajeros;396853.25;A
40123;3143;62145;2020;55698;Viajeros;227912.381071214;A
40123;3143;62145;2020;55565;Viajeros;178183.522446924;A
40123;3143;62145;2020;55697;Viajeros;49728.85862429;A
40123;3143;62145;2019;55698;Viajeros;544159.436969293;A
40123;3143;62145;2019;55565;Viajeros;348125.506503361;A
40123;3143;62145;2019;55697;Viajeros;196033.930465932;A
40123;3143;62145;2018;55698;Viajeros;518666.884562858;A
40123;3143;62145;2018;55565;Viajeros;327397.022752145;A
40123;3143;62145;2018;55697;Viajeros;191269.861810713;A
40123;3143;62145;2017;55698;Viajeros;491760.167758401;A
40123;3143;62145;2017;55565;Viajeros;307866.347344057;A
40123;3143;62145;2017;55697;Viajeros;183893.820414344;A
40123;3143;62145;2016;55698;Viajeros;477468.594939451;A
40123;3143;62145;2016;55565;Viajeros;282187.230533506;A
40123;3143;62145;2016;55697;Viajeros;195281.364405945;A
40123;3143;62145;2015;55698;Viajeros;451831.914654851;A
40123;3143;62145;2015;55565;Viajeros;278890.358153785;A
40123;3143;62145;2015;55697;Viajeros;172941.556501066;A
40123;3143;62145;2014;55698;Viajeros;359837.22002303;A
40123;3143;62145;2014;55565;Viajeros;221222.528519747;A
40123;3143;62145;2014;55697;Viajeros;138614.691503283;A
40123;3143;62145;2013;55698;Viajeros;342874.22;A
40123;3143;62145;2013;55565;Viajeros;217631.14;A
40123;3143;62145;2013;55697;Viajeros;125243.08;A
40123;3143;62145;2012;55698;Viajeros;350472.41;A
40123;3143;62145;2012;55565;Viajeros;217673.43;A
40123;3143;62145;2012;55697;Viajeros;132798.98;A
40123;3143;62145;2011;55698;Viajeros;376260.3;A
40123;3143;62145;2011;55565;Viajeros;239617.32;A
40123;3143;62145;2011;55697;Viajeros;136642.98;A
40123;3143;62145;2010;55698;Viajeros;383015.15;A
