D_ESTADO_DATO_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;3089;46364;2021;Sociedades constituidas;4.0;A
40124;3089;46366;2021;Sociedades constituidas;;A
40124;3090;46367;2021;Sociedades constituidas;6.0;A
40124;3090;46361;2021;Sociedades constituidas;;A
40124;3090;46364;2021;Sociedades constituidas;6.0;A
40124;3090;46366;2021;Sociedades constituidas;;A
40124;3091;46367;2021;Sociedades constituidas;12.0;A
40124;3091;46361;2021;Sociedades constituidas;;A
40124;3091;46364;2021;Sociedades constituidas;12.0;A
40124;3091;46366;2021;Sociedades constituidas;;A
40124;3092;46367;2021;Sociedades constituidas;15.0;A
40124;3092;46361;2021;Sociedades constituidas;;A
40124;3092;46364;2021;Sociedades constituidas;15.0;A
40124;3092;46366;2021;Sociedades constituidas;;A
40124;3094;46367;2021;Sociedades constituidas;9.0;A
40124;3094;46361;2021;Sociedades constituidas;;A
40124;3094;46364;2021;Sociedades constituidas;9.0;A
40124;3094;46366;2021;Sociedades constituidas;;A
40124;3095;46367;2021;Sociedades constituidas;16.0;A
40124;3095;46361;2021;Sociedades constituidas;;A
40124;3095;46364;2021;Sociedades constituidas;16.0;A
40124;3095;46366;2021;Sociedades constituidas;;A
40124;3096;46367;2021;Sociedades constituidas;73.0;A
40124;3096;46361;2021;Sociedades constituidas;;A
40124;3096;46364;2021;Sociedades constituidas;73.0;A
40124;3096;46366;2021;Sociedades constituidas;;A
40124;3097;46367;2021;Sociedades constituidas;16.0;A
40124;3097;46361;2021;Sociedades constituidas;;A
40124;3097;46364;2021;Sociedades constituidas;16.0;A
40124;3097;46366;2021;Sociedades constituidas;;A
40124;3098;46367;2021;Sociedades constituidas;7.0;A
40124;3098;46361;2021;Sociedades constituidas;;A
40124;3098;46364;2021;Sociedades constituidas;7.0;A
40124;3098;46366;2021;Sociedades constituidas;;A
40124;3099;46367;2021;Sociedades constituidas;7.0;A
40124;3099;46361;2021;Sociedades constituidas;;A
40124;3099;46364;2021;Sociedades constituidas;7.0;A
40124;3099;46366;2021;Sociedades constituidas;;A
40124;3100;46367;2021;Sociedades constituidas;4.0;A
40124;3100;46361;2021;Sociedades constituidas;;A
40124;3100;46364;2021;Sociedades constituidas;4.0;A
40124;3100;46366;2021;Sociedades constituidas;;A
40124;3101;46367;2021;Sociedades constituidas;2.0;A
40124;3101;46361;2021;Sociedades constituidas;;A
40124;3101;46364;2021;Sociedades constituidas;2.0;A
40124;3101;46366;2021;Sociedades constituidas;;A
