D_TEMPORAL_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_ESTADO_DATO_0;INDICATOR;OBS_VALUE;FREQ
2013;2352;46365;40123;Sociedades constituidas;1.0;A
2013;2402;46367;40123;Sociedades constituidas;1417.0;A
2013;2402;46360;40123;Sociedades constituidas;2.0;A
2013;2402;46364;40123;Sociedades constituidas;1409.0;A
2013;2402;46362;40123;Sociedades constituidas;2.0;A
2013;2402;46363;40123;Sociedades constituidas;1407.0;A
2013;2402;46365;40123;Sociedades constituidas;6.0;A
2013;2482;46367;40123;Sociedades constituidas;1198.0;A
2013;2482;46360;40123;Sociedades constituidas;4.0;A
2013;2482;46364;40123;Sociedades constituidas;1187.0;A
2013;2482;46362;40123;Sociedades constituidas;2.0;A
2013;2482;46363;40123;Sociedades constituidas;1185.0;A
2013;2482;46365;40123;Sociedades constituidas;7.0;A
2013;2713;46367;40123;Sociedades constituidas;1480.0;A
2013;2713;46360;40123;Sociedades constituidas;5.0;A
2013;2713;46364;40123;Sociedades constituidas;1472.0;A
2013;2713;46362;40123;Sociedades constituidas;2.0;A
2013;2713;46363;40123;Sociedades constituidas;1470.0;A
2013;2713;46365;40123;Sociedades constituidas;3.0;A
2013;2797;46367;40123;Sociedades constituidas;736.0;A
2013;2797;46360;40123;Sociedades constituidas;;A
2013;2797;46364;40123;Sociedades constituidas;734.0;A
2013;2797;46363;40123;Sociedades constituidas;734.0;A
2013;2797;46365;40123;Sociedades constituidas;2.0;A
2013;2911;46367;40123;Sociedades constituidas;580.0;A
2013;2911;46360;40123;Sociedades constituidas;4.0;A
2013;2911;46364;40123;Sociedades constituidas;574.0;A
2013;2911;46362;40123;Sociedades constituidas;2.0;A
2013;2911;46363;40123;Sociedades constituidas;572.0;A
2013;2911;46365;40123;Sociedades constituidas;2.0;A
2013;3023;46367;40123;Sociedades constituidas;4671.0;A
2013;3023;46360;40123;Sociedades constituidas;7.0;A
2013;3023;46364;40123;Sociedades constituidas;4647.0;A
2013;3023;46362;40123;Sociedades constituidas;6.0;A
2013;3023;46363;40123;Sociedades constituidas;4641.0;A
2013;3023;46365;40123;Sociedades constituidas;17.0;A
2013;3142;46367;40123;Sociedades constituidas;3821.0;A
2013;3142;46360;40123;Sociedades constituidas;11.0;A
2013;3142;46364;40123;Sociedades constituidas;3791.0;A
2013;3142;46362;40123;Sociedades constituidas;7.0;A
2013;3142;46363;40123;Sociedades constituidas;3784.0;A
2013;3142;46365;40123;Sociedades constituidas;19.0;A
2012;3143;46367;40123;Sociedades constituidas;14461.0;A
2012;3143;46360;40123;Sociedades constituidas;66.0;A
2012;3143;46364;40123;Sociedades constituidas;14332.0;A
2012;3143;46362;40123;Sociedades constituidas;27.0;A
2012;3143;46363;40123;Sociedades constituidas;14305.0;A
2012;3143;46365;40123;Sociedades constituidas;63.0;A
2012;2352;46367;40123;Sociedades constituidas;1349.0;A
2012;2352;46360;40123;Sociedades constituidas;5.0;A
2012;2352;46364;40123;Sociedades constituidas;1342.0;A
2012;2352;46363;40123;Sociedades constituidas;1342.0;A
2012;2352;46365;40123;Sociedades constituidas;2.0;A
2012;2402;46367;40123;Sociedades constituidas;1411.0;A
2012;2402;46360;40123;Sociedades constituidas;10.0;A
2012;2402;46364;40123;Sociedades constituidas;1396.0;A
2012;2402;46362;40123;Sociedades constituidas;2.0;A
2012;2402;46363;40123;Sociedades constituidas;1394.0;A
2012;2402;46365;40123;Sociedades constituidas;5.0;A
2012;2482;46367;40123;Sociedades constituidas;1162.0;A
2012;2482;46360;40123;Sociedades constituidas;3.0;A
