D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;D_FORMA_JUR_SOCMER_0;INDICATOR;FREQ;D_CNAE09_0;D_SEXO_SOCIOS_0;OBS_VALUE
A;2243;2012;46364;SOC_CONST;A;_Z;_Z;43.0
A;2243;2012;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2012;46366;SOC_CONST;A;_Z;_Z;1.0
A;2243;2012;46367;CAP_SUSCRITO;A;_Z;_Z;376296.0
A;2243;2012;46367;SOC_CONST;A;_Z;_Z;44.0
A;2243;2013;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2013;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2013;46364;CAP_SUSCRITO;A;_Z;_Z;300560.0
A;2243;2013;46364;SOC_CONST;A;_Z;_Z;31.0
A;2243;2013;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2013;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2013;46367;CAP_SUSCRITO;A;_Z;_Z;300560.0
A;2243;2013;46367;SOC_CONST;A;_Z;_Z;31.0
A;2243;2014;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2014;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2014;46364;CAP_SUSCRITO;A;_Z;_Z;1839907.0
A;2243;2014;46364;SOC_CONST;A;_Z;_Z;37.0
A;2243;2014;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2014;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2014;46367;CAP_SUSCRITO;A;_Z;_Z;1839907.0
A;2243;2014;46367;SOC_CONST;A;_Z;_Z;37.0
A;2243;2015;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2015;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2015;46364;CAP_SUSCRITO;A;_Z;_Z;1282422.0
A;2243;2015;46364;SOC_CONST;A;_Z;_Z;44.0
A;2243;2015;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2015;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2015;46367;CAP_SUSCRITO;A;_Z;_Z;1282422.0
A;2243;2015;46367;SOC_CONST;A;_Z;_Z;44.0
A;2243;2016;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2016;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2016;46364;CAP_SUSCRITO;A;_Z;_Z;711183.0
A;2243;2016;46364;SOC_CONST;A;_Z;_Z;40.0
A;2243;2016;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2016;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2016;46367;CAP_SUSCRITO;A;_Z;_Z;711183.0
A;2243;2016;46367;SOC_CONST;A;_Z;_Z;40.0
A;2243;2017;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2017;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2017;46364;CAP_SUSCRITO;A;_Z;_Z;1407572.0
A;2243;2017;46364;SOC_CONST;A;_Z;_Z;43.0
A;2243;2017;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2017;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2017;46367;CAP_SUSCRITO;A;_Z;_Z;1407572.0
A;2243;2017;46367;SOC_CONST;A;_Z;_Z;43.0
A;2243;2018;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2018;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2018;46364;CAP_SUSCRITO;A;_Z;_Z;881829.0
