EDCA_LUGDEF;MES;G102;SEXO;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
838406;12;838410;M;2020;ES61;DEATHS;19.0;A
838406;12;838410;F;2020;ES61;DEATHS;37.0;A
838406;12;838410;_T;2020;ES61;DEATHS;56.0;A
838406;12;838411;F;2020;ES61;DEATHS;2.0;A
838406;12;838411;_T;2020;ES61;DEATHS;2.0;A
838406;12;57731;M;2020;ES61;DEATHS;182.0;A
838406;12;57731;F;2020;ES61;DEATHS;341.0;A
838406;12;57731;_T;2020;ES61;DEATHS;523.0;A
838406;12;583;M;2020;ES61;DEATHS;201.0;A
838406;12;583;F;2020;ES61;DEATHS;380.0;A
838406;12;583;_T;2020;ES61;DEATHS;581.0;A
838406;55920;838410;M;2020;ES61;DEATHS;214.0;A
838406;55920;838410;F;2020;ES61;DEATHS;433.0;A
838406;55920;838410;_T;2020;ES61;DEATHS;647.0;A
838406;55920;838411;M;2020;ES61;DEATHS;50.0;A
838406;55920;838411;F;2020;ES61;DEATHS;80.0;A
838406;55920;838411;_T;2020;ES61;DEATHS;130.0;A
838406;55920;57731;M;2020;ES61;DEATHS;2381.0;A
838406;55920;57731;F;2020;ES61;DEATHS;4245.0;A
838406;55920;57731;_T;2020;ES61;DEATHS;6626.0;A
838406;55920;583;M;2020;ES61;DEATHS;2645.0;A
838406;55920;583;F;2020;ES61;DEATHS;4758.0;A
838406;55920;583;_T;2020;ES61;DEATHS;7403.0;A
838408;01;57731;M;2020;ES61;DEATHS;268.0;A
838408;01;57731;F;2020;ES61;DEATHS;101.0;A
838408;01;57731;_T;2020;ES61;DEATHS;369.0;A
838408;01;583;M;2020;ES61;DEATHS;268.0;A
838408;01;583;F;2020;ES61;DEATHS;101.0;A
838408;01;583;_T;2020;ES61;DEATHS;369.0;A
838408;02;57731;M;2020;ES61;DEATHS;218.0;A
838408;02;57731;F;2020;ES61;DEATHS;90.0;A
838408;02;57731;_T;2020;ES61;DEATHS;308.0;A
838408;02;583;M;2020;ES61;DEATHS;218.0;A
838408;02;583;F;2020;ES61;DEATHS;90.0;A
838408;02;583;_T;2020;ES61;DEATHS;308.0;A
838408;03;838410;M;2020;ES61;DEATHS;1.0;A
838408;03;838410;_T;2020;ES61;DEATHS;1.0;A
838408;03;838411;M;2020;ES61;DEATHS;3.0;A
838408;03;838411;_T;2020;ES61;DEATHS;3.0;A
838408;03;57731;M;2020;ES61;DEATHS;170.0;A
838408;03;57731;F;2020;ES61;DEATHS;63.0;A
838408;03;57731;_T;2020;ES61;DEATHS;233.0;A
838408;03;583;M;2020;ES61;DEATHS;174.0;A
838408;03;583;F;2020;ES61;DEATHS;63.0;A
838408;03;583;_T;2020;ES61;DEATHS;237.0;A
838408;04;838410;F;2020;ES61;DEATHS;1.0;A
838408;04;838410;_T;2020;ES61;DEATHS;1.0;A
838408;04;838411;M;2020;ES61;DEATHS;1.0;A
838408;04;838411;_T;2020;ES61;DEATHS;1.0;A
838408;04;57731;M;2020;ES61;DEATHS;92.0;A
838408;04;57731;F;2020;ES61;DEATHS;34.0;A
838408;04;57731;_T;2020;ES61;DEATHS;126.0;A
838408;04;583;M;2020;ES61;DEATHS;93.0;A
838408;04;583;F;2020;ES61;DEATHS;35.0;A
838408;04;583;_T;2020;ES61;DEATHS;128.0;A
838408;05;57731;M;2020;ES61;DEATHS;150.0;A
838408;05;57731;F;2020;ES61;DEATHS;40.0;A
838408;05;57731;_T;2020;ES61;DEATHS;190.0;A
838408;05;583;M;2020;ES61;DEATHS;150.0;A
838408;05;583;F;2020;ES61;DEATHS;40.0;A
838408;05;583;_T;2020;ES61;DEATHS;190.0;A
838408;06;57731;M;2020;ES61;DEATHS;170.0;A
838408;06;57731;F;2020;ES61;DEATHS;42.0;A
838408;06;57731;_T;2020;ES61;DEATHS;212.0;A
838408;06;583;M;2020;ES61;DEATHS;170.0;A
838408;06;583;F;2020;ES61;DEATHS;42.0;A
838408;06;583;_T;2020;ES61;DEATHS;212.0;A
838408;07;57731;M;2020;ES61;DEATHS;201.0;A
838408;07;57731;F;2020;ES61;DEATHS;51.0;A
838408;07;57731;_T;2020;ES61;DEATHS;252.0;A
838408;07;583;M;2020;ES61;DEATHS;201.0;A
838408;07;583;F;2020;ES61;DEATHS;51.0;A
838408;07;583;_T;2020;ES61;DEATHS;252.0;A
838408;08;57731;M;2020;ES61;DEATHS;195.0;A
838408;08;57731;F;2020;ES61;DEATHS;66.0;A
838408;08;57731;_T;2020;ES61;DEATHS;261.0;A
838408;08;583;M;2020;ES61;DEATHS;195.0;A
838408;08;583;F;2020;ES61;DEATHS;66.0;A
838408;08;583;_T;2020;ES61;DEATHS;261.0;A
838408;09;838410;M;2020;ES61;DEATHS;1.0;A
838408;09;838410;F;2020;ES61;DEATHS;1.0;A
