TEMPORAL;TERRITORIO;EDAD;G102;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;ES611;Y60-64;583;F;DEATHS;91.0;A
2020;ES611;Y60-64;583;_T;DEATHS;333.0;A
2020;ES611;Y65-69;838410;M;DEATHS;15.0;A
2020;ES611;Y65-69;838410;F;DEATHS;1.0;A
2020;ES611;Y65-69;838410;_T;DEATHS;16.0;A
2020;ES611;Y65-69;838411;M;DEATHS;2.0;A
2020;ES611;Y65-69;838411;_T;DEATHS;2.0;A
2020;ES611;Y65-69;57731;M;DEATHS;222.0;A
2020;ES611;Y65-69;57731;F;DEATHS;113.0;A
2020;ES611;Y65-69;57731;_T;DEATHS;335.0;A
2020;ES611;Y65-69;583;M;DEATHS;239.0;A
2020;ES611;Y65-69;583;F;DEATHS;114.0;A
2020;ES611;Y65-69;583;_T;DEATHS;353.0;A
2020;ES611;Y70-74;838410;M;DEATHS;15.0;A
2020;ES611;Y70-74;838410;F;DEATHS;7.0;A
2020;ES611;Y70-74;838410;_T;DEATHS;22.0;A
2020;ES611;Y70-74;838411;M;DEATHS;3.0;A
2020;ES611;Y70-74;838411;_T;DEATHS;3.0;A
2020;ES611;Y70-74;57731;M;DEATHS;348.0;A
2020;ES611;Y70-74;57731;F;DEATHS;156.0;A
2020;ES611;Y70-74;57731;_T;DEATHS;504.0;A
2020;ES611;Y70-74;583;M;DEATHS;366.0;A
2020;ES611;Y70-74;583;F;DEATHS;163.0;A
2020;ES611;Y70-74;583;_T;DEATHS;529.0;A
2020;ES611;Y75-79;838410;M;DEATHS;16.0;A
2020;ES611;Y75-79;838410;F;DEATHS;15.0;A
2020;ES611;Y75-79;838410;_T;DEATHS;31.0;A
2020;ES611;Y75-79;838411;M;DEATHS;3.0;A
2020;ES611;Y75-79;838411;F;DEATHS;1.0;A
2020;ES611;Y75-79;838411;_T;DEATHS;4.0;A
2020;ES611;Y75-79;57731;M;DEATHS;390.0;A
2020;ES611;Y75-79;57731;F;DEATHS;210.0;A
2020;ES611;Y75-79;57731;_T;DEATHS;600.0;A
2020;ES611;Y75-79;583;M;DEATHS;409.0;A
2020;ES611;Y75-79;583;F;DEATHS;226.0;A
2020;ES611;Y75-79;583;_T;DEATHS;635.0;A
2020;ES611;Y80-84;838410;M;DEATHS;25.0;A
2020;ES611;Y80-84;838410;F;DEATHS;22.0;A
2020;ES611;Y80-84;838410;_T;DEATHS;47.0;A
2020;ES611;Y80-84;838411;M;DEATHS;2.0;A
2020;ES611;Y80-84;838411;F;DEATHS;3.0;A
2020;ES611;Y80-84;838411;_T;DEATHS;5.0;A
2020;ES611;Y80-84;57731;M;DEATHS;430.0;A
2020;ES611;Y80-84;57731;F;DEATHS;377.0;A
2020;ES611;Y80-84;57731;_T;DEATHS;807.0;A
2020;ES611;Y80-84;583;M;DEATHS;457.0;A
2020;ES611;Y80-84;583;F;DEATHS;402.0;A
2020;ES611;Y80-84;583;_T;DEATHS;859.0;A
2020;ES611;Y85-89;838410;M;DEATHS;24.0;A
2020;ES611;Y85-89;838410;F;DEATHS;28.0;A
2020;ES611;Y85-89;838410;_T;DEATHS;52.0;A
2020;ES611;Y85-89;838411;M;DEATHS;3.0;A
2020;ES611;Y85-89;838411;F;DEATHS;3.0;A
2020;ES611;Y85-89;838411;_T;DEATHS;6.0;A
2020;ES611;Y85-89;57731;M;DEATHS;449.0;A
2020;ES611;Y85-89;57731;F;DEATHS;614.0;A
2020;ES611;Y85-89;57731;_T;DEATHS;1063.0;A
2020;ES611;Y85-89;583;M;DEATHS;476.0;A
2020;ES611;Y85-89;583;F;DEATHS;645.0;A
2020;ES611;Y85-89;583;_T;DEATHS;1121.0;A
2020;ES611;Y90-94;838410;M;DEATHS;15.0;A
2020;ES611;Y90-94;838410;F;DEATHS;21.0;A
2020;ES611;Y90-94;838410;_T;DEATHS;36.0;A
2020;ES611;Y90-94;838411;M;DEATHS;1.0;A
2020;ES611;Y90-94;838411;F;DEATHS;6.0;A
2020;ES611;Y90-94;838411;_T;DEATHS;7.0;A
2020;ES611;Y90-94;57731;M;DEATHS;284.0;A
2020;ES611;Y90-94;57731;F;DEATHS;476.0;A
2020;ES611;Y90-94;57731;_T;DEATHS;760.0;A
2020;ES611;Y90-94;583;M;DEATHS;300.0;A
2020;ES611;Y90-94;583;F;DEATHS;503.0;A
2020;ES611;Y90-94;583;_T;DEATHS;803.0;A
2020;ES611;Y95-99;838410;M;DEATHS;3.0;A
2020;ES611;Y95-99;838410;F;DEATHS;8.0;A
2020;ES611;Y95-99;838410;_T;DEATHS;11.0;A
2020;ES611;Y95-99;838411;F;DEATHS;2.0;A
2020;ES611;Y95-99;838411;_T;DEATHS;2.0;A
2020;ES611;Y95-99;57731;M;DEATHS;65.0;A
2020;ES611;Y95-99;57731;F;DEATHS;182.0;A
2020;ES611;Y95-99;57731;_T;DEATHS;247.0;A
2020;ES611;Y95-99;583;M;DEATHS;68.0;A
2020;ES611;Y95-99;583;F;DEATHS;192.0;A
2020;ES611;Y95-99;583;_T;DEATHS;260.0;A
2020;ES611;Y_GE100;838410;M;DEATHS;1.0;A
2020;ES611;Y_GE100;838410;F;DEATHS;1.0;A
2020;ES611;Y_GE100;838410;_T;DEATHS;2.0;A
2020;ES611;Y_GE100;57731;M;DEATHS;13.0;A
2020;ES611;Y_GE100;57731;F;DEATHS;30.0;A
2020;ES611;Y_GE100;57731;_T;DEATHS;43.0;A
2020;ES611;Y_GE100;583;M;DEATHS;14.0;A
2020;ES611;Y_GE100;583;F;DEATHS;31.0;A
2020;ES611;Y_GE100;583;_T;DEATHS;45.0;A
2020;ES611;TOTAL;838410;M;DEATHS;151.0;A
2020;ES611;TOTAL;838410;F;DEATHS;115.0;A
2020;ES611;TOTAL;838410;_T;DEATHS;266.0;A
2020;ES611;TOTAL;838411;M;DEATHS;18.0;A
2020;ES611;TOTAL;838411;F;DEATHS;15.0;A
2020;ES611;TOTAL;838411;_T;DEATHS;33.0;A
2020;ES611;TOTAL;57731;M;DEATHS;2882.0;A
2020;ES611;TOTAL;57731;F;DEATHS;2517.0;A
2020;ES611;TOTAL;57731;_T;DEATHS;5399.0;A
2020;ES611;TOTAL;583;M;DEATHS;3051.0;A
2020;ES611;TOTAL;583;F;DEATHS;2647.0;A
2020;ES611;TOTAL;583;_T;DEATHS;5698.0;A
2020;ES612;Y_LT1;57731;M;DEATHS;13.0;A
2020;ES612;Y_LT1;57731;F;DEATHS;7.0;A
2020;ES612;Y_LT1;57731;_T;DEATHS;20.0;A
2020;ES612;Y_LT1;583;M;DEATHS;13.0;A
2020;ES612;Y_LT1;583;F;DEATHS;7.0;A
2020;ES612;Y_LT1;583;_T;DEATHS;20.0;A
2020;ES612;Y_LT15;57731;M;DEATHS;8.0;A
2020;ES612;Y_LT15;57731;F;DEATHS;6.0;A
2020;ES612;Y_LT15;57731;_T;DEATHS;14.0;A
2020;ES612;Y_LT15;583;M;DEATHS;8.0;A
2020;ES612;Y_LT15;583;F;DEATHS;6.0;A
2020;ES612;Y_LT15;583;_T;DEATHS;14.0;A
2020;ES612;Y15-29;838410;M;DEATHS;1.0;A
2020;ES612;Y15-29;838410;F;DEATHS;1.0;A
2020;ES612;Y15-29;838410;_T;DEATHS;2.0;A
