D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2017;ES612;F;_T;DIV;24.7339;A
2017;ES612;F;F;DIV;24.7339;A
2017;ES613;_T;_T;DIV;1426.032;A
2017;ES613;_T;M;DIV;6.6085;A
2017;ES613;_T;F;DIV;1419.4235;A
2017;ES613;M;_T;DIV;1411.8085;A
2017;ES613;M;M;DIV;6.6085;A
2017;ES613;M;F;DIV;1405.2;A
2017;ES613;F;_T;DIV;14.2235;A
2017;ES613;F;F;DIV;14.2235;A
2017;ES614;_T;_T;DIV;1990.6668;A
2017;ES614;_T;M;DIV;16.8724;A
2017;ES614;_T;F;DIV;1973.7944;A
2017;ES614;M;_T;DIV;1986.6364;A
2017;ES614;M;M;DIV;16.8724;A
2017;ES614;M;F;DIV;1969.764;A
2017;ES614;F;_T;DIV;4.0304;A
2017;ES614;F;F;DIV;4.0304;A
2017;ES615;_T;_T;DIV;1060.4795;A
2017;ES615;_T;M;DIV;6.5155;A
2017;ES615;_T;F;DIV;1053.964;A
2017;ES615;M;_T;DIV;1058.4987;A
2017;ES615;M;M;DIV;6.5155;A
2017;ES615;M;F;DIV;1051.9832;A
2017;ES615;F;_T;DIV;1.9808;A
2017;ES615;F;F;DIV;1.9808;A
2017;ES616;_T;_T;DIV;1127.8821;A
2017;ES616;_T;F;DIV;1127.8821;A
2017;ES616;M;_T;DIV;1127.8821;A
2017;ES616;M;F;DIV;1127.8821;A
2017;ES617;_T;_T;DIV;3652.1307;A
2017;ES617;_T;M;DIV;21.7821;A
2017;ES617;_T;F;DIV;3630.3486;A
2017;ES617;M;_T;DIV;3636.7047;A
2017;ES617;M;M;DIV;21.7821;A
2017;ES617;M;F;DIV;3614.9226;A
2017;ES617;F;_T;DIV;15.426;A
2017;ES617;F;F;DIV;15.426;A
2017;ES618;_T;_T;DIV;4318.3766;A
2017;ES618;_T;M;DIV;16.2285;A
2017;ES618;_T;F;DIV;4302.1481;A
2017;ES618;M;_T;DIV;4307.6461;A
2017;ES618;M;M;DIV;16.2285;A
2017;ES618;M;F;DIV;4291.4176;A
2017;ES618;F;_T;DIV;10.7305;A
2017;ES618;F;F;DIV;10.7305;A
2016;ES61;_T;_T;DIV;16968.2676;A
2016;ES61;_T;M;DIV;118.7851;A
2016;ES61;_T;F;DIV;16849.4825;A
2016;ES61;M;_T;DIV;16897.6259;A
2016;ES61;M;M;DIV;118.7851;A
2016;ES61;M;F;DIV;16778.8408;A
2016;ES61;F;_T;DIV;70.6417;A
2016;ES61;F;F;DIV;70.6417;A
2016;ES611;_T;_T;DIV;1425.5804;A
2016;ES611;_T;M;DIV;1.3299;A
2016;ES611;_T;F;DIV;1424.2505;A
2016;ES611;M;_T;DIV;1416.2608;A
2016;ES611;M;M;DIV;1.3299;A
2016;ES611;M;F;DIV;1414.9309;A
2016;ES611;F;_T;DIV;9.3196;A
2016;ES611;F;F;DIV;9.3196;A
2016;ES612;_T;_T;DIV;2275.825;A
2016;ES612;_T;M;DIV;12.4596;A
2016;ES612;_T;F;DIV;2263.3654;A
2016;ES612;M;_T;DIV;2270.0952;A
2016;ES612;M;M;DIV;12.4596;A
2016;ES612;M;F;DIV;2257.6356;A
2016;ES612;F;_T;DIV;5.7298;A
2016;ES612;F;F;DIV;5.7298;A
2016;ES613;_T;_T;DIV;1473.292;A
2016;ES613;_T;M;DIV;14.6098;A
2016;ES613;_T;F;DIV;1458.6822;A
2016;ES613;M;_T;DIV;1466.7675;A
2016;ES613;M;M;DIV;14.6098;A
2016;ES613;M;F;DIV;1452.1577;A
2016;ES613;F;_T;DIV;6.5245;A
2016;ES613;F;F;DIV;6.5245;A
2016;ES614;_T;_T;DIV;1937.4432;A
2016;ES614;_T;M;DIV;16.3728;A
2016;ES614;_T;F;DIV;1921.0704;A
2016;ES614;M;_T;DIV;1929.9856;A
2016;ES614;M;M;DIV;16.3728;A
2016;ES614;M;F;DIV;1913.6128;A
2016;ES614;F;_T;DIV;7.4576;A
2016;ES614;F;F;DIV;7.4576;A
2016;ES615;_T;_T;DIV;1053.5608;A
2016;ES615;_T;M;DIV;6.1876;A
2016;ES615;_T;F;DIV;1047.3732;A
2016;ES615;M;_T;DIV;1047.3732;A
2016;ES615;M;M;DIV;6.1876;A
2016;ES615;M;F;DIV;1041.1856;A
2016;ES615;F;_T;DIV;6.1876;A
2016;ES615;F;F;DIV;6.1876;A
2016;ES616;_T;_T;DIV;1120.7404;A
2016;ES616;_T;M;DIV;6.9792;A
2016;ES616;_T;F;DIV;1113.7612;A
2016;ES616;M;_T;DIV;1119.2456;A
2016;ES616;M;M;DIV;6.9792;A
2016;ES616;M;F;DIV;1112.2664;A
2016;ES616;F;_T;DIV;1.4948;A
2016;ES616;F;F;DIV;1.4948;A
2016;ES617;_T;_T;DIV;3657.8326;A
2016;ES617;_T;M;DIV;35.5078;A
2016;ES617;_T;F;DIV;3622.3248;A
2016;ES617;M;_T;DIV;3642.8278;A
2016;ES617;M;M;DIV;35.5078;A
2016;ES617;M;F;DIV;3607.32;A
2016;ES617;F;_T;DIV;15.0048;A
2016;ES617;F;F;DIV;15.0048;A
2016;ES618;_T;_T;DIV;4023.9932;A
2016;ES618;_T;M;DIV;25.3384;A
2016;ES618;_T;F;DIV;3998.6548;A
2016;ES618;M;_T;DIV;4005.0702;A
2016;ES618;M;M;DIV;25.3384;A
2016;ES618;M;F;DIV;3979.7318;A
2016;ES618;F;_T;DIV;18.923;A
2016;ES618;F;F;DIV;18.923;A
2015;ES61;_T;_T;DIV;17029.5907;A
2015;ES61;_T;M;DIV;55.0451;A
2015;ES61;_T;F;DIV;16974.5456;A
2015;ES61;M;_T;DIV;16967.1442;A
2015;ES61;M;M;DIV;55.0451;A
2015;ES61;M;F;DIV;16912.0991;A
2015;ES61;F;_T;DIV;62.4465;A
2015;ES61;F;F;DIV;62.4465;A
2015;ES611;_T;_T;DIV;1398.5163;A
2015;ES611;_T;M;DIV;3.1572;A
2015;ES611;_T;F;DIV;1395.3591;A
2015;ES611;M;_T;DIV;1395.3591;A
2015;ES611;M;M;DIV;3.1572;A
2015;ES611;M;F;DIV;1392.2019;A
2015;ES611;F;_T;DIV;3.1572;A
2015;ES611;F;F;DIV;3.1572;A
2015;ES612;_T;_T;DIV;2355.5567;A
2015;ES612;_T;M;DIV;9.5628;A
2015;ES612;_T;F;DIV;2345.9939;A
