D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2018;ES611;30;DIV;123.9869;A
2018;ES611;4;DIV;82.8448;A
2018;ES611;5;DIV;41.1421;A
2018;ES612;00;DIV;2490.3415;A
2018;ES612;11;DIV;2355.8524;A
2018;ES612;10;DIV;2355.8524;A
2018;ES612;1;DIV;2355.8524;A
2018;ES612;22;DIV;134.4891;A
2018;ES612;20;DIV;93.4413;A
2018;ES612;2;DIV;38.7506;A
2018;ES612;3;DIV;54.6907;A
2018;ES612;30;DIV;41.0478;A
2018;ES612;4;DIV;30.6125;A
2018;ES612;5;DIV;10.4353;A
2018;ES613;00;DIV;1405.7198;A
2018;ES613;11;DIV;1358.376;A
2018;ES613;10;DIV;1358.376;A
2018;ES613;1;DIV;1358.376;A
2018;ES613;22;DIV;47.3438;A
2018;ES613;20;DIV;31.1252;A
2018;ES613;2;DIV;23.2532;A
2018;ES613;3;DIV;7.872;A
2018;ES613;30;DIV;16.2186;A
2018;ES613;4;DIV;14.9066;A
2018;ES613;5;DIV;1.312;A
2018;ES614;00;DIV;1684.5826;A
2018;ES614;11;DIV;1518.3562;A
2018;ES614;10;DIV;1518.3562;A
2018;ES614;1;DIV;1518.3562;A
2018;ES614;22;DIV;166.2264;A
2018;ES614;20;DIV;119.0099;A
2018;ES614;2;DIV;69.0555;A
2018;ES614;3;DIV;49.9544;A
2018;ES614;30;DIV;47.2165;A
2018;ES614;4;DIV;39.8034;A
2018;ES614;5;DIV;7.4131;A
2018;ES615;00;DIV;986.218;A
2018;ES615;11;DIV;902.256;A
2018;ES615;10;DIV;902.256;A
2018;ES615;1;DIV;902.256;A
2018;ES615;22;DIV;83.962;A
2018;ES615;20;DIV;65.614;A
2018;ES615;2;DIV;47.153;A
2018;ES615;3;DIV;18.461;A
2018;ES615;30;DIV;18.348;A
2018;ES615;4;DIV;12.232;A
2018;ES615;5;DIV;6.116;A
2018;ES616;00;DIV;1108.2069;A
2018;ES616;11;DIV;1060.2113;A
2018;ES616;10;DIV;1060.2113;A
2018;ES616;1;DIV;1060.2113;A
2018;ES616;22;DIV;47.9956;A
2018;ES616;20;DIV;41.0677;A
2018;ES616;2;DIV;19.153;A
2018;ES616;3;DIV;21.9147;A
2018;ES616;30;DIV;6.9279;A
2018;ES616;4;DIV;6.9279;A
2018;ES617;00;DIV;3718.358;A
2018;ES617;11;DIV;2958.0385;A
2018;ES617;10;DIV;2958.0385;A
2018;ES617;1;DIV;2958.0385;A
2018;ES617;22;DIV;760.3195;A
2018;ES617;20;DIV;507.8219;A
2018;ES617;2;DIV;211.8609;A
2018;ES617;3;DIV;295.961;A
2018;ES617;30;DIV;252.4976;A
2018;ES617;4;DIV;152.2384;A
2018;ES617;5;DIV;100.2592;A
2018;ES618;00;DIV;4085.2617;A
2018;ES618;11;DIV;3845.8833;A
2018;ES618;10;DIV;3845.8833;A
2018;ES618;1;DIV;3845.8833;A
2018;ES618;22;DIV;239.3784;A
2018;ES618;20;DIV;182.3609;A
2018;ES618;2;DIV;84.7634;A
2018;ES618;3;DIV;97.5975;A
2018;ES618;30;DIV;57.0175;A
2018;ES618;4;DIV;46.2073;A
2018;ES618;5;DIV;10.8102;A
2017;ES61;00;DIV;17436.6101;A
2017;ES61;11;DIV;15730.167;A
2017;ES61;10;DIV;15730.167;A
2017;ES61;1;DIV;15730.167;A
2017;ES61;22;DIV;1706.4431;A
2017;ES61;20;DIV;1258.9772;A
2017;ES61;2;DIV;652.5236;A
2017;ES61;3;DIV;606.4536;A
2017;ES61;30;DIV;447.4659;A
2017;ES61;4;DIV;302.8462;A
2017;ES61;5;DIV;144.6197;A
2017;ES611;00;DIV;1454.7143;A
2017;ES611;11;DIV;1118.7922;A
2017;ES611;10;DIV;1118.7922;A
2017;ES611;1;DIV;1118.7922;A
2017;ES611;22;DIV;335.9221;A
2017;ES611;20;DIV;214.3138;A
2017;ES611;2;DIV;126.1172;A
2017;ES611;3;DIV;88.1966;A
2017;ES611;30;DIV;121.6083;A
2017;ES611;4;DIV;75.6988;A
2017;ES611;5;DIV;45.9095;A
2017;ES612;00;DIV;2406.3281;A
2017;ES612;11;DIV;2261.2608;A
2017;ES612;10;DIV;2261.2608;A
2017;ES612;1;DIV;2261.2608;A
2017;ES612;22;DIV;145.0673;A
2017;ES612;20;DIV;114.7099;A
2017;ES612;2;DIV;61.8585;A
2017;ES612;3;DIV;52.8514;A
2017;ES612;30;DIV;30.3574;A
2017;ES612;4;DIV;25.282;A
2017;ES612;5;DIV;5.0754;A
2017;ES613;00;DIV;1426.032;A
2017;ES613;11;DIV;1357.9605;A
2017;ES613;10;DIV;1357.9605;A
2017;ES613;1;DIV;1357.9605;A
2017;ES613;22;DIV;68.0715;A
2017;ES613;20;DIV;54.3645;A
2017;ES613;2;DIV;28.447;A
2017;ES613;3;DIV;25.9175;A
2017;ES613;30;DIV;13.707;A
2017;ES613;4;DIV;12.184;A
2017;ES613;5;DIV;1.523;A
2017;ES614;00;DIV;1990.6668;A
2017;ES614;11;DIV;1846.5006;A
2017;ES614;10;DIV;1846.5006;A
2017;ES614;1;DIV;1846.5006;A
2017;ES614;22;DIV;144.1662;A
2017;ES614;20;DIV;112.812;A
2017;ES614;2;DIV;65.099;A
2017;ES614;3;DIV;47.713;A
2017;ES614;30;DIV;31.3542;A
2017;ES614;4;DIV;24.9332;A
2017;ES614;5;DIV;6.421;A
2017;ES615;00;DIV;1060.4795;A
2017;ES615;11;DIV;1005.5401;A
2017;ES615;10;DIV;1005.5401;A
2017;ES615;1;DIV;1005.5401;A
2017;ES615;22;DIV;54.9394;A
2017;ES615;20;DIV;42.4815;A
2017;ES615;2;DIV;32.0044;A
2017;ES615;3;DIV;10.4771;A
2017;ES615;30;DIV;12.4579;A
2017;ES615;4;DIV;5.9424;A
2017;ES615;5;DIV;6.5155;A
2017;ES616;00;DIV;1127.8821;A
2017;ES616;11;DIV;1085.5227;A
2017;ES616;10;DIV;1085.5227;A
2017;ES616;1;DIV;1085.5227;A
2017;ES616;22;DIV;42.3594;A
2017;ES616;20;DIV;40.3122;A
2017;ES616;2;DIV;14.8022;A
2017;ES616;3;DIV;25.51;A
2017;ES616;30;DIV;2.0472;A
2017;ES616;4;DIV;2.0472;A
2017;ES617;00;DIV;3652.1307;A
2017;ES617;11;DIV;3018.8079;A
2017;ES617;10;DIV;3018.8079;A
2017;ES617;1;DIV;3018.8079;A
2017;ES617;22;DIV;633.3228;A
2017;ES617;20;DIV;462.9495;A
2017;ES617;2;DIV;218.3118;A
2017;ES617;3;DIV;244.6377;A
2017;ES617;30;DIV;170.3733;A
2017;ES617;4;DIV;111.1689;A
2017;ES617;5;DIV;59.2044;A
2017;ES618;00;DIV;4318.3766;A
2017;ES618;11;DIV;4035.7822;A
2017;ES618;10;DIV;4035.7822;A
2017;ES618;1;DIV;4035.7822;A
2017;ES618;22;DIV;282.5944;A
2017;ES618;20;DIV;217.0338;A
2017;ES618;2;DIV;105.8835;A
2017;ES618;3;DIV;111.1503;A
2017;ES618;30;DIV;65.5606;A
2017;ES618;4;DIV;45.5897;A
2017;ES618;5;DIV;19.9709;A
2016;ES61;00;DIV;16968.2676;A
2016;ES61;11;DIV;15428.564;A
2016;ES61;10;DIV;15428.564;A
2016;ES61;1;DIV;15428.564;A
2016;ES61;22;DIV;1539.7036;A
2016;ES61;20;DIV;1101.5788;A
2016;ES61;2;DIV;564.954;A
2016;ES61;3;DIV;536.6248;A
2016;ES61;30;DIV;438.1248;A
2016;ES61;4;DIV;292.2994;A
2016;ES61;5;DIV;145.8254;A
2016;ES611;00;DIV;1425.5804;A
2016;ES611;11;DIV;1186.1984;A
2016;ES611;10;DIV;1186.1984;A
2016;ES611;1;DIV;1186.1984;A
2016;ES611;22;DIV;239.382;A
2016;ES611;20;DIV;154.2684;A
2016;ES611;2;DIV;87.7734;A
2016;ES611;3;DIV;66.495;A
2016;ES611;30;DIV;85.1136;A
2016;ES611;4;DIV;53.196;A
2016;ES611;5;DIV;31.9176;A
2016;ES612;00;DIV;2275.825;A
2016;ES612;11;DIV;2156.0034;A
2016;ES612;10;DIV;2156.0034;A
2016;ES612;1;DIV;2156.0034;A
2016;ES612;22;DIV;119.8216;A
2016;ES612;20;DIV;96.1726;A
2016;ES612;2;DIV;59.9108;A
2016;ES612;3;DIV;36.2618;A
2016;ES612;30;DIV;23.649;A
2016;ES612;4;DIV;17.3426;A
2016;ES612;5;DIV;6.3064;A
2016;ES613;00;DIV;1473.292;A
2016;ES613;11;DIV;1421.096;A
2016;ES613;10;DIV;1421.096;A
2016;ES613;1;DIV;1421.096;A
2016;ES613;22;DIV;52.196;A
2016;ES613;20;DIV;41.7568;A
2016;ES613;2;DIV;16.9637;A
2016;ES613;3;DIV;24.7931;A
2016;ES613;30;DIV;10.4392;A
2016;ES613;4;DIV;9.1343;A
2016;ES613;5;DIV;1.3049;A
2016;ES614;00;DIV;1937.4432;A
2016;ES614;11;DIV;1783.3088;A
2016;ES614;10;DIV;1783.3088;A
2016;ES614;1;DIV;1783.3088;A
2016;ES614;22;DIV;154.1344;A
