TERRITORIO;SECC_CNAE09;OBS_STATUS;TEMPORAL;MACROMAG_CPA;INDICATOR;OBS_VALUE;FREQ
ES611;273780;A;2008;273772;NR;923.0;A
ES611;273780;A;2008;273773;NR;45.0;A
ES611;273780;A;2009;273760;NR;88704.0;A
ES611;273780;A;2009;273761;NR;38913.0;A
ES611;273780;A;2009;273762;NR;49791.0;A
ES611;273780;A;2009;273765;NR;224.332440296;A
ES611;273780;A;2009;273768;NR;22771.0;A
ES611;273780;A;2009;273769;NR;125.0;A
ES611;273780;A;2009;273770;NR;26895.0;A
ES611;273780;A;2009;273771;NR;916.0;A
ES611;273780;A;2009;273772;NR;872.0;A
ES611;273780;A;2009;273773;NR;44.0;A
ES611;273780;A;2010;273760;NR;85320.0;A
ES611;273780;A;2010;273761;NR;54052.0;A
ES611;273780;A;2010;273762;NR;31268.0;A
ES611;273780;A;2010;273765;NR;163.008285904;A
ES611;273780;A;2010;273768;NR;19725.0;A
ES611;273780;A;2010;273769;NR;55.0;A
ES611;273780;A;2010;273770;NR;11488.0;A
ES611;273780;A;2010;273771;NR;769.0;A
ES611;273780;A;2010;273772;NR;722.0;A
ES611;273780;A;2010;273773;NR;47.0;A
ES611;273780;A;2011;273760;NR;88219.0;A
ES611;273780;A;2011;273761;NR;55873.0;A
ES611;273780;A;2011;273762;NR;32346.0;A
ES611;273780;A;2011;273765;NR;164.628710039;A
ES611;273780;A;2011;273768;NR;19680.0;A
ES611;273780;A;2011;273769;NR;39.0;A
ES611;273780;A;2011;273770;NR;12627.0;A
ES611;273780;A;2011;273771;NR;720.0;A
ES611;273780;A;2011;273772;NR;672.0;A
ES611;273780;A;2011;273773;NR;48.0;A
ES611;273780;A;2012;273760;NR;64496.0;A
ES611;273780;A;2012;273761;NR;32450.0;A
ES611;273780;A;2012;273762;NR;32046.0;A
ES611;273780;A;2012;273765;NR;162.555976017;A
ES611;273780;A;2012;273768;NR;23486.0;A
ES611;273780;A;2012;273769;NR;209.0;A
ES611;273780;A;2012;273770;NR;8351.0;A
ES611;273780;A;2012;273771;NR;686.0;A
