D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2020;2797;Gasto medio diario;52.353152218;A
2020;2911;Gasto medio diario;73.273861679;A
2020;3023;Gasto medio diario;56.501086097;A
2020;3142;Gasto medio diario;70.072988146;A
2021;P1_C01;Gasto medio diario;68.553613728;A
2021;2352;Gasto medio diario;64.463495486;A
2021;2402;Gasto medio diario;78.284860465;A
2021;2482;Gasto medio diario;66.708799366;A
2021;2713;Gasto medio diario;67.310261167;A
2021;2797;Gasto medio diario;58.437681249;A
2021;2911;Gasto medio diario;74.548232555;A
2021;3023;Gasto medio diario;65.38706834;A
2021;3142;Gasto medio diario;72.547517445;A
1998;P1_C01;Tasa de variación interanual;56.53224747471081;A
1998;2352;Tasa de variación interanual;23.77535422599307;A
1998;2402;Tasa de variación interanual;49.56034413570368;A
1998;2482;Tasa de variación interanual;119.71958695955911;A
1998;2713;Tasa de variación interanual;70.61851552436555;A
1998;2797;Tasa de variación interanual;43.72999176737763;A
1998;2911;Tasa de variación interanual;5.362559477928114;A
1998;3023;Tasa de variación interanual;81.15332657891156;A
1998;3142;Tasa de variación interanual;44.359818492485545;A
1999;P1_C01;Tasa de variación interanual;-17.19273173161783;A
1999;2352;Tasa de variación interanual;-1.0122238567319386;A
1999;2402;Tasa de variación interanual;-30.412730581217513;A
1999;2482;Tasa de variación interanual;-21.36469212137763;A
1999;2713;Tasa de variación interanual;-14.790492623453977;A
1999;2797;Tasa de variación interanual;-19.686614247099993;A
1999;2911;Tasa de variación interanual;3.8588997338495807;A
1999;3023;Tasa de variación interanual;-28.891049164652483;A
1999;3142;Tasa de variación interanual;-9.892896858579588;A
2000;P1_C01;Tasa de variación interanual;0.16497747925816447;A
2000;2352;Tasa de variación interanual;12.000049653636886;A
2000;2402;Tasa de variación interanual;15.939888046444183;A
2000;2482;Tasa de variación interanual;41.70417942824622;A
2000;2713;Tasa de variación interanual;-9.396275014445415;A
2000;2797;Tasa de variación interanual;8.404436869392118;A
2000;2911;Tasa de variación interanual;36.178982899413285;A
2000;3023;Tasa de variación interanual;-15.107852483557771;A
2000;3142;Tasa de variación interanual;0.509348217523225;A
2001;P1_C01;Tasa de variación interanual;0.4871887911484962;A
2001;2352;Tasa de variación interanual;-1.8152164127189812;A
2001;2402;Tasa de variación interanual;14.474521512404989;A
2001;2482;Tasa de variación interanual;-9.128620360737253;A
2001;2713;Tasa de variación interanual;0.5081413385045636;A
2001;2797;Tasa de variación interanual;13.251338078431404;A
2001;2911;Tasa de variación interanual;0.6017263366125202;A
2001;3023;Tasa de variación interanual;-8.79621324321603;A
2001;3142;Tasa de variación interanual;19.899308343930855;A
2002;P1_C01;Tasa de variación interanual;1.3440862338736643;A
2002;2352;Tasa de variación interanual;-3.33009730413854;A
