D_TEMPORAL_0;D_PROCEDENCIA_ECTA_0;INDICATOR;OBS_VALUE;FREQ
2004;6779;Gasto medio diario;57.847273261;A
2005;P1_00;Gasto medio diario;52.732449058;A
2005;6777;Gasto medio diario;;A
2005;6775;Gasto medio diario;48.069280531;A
2005;6776;Gasto medio diario;53.977034639;A
2005;6781;Gasto medio diario;;A
2005;6778;Gasto medio diario;53.683712777;A
2005;6779;Gasto medio diario;61.497062449;A
2006;P1_00;Gasto medio diario;54.49967652;A
2006;6777;Gasto medio diario;;A
2006;6775;Gasto medio diario;50.663017868;A
2006;6776;Gasto medio diario;56.584800777;A
2006;6781;Gasto medio diario;;A
2006;6778;Gasto medio diario;53.694662331;A
2006;6779;Gasto medio diario;59.623827123;A
2007;P1_00;Gasto medio diario;57.057841819;A
2007;6777;Gasto medio diario;;A
2007;6775;Gasto medio diario;51.97813219;A
2007;6776;Gasto medio diario;59.434036244;A
2007;6781;Gasto medio diario;;A
2007;6778;Gasto medio diario;58.950606571;A
2007;6779;Gasto medio diario;61.365060875;A
2008;P1_00;Gasto medio diario;58.651936602;A
2008;6777;Gasto medio diario;;A
2008;6775;Gasto medio diario;53.356233651;A
2008;6776;Gasto medio diario;59.154731801;A
2008;6781;Gasto medio diario;;A
2008;6778;Gasto medio diario;61.280225699;A
2008;6779;Gasto medio diario;61.859525793;A
2009;P1_00;Gasto medio diario;59.85006234;A
2009;6777;Gasto medio diario;;A
2009;6775;Gasto medio diario;55.703426221;A
2009;6776;Gasto medio diario;60.009544617;A
2009;6781;Gasto medio diario;;A
2009;6778;Gasto medio diario;62.890633985;A
2009;6779;Gasto medio diario;65.632374882;A
2010;P1_00;Gasto medio diario;60.377524419;A
2010;6777;Gasto medio diario;;A
2010;6775;Gasto medio diario;55.268316833;A
2010;6776;Gasto medio diario;61.689978751;A
2010;6781;Gasto medio diario;;A
2010;6778;Gasto medio diario;63.442705365;A
2010;6779;Gasto medio diario;71.336997316;A
2011;P1_00;Gasto medio diario;60.204573542;A
2011;6777;Gasto medio diario;;A
2011;6775;Gasto medio diario;54.058129641;A
2011;6776;Gasto medio diario;61.255714095;A
2011;6781;Gasto medio diario;;A
2011;6778;Gasto medio diario;67.60195046;A
2011;6779;Gasto medio diario;72.686578526;A
2012;P1_00;Gasto medio diario;59.488804002;A
2012;6777;Gasto medio diario;;A
2012;6775;Gasto medio diario;52.968412439;A
2012;6776;Gasto medio diario;61.916810588;A
2012;6781;Gasto medio diario;;A
2012;6778;Gasto medio diario;66.716077022;A
2012;6779;Gasto medio diario;81.764764302;A
2013;P1_00;Gasto medio diario;60.712808951;A
2013;6777;Gasto medio diario;;A
2013;6775;Gasto medio diario;51.91199772;A
2013;6776;Gasto medio diario;61.061252494;A
2013;6781;Gasto medio diario;;A
2013;6778;Gasto medio diario;66.017930937;A
2013;6779;Gasto medio diario;75.216673335;A
2014;P1_00;Gasto medio diario;61.870534715;A
2014;6777;Gasto medio diario;;A
2014;6775;Gasto medio diario;54.045695454;A
2014;6776;Gasto medio diario;61.86607961;A
2014;6781;Gasto medio diario;;A
2014;6778;Gasto medio diario;66.877682258;A
2014;6779;Gasto medio diario;80.49939403;A
2015;P1_00;Gasto medio diario;63.085036996;A
2015;6777;Gasto medio diario;;A
2015;6775;Gasto medio diario;54.115044977;A
2015;6776;Gasto medio diario;61.611753172;A
2015;6781;Gasto medio diario;;A
2015;6778;Gasto medio diario;65.017704261;A
2015;6779;Gasto medio diario;79.713269537;A
2016;P1_00;Gasto medio diario;64.699298471;A
2016;6777;Gasto medio diario;;A
2016;6775;Gasto medio diario;55.036507415;A
2016;6776;Gasto medio diario;64.631501417;A
2016;6781;Gasto medio diario;;A
2016;6778;Gasto medio diario;69.62953075;A
2016;6779;Gasto medio diario;81.429215325;A
2017;P1_00;Gasto medio diario;66.087783156;A
2017;6777;Gasto medio diario;;A
2017;6775;Gasto medio diario;56.369316019;A
2017;6776;Gasto medio diario;65.068998987;A
2017;6781;Gasto medio diario;;A
2017;6778;Gasto medio diario;70.623899578;A
2017;6779;Gasto medio diario;84.781272299;A
2018;P1_00;Gasto medio diario;66.757279363;A
2018;6777;Gasto medio diario;;A
2018;6775;Gasto medio diario;55.954625293;A
2018;6776;Gasto medio diario;64.777560326;A
2018;6781;Gasto medio diario;;A
2018;6778;Gasto medio diario;73.891245245;A
2018;6779;Gasto medio diario;86.129943495;A
2019;P1_00;Gasto medio diario;67.566358632;A
2019;6777;Gasto medio diario;;A
2019;6775;Gasto medio diario;57.14683064;A
2019;6776;Gasto medio diario;64.869008644;A
2019;6781;Gasto medio diario;;A
2019;6778;Gasto medio diario;75.443887061;A
2019;6779;Gasto medio diario;86.551488839;A
2020;P1_00;Gasto medio diario;63.621797307;A
2020;6777;Gasto medio diario;;A
2020;6775;Gasto medio diario;54.582769681;A
2020;6776;Gasto medio diario;64.587514524;A
2020;6781;Gasto medio diario;;A
2020;6778;Gasto medio diario;72.488290719;A
2020;6779;Gasto medio diario;81.973124215;A
2021;P1_00;Gasto medio diario;68.553613728;A
2021;6777;Gasto medio diario;;A
2021;6775;Gasto medio diario;60.920034774;A
2021;6776;Gasto medio diario;70.857027339;A
2021;6781;Gasto medio diario;;A
2021;6778;Gasto medio diario;77.601299441;A
2021;6779;Gasto medio diario;89.166067216;A
1997;P1_00;Tasa de variación interanual;-;A
1997;6777;Tasa de variación interanual;;A
1997;6775;Tasa de variación interanual;-;A
1997;6776;Tasa de variación interanual;-;A
1997;6781;Tasa de variación interanual;;A
1997;6778;Tasa de variación interanual;-;A
1997;6779;Tasa de variación interanual;-;A
1998;P1_00;Tasa de variación interanual;-5.071045843537248;A
1998;6777;Tasa de variación interanual;;A
1998;6775;Tasa de variación interanual;-28.48152322616393;A
1998;6776;Tasa de variación interanual;-25.912429946134118;A
1998;6781;Tasa de variación interanual;;A
1998;6778;Tasa de variación interanual;18.784605219020982;A
1998;6779;Tasa de variación interanual;7.898041860023562;A
1999;P1_00;Tasa de variación interanual;-17.19273173161783;A
1999;6777;Tasa de variación interanual;;A
1999;6775;Tasa de variación interanual;15.927658123097435;A
1999;6776;Tasa de variación interanual;-1.7617101502030539;A
1999;6781;Tasa de variación interanual;;A
1999;6778;Tasa de variación interanual;-31.3198897536659;A
1999;6779;Tasa de variación interanual;-28.517453757357746;A
2000;P1_00;Tasa de variación interanual;0.16497747925816447;A
2000;6777;Tasa de variación interanual;;A
2000;6775;Tasa de variación interanual;3.970311472656838;A
2000;6776;Tasa de variación interanual;8.386812929551686;A
2000;6781;Tasa de variación interanual;;A
2000;6778;Tasa de variación interanual;-9.396337503290862;A
2000;6779;Tasa de variación interanual;-1.1554097409700923;A
2001;P1_00;Tasa de variación interanual;0.4871887911484962;A
2001;6777;Tasa de variación interanual;;A
2001;6775;Tasa de variación interanual;5.715056146640186;A
2001;6776;Tasa de variación interanual;-29.966173755856225;A
2001;6781;Tasa de variación interanual;;A
2001;6778;Tasa de variación interanual;-0.2771996017175642;A
2001;6779;Tasa de variación interanual;-4.477156988464214;A
2002;P1_00;Tasa de variación interanual;1.3440862338736643;A
2002;6777;Tasa de variación interanual;;A
2002;6775;Tasa de variación interanual;10.432729585614608;A
2002;6776;Tasa de variación interanual;42.7817190879756;A
2002;6781;Tasa de variación interanual;;A
2002;6778;Tasa de variación interanual;0.50119821101912;A
2002;6779;Tasa de variación interanual;2.501051195895991;A
2003;P1_00;Tasa de variación interanual;5.513282792204232;A
2003;6777;Tasa de variación interanual;;A
2003;6775;Tasa de variación interanual;1.1958555878034682;A
2003;6776;Tasa de variación interanual;10.525878589019316;A
2003;6781;Tasa de variación interanual;;A
2003;6778;Tasa de variación interanual;11.658514943673172;A
2003;6779;Tasa de variación interanual;-1.8117379237172548;A
2004;P1_00;Tasa de variación interanual;5.67456072418181;A
2004;6777;Tasa de variación interanual;;A
2004;6775;Tasa de variación interanual;10.855159563302607;A
2004;6776;Tasa de variación interanual;1.1324713515746907;A
2004;6781;Tasa de variación interanual;;A
2004;6778;Tasa de variación interanual;4.462058425100772;A
2004;6779;Tasa de variación interanual;-1.0846639981360904;A
2005;P1_00;Tasa de variación interanual;6.582026025663564;A
2005;6777;Tasa de variación interanual;;A
2005;6775;Tasa de variación interanual;4.918493554770625;A
2005;6776;Tasa de variación interanual;4.63158478870709;A
2005;6781;Tasa de variación interanual;;A
2005;6778;Tasa de variación interanual;11.361468350796896;A
2005;6779;Tasa de variación interanual;6.3093538938863825;A
2006;P1_00;Tasa de variación interanual;3.35130928596971;A
2006;6777;Tasa de variación interanual;;A
2006;6775;Tasa de variación interanual;5.395831409058208;A
2006;6776;Tasa de variación interanual;4.831251207927245;A
2006;6781;Tasa de variación interanual;;A
2006;6778;Tasa de variación interanual;0.020396417150748993;A
2006;6779;Tasa de variación interanual;-3.0460565942535687;A
2007;P1_00;Tasa de variación interanual;4.693909142857414;A
2007;6777;Tasa de variación interanual;;A
2007;6775;Tasa de variación interanual;2.5958073114129623;A
2007;6776;Tasa de variación interanual;5.035337100909485;A
2007;6781;Tasa de variación interanual;;A
2007;6778;Tasa de variación interanual;9.788578625562076;A
2007;6779;Tasa de variación interanual;2.9203656256549073;A
2008;P1_00;Tasa de variación interanual;2.7938224303274937;A
2008;6777;Tasa de variación interanual;;A
2008;6775;Tasa de variación interanual;2.6513100854846243;A
2008;6776;Tasa de variación interanual;-0.4699402239036009;A
2008;6781;Tasa de variación interanual;;A
2008;6778;Tasa de variación interanual;3.951815364603939;A
2008;6779;Tasa de variación interanual;0.8057759756927897;A
2009;P1_00;Tasa de variación interanual;2.042772681369819;A
2009;6777;Tasa de variación interanual;;A
2009;6775;Tasa de variación interanual;4.399097180196139;A
2009;6776;Tasa de variación interanual;1.4450455440752346;A
2009;6781;Tasa de variación interanual;;A
2009;6778;Tasa de variación interanual;2.6279411794436025;A
2009;6779;Tasa de variación interanual;6.099059183908138;A
2010;P1_00;Tasa de variación interanual;0.881305813857897;A
2010;6777;Tasa de variación interanual;;A
2010;6775;Tasa de variación interanual;-0.78111781898968;A
2010;6776;Tasa de variación interanual;2.800278096967841;A
2010;6781;Tasa de variación interanual;;A
2010;6778;Tasa de variación interanual;0.8778276589351526;A
2010;6779;Tasa de variación interanual;8.69178121964397;A
2011;P1_00;Tasa de variación interanual;-0.28644910281477654;A
2011;6777;Tasa de variación interanual;;A
2011;6775;Tasa de variación interanual;-2.189658128465769;A
2011;6776;Tasa de variación interanual;-0.7039468399767553;A
2011;6781;Tasa de variación interanual;;A
2011;6778;Tasa de variación interanual;6.555907524861894;A
2011;6779;Tasa de variación interanual;1.8918391028175736;A
2012;P1_00;Tasa de variación interanual;-1.188895623520463;A
2012;6777;Tasa de variación interanual;;A
2012;6775;Tasa de variación interanual;-2.0158248338165117;A
2012;6776;Tasa de variación interanual;1.0792405292585712;A
2012;6781;Tasa de variación interanual;;A
2012;6778;Tasa de variación interanual;-1.3104258560175341;A
2012;6779;Tasa de variación interanual;12.489493879193569;A
2013;P1_00;Tasa de variación interanual;2.0575383377330074;A
2013;6777;Tasa de variación interanual;;A
2013;6775;Tasa de variación interanual;-1.9944239790395728;A
2013;6776;Tasa de variación interanual;-1.381786441961547;A
2013;6781;Tasa de variación interanual;;A
2013;6778;Tasa de variación interanual;-1.0464435502851481;A
2013;6779;Tasa de variación interanual;-8.008450856428187;A
2014;P1_00;Tasa de variación interanual;1.90688881638531;A
2014;6777;Tasa de variación interanual;;A
2014;6775;Tasa de variación interanual;4.110220811590825;A
2014;6776;Tasa de variación interanual;1.3180651937643801;A
2014;6781;Tasa de variación interanual;;A
2014;6778;Tasa de variación interanual;1.3022997067576065;A
2014;6779;Tasa de variación interanual;7.023337327711674;A
2015;P1_00;Tasa de variación interanual;1.9629736296841078;A
2015;6777;Tasa de variación interanual;;A
2015;6775;Tasa de variación interanual;0.12831645965038085;A
2015;6776;Tasa de variación interanual;-0.4110918933335651;A
2015;6781;Tasa de variación interanual;;A
2015;6778;Tasa de variación interanual;-2.781163961132182;A
2015;6779;Tasa de variación interanual;-0.9765595163449736;A
2016;P1_00;Tasa de variación interanual;2.558865860857561;A
2016;6777;Tasa de variación interanual;;A
2016;6775;Tasa de variación interanual;1.7027842042663857;A
2016;6776;Tasa de variación interanual;4.901253558829659;A
2016;6781;Tasa de variación interanual;;A
2016;6778;Tasa de variación interanual;7.093185681374998;A
2016;6779;Tasa de variación interanual;2.1526476055577164;A
2017;P1_00;Tasa de variación interanual;2.146058331099759;A
2017;6777;Tasa de variación interanual;;A
2017;6775;Tasa de variación interanual;2.4216809288969308;A
2017;6776;Tasa de variación interanual;0.676910733014366;A
2017;6781;Tasa de variación interanual;;A
2017;6778;Tasa de variación interanual;1.4280849192711327;A
2017;6779;Tasa de variación interanual;4.116528644690084;A
2018;P1_00;Tasa de variación interanual;1.013040799718839;A
2018;6777;Tasa de variación interanual;;A
2018;6775;Tasa de variación interanual;-0.7356674788465175;A
2018;6776;Tasa de variación interanual;-0.4478917234583964;A
2018;6781;Tasa de variación interanual;;A
2018;6778;Tasa de variación interanual;4.626402232846676;A
2018;6779;Tasa de variación interanual;1.5907654596685263;A
2019;P1_00;Tasa de variación interanual;1.2119716032772272;A
2019;6777;Tasa de variación interanual;;A
2019;6775;Tasa de variación interanual;2.1306645174677716;A
2019;6776;Tasa de variación interanual;0.14117283445035797;A
2019;6781;Tasa de variación interanual;;A
2019;6778;Tasa de variación interanual;2.1012527409058213;A
2019;6779;Tasa de variación interanual;0.4894294909463933;A
2020;P1_00;Tasa de variación interanual;-5.838055216922441;A
2020;6777;Tasa de variación interanual;;A
2020;6775;Tasa de variación interanual;-4.486794683597515;A
2020;6776;Tasa de variación interanual;-0.43394238001206376;A
2020;6781;Tasa de variación interanual;;A
2020;6778;Tasa de variación interanual;-3.9176087780448685;A
2020;6779;Tasa de variación interanual;-5.289758368589722;A
2021;P1_00;Tasa de variación interanual;7.7517716093464974;A
2021;6777;Tasa de variación interanual;;A
2021;6775;Tasa de variación interanual;11.61037655296186;A
2021;6776;Tasa de variación interanual;9.707004304477946;A
2021;6781;Tasa de variación interanual;;A
2021;6778;Tasa de variación interanual;7.053565025861221;A
2021;6779;Tasa de variación interanual;8.774757665859207;A
