D_TEMPORAL_0;D_PROCEDENCIA_ECTA_0;INDICATOR;OBS_VALUE;FREQ
2015;P1_00;Tasa de variación interanual;-1.9468721966757092;A
2016;6775;Tasa de variación interanual;-2.06402206582232;A
2016;6776;Tasa de variación interanual;-0.2617474050531995;A
2016;6778;Tasa de variación interanual;-1.058397438952634;A
2016;6779;Tasa de variación interanual;5.379899039222592;A
2016;P1_00;Tasa de variación interanual;-1.3274273300779569;A
2017;6775;Tasa de variación interanual;-2.6329624468104282;A
2017;6776;Tasa de variación interanual;-1.832912608637224;A
2017;6778;Tasa de variación interanual;0.8916114327318847;A
2017;6779;Tasa de variación interanual;-3.871211159283292;A
2017;P1_00;Tasa de variación interanual;-0.7275001588988205;A
2018;6775;Tasa de variación interanual;-2.602723057132449;A
2018;6776;Tasa de variación interanual;-5.374108786751482;A
2018;6778;Tasa de variación interanual;-2.6036786976230135;A
2018;6779;Tasa de variación interanual;2.8121551032420165;A
2018;P1_00;Tasa de variación interanual;-2.6924854488200447;A
2019;6775;Tasa de variación interanual;-4.593115852980183;A
2019;6776;Tasa de variación interanual;0.7177601964511967;A
2019;6778;Tasa de variación interanual;0.4049237742975236;A
2019;6779;Tasa de variación interanual;-0.991122171545575;A
2019;P1_00;Tasa de variación interanual;-1.0674691073569533;A
2020;6775;Tasa de variación interanual;10.852239576851623;A
2020;6776;Tasa de variación interanual;2.3505118346426555;A
2020;6778;Tasa de variación interanual;14.054043174591948;A
2020;6779;Tasa de variación interanual;1.2924388784798548;A
2020;P1_00;Tasa de variación interanual;-3.9266555640060457;A
2021;6775;Tasa de variación interanual;-8.173737099833199;A
2021;6776;Tasa de variación interanual;-9.286899495221967;A
2021;6778;Tasa de variación interanual;-14.402739266206192;A
2021;6779;Tasa de variación interanual;-11.87692368333338;A
2021;P1_00;Tasa de variación interanual;-11.794736839217556;A
