LUG_DEF;MES;D_G102_0;SEXO;TIME_PERIOD;REF_AREA;INDICATOR;OBS_VALUE;FREQ;EDAD;CIE10;G102_OTRAS_CAUSAS
838405;55908;;_T;2020;ES61;DEATHS;4150.0;A;_Z;_Z;_Z
838405;55909;838410;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55909;838410;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55909;838410;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55909;838411;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55909;838411;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55909;838411;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838405;55909;57731;M;2020;ES61;DEATHS;1729.0;A;_Z;_Z;_Z
838405;55909;57731;F;2020;ES61;DEATHS;1579.0;A;_Z;_Z;_Z
838405;55909;57731;_T;2020;ES61;DEATHS;3308.0;A;_Z;_Z;_Z
838405;55909;;M;2020;ES61;DEATHS;1729.0;A;_Z;_Z;_Z
838405;55909;;F;2020;ES61;DEATHS;1579.0;A;_Z;_Z;_Z
838405;55909;;_T;2020;ES61;DEATHS;3308.0;A;_Z;_Z;_Z
838405;55910;838410;M;2020;ES61;DEATHS;238.0;A;_Z;_Z;_Z
838405;55910;838410;F;2020;ES61;DEATHS;168.0;A;_Z;_Z;_Z
838405;55910;838410;_T;2020;ES61;DEATHS;406.0;A;_Z;_Z;_Z
838405;55910;838411;M;2020;ES61;DEATHS;29.0;A;_Z;_Z;_Z
838405;55910;838411;F;2020;ES61;DEATHS;29.0;A;_Z;_Z;_Z
838405;55910;838411;_T;2020;ES61;DEATHS;58.0;A;_Z;_Z;_Z
838405;55910;57731;M;2020;ES61;DEATHS;1574.0;A;_Z;_Z;_Z
838405;55910;57731;F;2020;ES61;DEATHS;1365.0;A;_Z;_Z;_Z
838405;55910;57731;_T;2020;ES61;DEATHS;2939.0;A;_Z;_Z;_Z
838405;55910;;M;2020;ES61;DEATHS;1841.0;A;_Z;_Z;_Z
838405;55910;;F;2020;ES61;DEATHS;1562.0;A;_Z;_Z;_Z
838405;55910;;_T;2020;ES61;DEATHS;3403.0;A;_Z;_Z;_Z
838405;55911;838410;M;2020;ES61;DEATHS;374.0;A;_Z;_Z;_Z
838405;55911;838410;F;2020;ES61;DEATHS;299.0;A;_Z;_Z;_Z
838405;55911;838410;_T;2020;ES61;DEATHS;673.0;A;_Z;_Z;_Z
838405;55911;838411;M;2020;ES61;DEATHS;88.0;A;_Z;_Z;_Z
838405;55911;838411;F;2020;ES61;DEATHS;84.0;A;_Z;_Z;_Z
838405;55911;838411;_T;2020;ES61;DEATHS;172.0;A;_Z;_Z;_Z
838405;55911;57731;M;2020;ES61;DEATHS;1227.0;A;_Z;_Z;_Z
838405;55911;57731;F;2020;ES61;DEATHS;1056.0;A;_Z;_Z;_Z
838405;55911;57731;_T;2020;ES61;DEATHS;2283.0;A;_Z;_Z;_Z
838405;55911;;M;2020;ES61;DEATHS;1689.0;A;_Z;_Z;_Z
838405;55911;;F;2020;ES61;DEATHS;1439.0;A;_Z;_Z;_Z
838405;55911;;_T;2020;ES61;DEATHS;3128.0;A;_Z;_Z;_Z
838405;55912;838410;M;2020;ES61;DEATHS;45.0;A;_Z;_Z;_Z
838405;55912;838410;F;2020;ES61;DEATHS;43.0;A;_Z;_Z;_Z
838405;55912;838410;_T;2020;ES61;DEATHS;88.0;A;_Z;_Z;_Z
838405;55912;838411;M;2020;ES61;DEATHS;27.0;A;_Z;_Z;_Z
