TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2016;Y_LT15;ES611;M;53583;HAB;44332.0;A
2016;Y_LT15;ES611;M;53584;HAB;10324.0;A
2016;Y_LT15;ES611;M;53585;HAB;1425.0;A
2016;Y_LT15;ES611;M;53586;HAB;1805.0;A
2016;Y_LT15;ES611;M;53587;HAB;4140.0;A
2016;Y_LT15;ES611;F;53588;HAB;59035.0;A
2016;Y_LT15;ES611;F;53583;HAB;42158.0;A
2016;Y_LT15;ES611;F;53584;HAB;9874.0;A
2016;Y_LT15;ES611;F;53585;HAB;1336.0;A
2016;Y_LT15;ES611;F;53586;HAB;1799.0;A
2016;Y_LT15;ES611;F;53587;HAB;3868.0;A
2016;Y_LT15;ES612;_T;53588;HAB;205232.0;A
2016;Y_LT15;ES612;_T;53583;HAB;172889.0;A
2016;Y_LT15;ES612;_T;53584;HAB;16870.0;A
2016;Y_LT15;ES612;_T;53585;HAB;4859.0;A
2016;Y_LT15;ES612;_T;53586;HAB;5878.0;A
2016;Y_LT15;ES612;_T;53587;HAB;4736.0;A
2016;Y_LT15;ES612;M;53588;HAB;105472.0;A
2016;Y_LT15;ES612;M;53583;HAB;89075.0;A
2016;Y_LT15;ES612;M;53584;HAB;8705.0;A
2016;Y_LT15;ES612;M;53585;HAB;2451.0;A
2016;Y_LT15;ES612;M;53586;HAB;2979.0;A
2016;Y_LT15;ES612;M;53587;HAB;2262.0;A
2016;Y_LT15;ES612;F;53588;HAB;99760.0;A
2016;Y_LT15;ES612;F;53583;HAB;83814.0;A
2016;Y_LT15;ES612;F;53584;HAB;8165.0;A
2016;Y_LT15;ES612;F;53585;HAB;2408.0;A
2016;Y_LT15;ES612;F;53586;HAB;2899.0;A
2016;Y_LT15;ES612;F;53587;HAB;2474.0;A
2016;Y_LT15;ES613;_T;53588;HAB;119658.0;A
2016;Y_LT15;ES613;_T;53583;HAB;106593.0;A
2016;Y_LT15;ES613;_T;53584;HAB;5719.0;A
2016;Y_LT15;ES613;_T;53585;HAB;2417.0;A
2016;Y_LT15;ES613;_T;53586;HAB;2804.0;A
2016;Y_LT15;ES613;_T;53587;HAB;2125.0;A
2016;Y_LT15;ES613;M;53588;HAB;61596.0;A
2016;Y_LT15;ES613;M;53583;HAB;54975.0;A
2016;Y_LT15;ES613;M;53584;HAB;2950.0;A
2016;Y_LT15;ES613;M;53585;HAB;1221.0;A
2016;Y_LT15;ES613;M;53586;HAB;1428.0;A
2016;Y_LT15;ES613;M;53587;HAB;1022.0;A
2016;Y_LT15;ES613;F;53588;HAB;58062.0;A
2016;Y_LT15;ES613;F;53583;HAB;51618.0;A
2016;Y_LT15;ES613;F;53584;HAB;2769.0;A
2016;Y_LT15;ES613;F;53585;HAB;1196.0;A
2016;Y_LT15;ES613;F;53586;HAB;1376.0;A
2016;Y_LT15;ES613;F;53587;HAB;1103.0;A
2016;Y_LT15;ES614;_T;53588;HAB;141241.0;A
2016;Y_LT15;ES614;_T;53583;HAB;96180.0;A
2016;Y_LT15;ES614;_T;53584;HAB;32691.0;A
2016;Y_LT15;ES614;_T;53585;HAB;3404.0;A
2016;Y_LT15;ES614;_T;53586;HAB;4260.0;A
2016;Y_LT15;ES614;_T;53587;HAB;4706.0;A
2016;Y_LT15;ES614;M;53588;HAB;72682.0;A
2016;Y_LT15;ES614;M;53583;HAB;49574.0;A
2016;Y_LT15;ES614;M;53584;HAB;16815.0;A
2016;Y_LT15;ES614;M;53585;HAB;1760.0;A
2016;Y_LT15;ES614;M;53586;HAB;2187.0;A
2016;Y_LT15;ES614;M;53587;HAB;2346.0;A
2016;Y_LT15;ES614;F;53588;HAB;68559.0;A
2016;Y_LT15;ES614;F;53583;HAB;46606.0;A
2016;Y_LT15;ES614;F;53584;HAB;15876.0;A
2016;Y_LT15;ES614;F;53585;HAB;1644.0;A
2016;Y_LT15;ES614;F;53586;HAB;2073.0;A
2016;Y_LT15;ES614;F;53587;HAB;2360.0;A
2016;Y_LT15;ES615;_T;53588;HAB;83165.0;A
2016;Y_LT15;ES615;_T;53583;HAB;63548.0;A
2016;Y_LT15;ES615;_T;53584;HAB;12566.0;A
2016;Y_LT15;ES615;_T;53585;HAB;2633.0;A
2016;Y_LT15;ES615;_T;53586;HAB;1758.0;A
2016;Y_LT15;ES615;_T;53587;HAB;2660.0;A
2016;Y_LT15;ES615;M;53588;HAB;42936.0;A
2016;Y_LT15;ES615;M;53583;HAB;32803.0;A
2016;Y_LT15;ES615;M;53584;HAB;6485.0;A
2016;Y_LT15;ES615;M;53585;HAB;1370.0;A
2016;Y_LT15;ES615;M;53586;HAB;912.0;A
2016;Y_LT15;ES615;M;53587;HAB;1366.0;A
2016;Y_LT15;ES615;F;53588;HAB;40229.0;A
2016;Y_LT15;ES615;F;53583;HAB;30745.0;A
