TEMPORAL;TERRITORIO;SEXO;NACIONALIDAD;EDAD;INDICATOR;OBS_VALUE;FREQ
2001;ES61;_T;ES;Y30;HAB;119306.7397258;A
2001;ES61;_T;ES;Y31;HAB;119310.9339436;A
2001;ES61;_T;ES;Y32;HAB;119716.1160486;A
2001;ES61;_T;ES;Y33;HAB;122540.1215789;A
2001;ES61;_T;ES;Y34;HAB;119820.9930912;A
2001;ES61;_T;ES;Y35-39;HAB;578827.1657605;A
2001;ES61;_T;ES;Y35;HAB;120125.775556;A
2001;ES61;_T;ES;Y36;HAB;123728.7541463;A
2001;ES61;_T;ES;Y37;HAB;116810.8007362;A
2001;ES61;_T;ES;Y38;HAB;110384.9723563;A
2001;ES61;_T;ES;Y39;HAB;107776.8629657;A
2001;ES61;_T;ES;Y40-44;HAB;513579.3940418;A
2001;ES61;_T;ES;Y40;HAB;109579.6567654;A
2001;ES61;_T;ES;Y41;HAB;105291.9664757;A
2001;ES61;_T;ES;Y42;HAB;105015.9041769;A
2001;ES61;_T;ES;Y43;HAB;101558.9309149;A
2001;ES61;_T;ES;Y44;HAB;92132.9357089;A
2001;ES61;_T;ES;Y45-64;HAB;1474374.548293;A
2001;ES61;_T;ES;Y45-49;HAB;424153.6159793;A
2001;ES61;_T;ES;Y45;HAB;89838.9674868;A
2001;ES61;_T;ES;Y46;HAB;84674.8531737;A
2001;ES61;_T;ES;Y47;HAB;86184.9911276;A
2001;ES61;_T;ES;Y48;HAB;84888.1741972;A
2001;ES61;_T;ES;Y49;HAB;78566.629994;A
2001;ES61;_T;ES;Y50-54;HAB;383302.1682215;A
2001;ES61;_T;ES;Y50;HAB;72332.9398541;A
2001;ES61;_T;ES;Y51;HAB;78682.954262;A
2001;ES61;_T;ES;Y52;HAB;84496.0287655;A
2001;ES61;_T;ES;Y53;HAB;76816.0078983;A
2001;ES61;_T;ES;Y54;HAB;70974.2374416;A
2001;ES61;_T;ES;Y55-59;HAB;348508.3857668;A
2001;ES61;_T;ES;Y55;HAB;79235.155284;A
2001;ES61;_T;ES;Y56;HAB;73469.1138572;A
2001;ES61;_T;ES;Y57;HAB;76312.951435;A
2001;ES61;_T;ES;Y58;HAB;63242.1112698;A
2001;ES61;_T;ES;Y59;HAB;56249.0539208;A
2001;ES61;_T;ES;Y60-64;HAB;318410.3783254;A
2001;ES61;_T;ES;Y60;HAB;73845.0058853;A
2001;ES61;_T;ES;Y61;HAB;53970.8435318;A
2001;ES61;_T;ES;Y62;HAB;57115.1176398;A
2001;ES61;_T;ES;Y63;HAB;63343.1426977;A
2001;ES61;_T;ES;Y64;HAB;70136.2685708;A
2001;ES61;_T;ES;Y65-100;HAB;1065392.950521;A
2001;ES61;_T;ES;Y65-69;HAB;339145.1903463;A
2001;ES61;_T;ES;Y65;HAB;68143.094839;A
2001;ES61;_T;ES;Y66;HAB;65854.9006829;A
2001;ES61;_T;ES;Y67;HAB;70741.1593105;A
2001;ES61;_T;ES;Y68;HAB;69143.9289723;A
2001;ES61;_T;ES;Y69;HAB;65262.1065416;A
2001;ES61;_T;ES;Y70-74;HAB;287802.7238434;A
2001;ES61;_T;ES;Y70;HAB;64211.190004;A
2001;ES61;_T;ES;Y71;HAB;60733.0988335;A
2001;ES61;_T;ES;Y72;HAB;58235.2702484;A
2001;ES61;_T;ES;Y73;HAB;52683.1574296;A
2001;ES61;_T;ES;Y74;HAB;51940.0073279;A
2001;ES61;_T;ES;Y75-79;HAB;213232.838311;A
2001;ES61;_T;ES;Y75;HAB;48386.1194921;A
2001;ES61;_T;ES;Y76;HAB;45934.3133255;A
2001;ES61;_T;ES;Y77;HAB;42592.1783076;A
2001;ES61;_T;ES;Y78;HAB;40738.1205015;A
2001;ES61;_T;ES;Y79;HAB;35582.1066843;A
2001;ES61;_T;ES;Y80-84;HAB;124545.6299007;A
2001;ES61;_T;ES;Y80;HAB;32779.2650723;A
2001;ES61;_T;ES;Y81;HAB;26673.1750388;A
2001;ES61;_T;ES;Y82;HAB;24499.0688205;A
2001;ES61;_T;ES;Y83;HAB;21887.0550664;A
2001;ES61;_T;ES;Y84;HAB;18707.0659027;A
2001;ES61;_T;ES;Y85-89;HAB;68107.3009653;A
2001;ES61;_T;ES;Y85;HAB;17925.0504532;A
2001;ES61;_T;ES;Y86;HAB;15708.1558202;A
2001;ES61;_T;ES;Y87;HAB;13446.0410634;A
2001;ES61;_T;ES;Y88;HAB;11351.0260852;A
2001;ES61;_T;ES;Y89;HAB;9677.0275433;A
2001;ES61;_T;ES;Y90-94;HAB;25352.2627847;A
2001;ES61;_T;ES;Y90;HAB;8342.123659;A
2001;ES61;_T;ES;Y91;HAB;6024.0771985;A
2001;ES61;_T;ES;Y92;HAB;4744.026979;A
2001;ES61;_T;ES;Y93;HAB;3674.0139858;A
2001;ES61;_T;ES;Y94;HAB;2568.0209624;A
2001;ES61;_T;ES;Y95-99;HAB;5614.9946138;A
2001;ES61;_T;ES;Y95;HAB;2104.0125136;A
2001;ES61;_T;ES;Y96;HAB;1291.9934049;A
2001;ES61;_T;ES;Y97;HAB;983.9937692;A
2001;ES61;_T;ES;Y98;HAB;732.0058515;A
2001;ES61;_T;ES;Y99;HAB;502.9890746;A
2001;ES61;_T;ES;Y_GE100;HAB;1592.0097558;A
2001;ES61;_T;OTHER_SPAIN;TOTAL;HAB;164119.4462433;A
2001;ES61;_T;OTHER_SPAIN;Y_LT15;HAB;17444.9230579;A
2001;ES61;_T;OTHER_SPAIN;Y1-4;HAB;3964.9710829;A
2001;ES61;_T;OTHER_SPAIN;Y_LT1;HAB;614.0233893;A
2001;ES61;_T;OTHER_SPAIN;Y1;HAB;705.0052107;A
2001;ES61;_T;OTHER_SPAIN;Y2;HAB;735.0254491;A
2001;ES61;_T;OTHER_SPAIN;Y3;HAB;869.9652484;A
2001;ES61;_T;OTHER_SPAIN;Y4;HAB;1040.9517854;A
2001;ES61;_T;OTHER_SPAIN;Y5-9;HAB;6372.9366087;A
2001;ES61;_T;OTHER_SPAIN;Y5;HAB;1188.9685019;A
2001;ES61;_T;OTHER_SPAIN;Y6;HAB;1229.0156423;A
2001;ES61;_T;OTHER_SPAIN;Y7;HAB;1276.9602623;A
2001;ES61;_T;OTHER_SPAIN;Y8;HAB;1304.9722134;A
2001;ES61;_T;OTHER_SPAIN;Y9;HAB;1373.0199888;A
2001;ES61;_T;OTHER_SPAIN;Y10-14;HAB;7107.0153663;A
2001;ES61;_T;OTHER_SPAIN;Y10;HAB;1399.9970708;A
2001;ES61;_T;OTHER_SPAIN;Y11;HAB;1451.0000446;A
2001;ES61;_T;OTHER_SPAIN;Y12;HAB;1425.0308913;A
2001;ES61;_T;OTHER_SPAIN;Y13;HAB;1429.0160684;A
2001;ES61;_T;OTHER_SPAIN;Y14;HAB;1401.9712912;A
2001;ES61;_T;OTHER_SPAIN;Y15-29;HAB;36448.4619804;A
2001;ES61;_T;OTHER_SPAIN;Y15-19;HAB;7626.9261048;A
2001;ES61;_T;OTHER_SPAIN;Y15;HAB;1404.9976625;A
2001;ES61;_T;OTHER_SPAIN;Y16;HAB;1445.0110986;A
2001;ES61;_T;OTHER_SPAIN;Y17;HAB;1487.9788219;A
2001;ES61;_T;OTHER_SPAIN;Y18;HAB;1551.9875033;A
2001;ES61;_T;OTHER_SPAIN;Y19;HAB;1736.9510185;A
2001;ES61;_T;OTHER_SPAIN;Y20-24;HAB;12212.1005528;A
2001;ES61;_T;OTHER_SPAIN;Y20;HAB;1911.9941325;A
2001;ES61;_T;OTHER_SPAIN;Y21;HAB;2280.9703396;A
2001;ES61;_T;OTHER_SPAIN;Y22;HAB;2449.0259825;A
2001;ES61;_T;OTHER_SPAIN;Y23;HAB;2686.0316257;A
2001;ES61;_T;OTHER_SPAIN;Y24;HAB;2884.0784725;A
2001;ES61;_T;OTHER_SPAIN;Y25-29;HAB;16609.4353228;A
2001;ES61;_T;OTHER_SPAIN;Y25;HAB;3055.0307468;A
2001;ES61;_T;OTHER_SPAIN;Y26;HAB;3197.1002824;A
2001;ES61;_T;OTHER_SPAIN;Y27;HAB;3364.0808019;A
2001;ES61;_T;OTHER_SPAIN;Y28;HAB;3513.0414679;A
2001;ES61;_T;OTHER_SPAIN;Y29;HAB;3480.1820238;A
2001;ES61;_T;OTHER_SPAIN;Y30-44;HAB;48982.9803985;A
2001;ES61;_T;OTHER_SPAIN;Y30-34;HAB;18861.5723037;A
2001;ES61;_T;OTHER_SPAIN;Y30;HAB;3865.1616242;A
2001;ES61;_T;OTHER_SPAIN;Y31;HAB;3820.0501389;A
2001;ES61;_T;OTHER_SPAIN;Y32;HAB;3827.127488;A
2001;ES61;_T;OTHER_SPAIN;Y33;HAB;3626.1218884;A
2001;ES61;_T;OTHER_SPAIN;Y34;HAB;3723.1111642;A
2001;ES61;_T;OTHER_SPAIN;Y35-39;HAB;16717.2452877;A
2001;ES61;_T;OTHER_SPAIN;Y35;HAB;3576.0497671;A
2001;ES61;_T;OTHER_SPAIN;Y36;HAB;3581.0093887;A
2001;ES61;_T;OTHER_SPAIN;Y37;HAB;3325.0954452;A
2001;ES61;_T;OTHER_SPAIN;Y38;HAB;3268.0753039;A
2001;ES61;_T;OTHER_SPAIN;Y39;HAB;2967.0153828;A
2001;ES61;_T;OTHER_SPAIN;Y40-44;HAB;13404.1628071;A
2001;ES61;_T;OTHER_SPAIN;Y40;HAB;3050.0911856;A
2001;ES61;_T;OTHER_SPAIN;Y41;HAB;2755.0383908;A
2001;ES61;_T;OTHER_SPAIN;Y42;HAB;2666.9607328;A
2001;ES61;_T;OTHER_SPAIN;Y43;HAB;2521.0349939;A
2001;ES61;_T;OTHER_SPAIN;Y44;HAB;2411.037504;A
2001;ES61;_T;OTHER_SPAIN;Y45-64;HAB;37077.0283045;A
2001;ES61;_T;OTHER_SPAIN;Y45-49;HAB;10326.0192066;A
2001;ES61;_T;OTHER_SPAIN;Y45;HAB;2291.0232023;A
2001;ES61;_T;OTHER_SPAIN;Y46;HAB;2179.0238916;A
2001;ES61;_T;OTHER_SPAIN;Y47;HAB;2008.9874009;A
2001;ES61;_T;OTHER_SPAIN;Y48;HAB;2019.982447;A
2001;ES61;_T;OTHER_SPAIN;Y49;HAB;1827.0022648;A
2001;ES61;_T;OTHER_SPAIN;Y50-54;HAB;9347.9383539;A
2001;ES61;_T;OTHER_SPAIN;Y50;HAB;1891.9741476;A
2001;ES61;_T;OTHER_SPAIN;Y51;HAB;1799.9803698;A
2001;ES61;_T;OTHER_SPAIN;Y52;HAB;1937.9833065;A
2001;ES61;_T;OTHER_SPAIN;Y53;HAB;1899.9991835;A
2001;ES61;_T;OTHER_SPAIN;Y54;HAB;1818.0013465;A
2001;ES61;_T;OTHER_SPAIN;Y55-59;HAB;8767.0052511;A
2001;ES61;_T;OTHER_SPAIN;Y55;HAB;1759.0234603;A
2001;ES61;_T;OTHER_SPAIN;Y56;HAB;1854.0287139;A
2001;ES61;_T;OTHER_SPAIN;Y57;HAB;1794.9823942;A
2001;ES61;_T;OTHER_SPAIN;Y58;HAB;1766.0083255;A
2001;ES61;_T;OTHER_SPAIN;Y59;HAB;1592.9623572;A
2001;ES61;_T;OTHER_SPAIN;Y60-64;HAB;8636.0654929;A
2001;ES61;_T;OTHER_SPAIN;Y60;HAB;1750.017798;A
2001;ES61;_T;OTHER_SPAIN;Y61;HAB;1783.0332701;A
2001;ES61;_T;OTHER_SPAIN;Y62;HAB;1734.0256832;A
2001;ES61;_T;OTHER_SPAIN;Y63;HAB;1688.9807875;A
2001;ES61;_T;OTHER_SPAIN;Y64;HAB;1680.0079541;A
2001;ES61;_T;OTHER_SPAIN;Y65-100;HAB;24166.052502;A
2001;ES61;_T;OTHER_SPAIN;Y65-69;HAB;7716.9652759;A
2001;ES61;_T;OTHER_SPAIN;Y65;HAB;1626.97874;A
2001;ES61;_T;OTHER_SPAIN;Y66;HAB;1574.0386608;A
