TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2489;54565;_T;HAB;35.0;A
2021;TOTAL;2489;54565;M;HAB;19.0;A
2021;TOTAL;2489;54565;F;HAB;16.0;A
2021;TOTAL;2489;54887;_T;HAB;33.0;A
2021;TOTAL;2489;54887;M;HAB;12.0;A
2021;TOTAL;2489;54887;F;HAB;21.0;A
2021;TOTAL;2493;54888;_T;HAB;623.0;A
2021;TOTAL;2493;54888;M;HAB;322.0;A
2021;TOTAL;2493;54888;F;HAB;301.0;A
2021;TOTAL;2493;53700;_T;HAB;590.0;A
2021;TOTAL;2493;53700;M;HAB;307.0;A
2021;TOTAL;2493;53700;F;HAB;283.0;A
2021;TOTAL;2493;54560;_T;HAB;543.0;A
2021;TOTAL;2493;54560;M;HAB;286.0;A
2021;TOTAL;2493;54560;F;HAB;257.0;A
2021;TOTAL;2493;53809;_T;HAB;19.0;A
2021;TOTAL;2493;53809;M;HAB;10.0;A
2021;TOTAL;2493;53809;F;HAB;9.0;A
2021;TOTAL;2493;54155;_T;HAB;519.0;A
2021;TOTAL;2493;54155;M;HAB;275.0;A
2021;TOTAL;2493;54155;F;HAB;244.0;A
2021;TOTAL;2493;54344;_T;HAB;1.0;A
2021;TOTAL;2493;54344;F;HAB;1.0;A
2021;TOTAL;2493;54452;_T;HAB;4.0;A
2021;TOTAL;2493;54452;M;HAB;1.0;A
2021;TOTAL;2493;54452;F;HAB;3.0;A
2021;TOTAL;2493;54565;_T;HAB;47.0;A
2021;TOTAL;2493;54565;M;HAB;21.0;A
2021;TOTAL;2493;54565;F;HAB;26.0;A
2021;TOTAL;2493;54887;_T;HAB;33.0;A
2021;TOTAL;2493;54887;M;HAB;15.0;A
2021;TOTAL;2493;54887;F;HAB;18.0;A
2021;TOTAL;2494;54888;_T;HAB;5497.0;A
2021;TOTAL;2494;54888;M;HAB;2808.0;A
