D_TEMPORAL_0;D_SEXO_0;D_AA_TERRITROIO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;516748;4235;Número de autónomos;7450.0;A
2020;3690;516748;515745;Número de autónomos;5900.0;A
2020;3690;516748;4305;Número de autónomos;3000.0;A
2020;3690;516748;4306;Número de autónomos;24075.0;A
2020;3690;516749;4172;Número de autónomos;1575.0;A
2020;3690;516749;4210;Número de autónomos;4425.0;A
2020;3690;516749;4235;Número de autónomos;5425.0;A
2020;3690;516749;515745;Número de autónomos;5575.0;A
2020;3690;516749;4305;Número de autónomos;2525.0;A
2020;3690;516749;4306;Número de autónomos;19525.0;A
2020;3690;516750;4172;Número de autónomos;2225.0;A
2020;3690;516750;4210;Número de autónomos;4650.0;A
2020;3690;516750;4235;Número de autónomos;8275.0;A
2020;3690;516750;515745;Número de autónomos;6675.0;A
2020;3690;516750;4305;Número de autónomos;3175.0;A
2020;3690;516750;4306;Número de autónomos;25000.0;A
2020;3690;516751;4172;Número de autónomos;1075.0;A
2020;3690;516751;4210;Número de autónomos;2325.0;A
2020;3690;516751;4235;Número de autónomos;3700.0;A
2020;3690;516751;515745;Número de autónomos;2775.0;A
2020;3690;516751;4305;Número de autónomos;1400.0;A
2020;3690;516751;4306;Número de autónomos;11275.0;A
2020;3690;516752;4172;Número de autónomos;1150.0;A
2020;3690;516752;4210;Número de autónomos;3200.0;A
2020;3690;516752;4235;Número de autónomos;5050.0;A
2020;3690;516752;515745;Número de autónomos;4425.0;A
2020;3690;516752;4305;Número de autónomos;1900.0;A
2020;3690;516752;4306;Número de autónomos;15725.0;A
2020;3690;516753;4172;Número de autónomos;4275.0;A
2020;3690;516753;4210;Número de autónomos;10725.0;A
2020;3690;516753;4235;Número de autónomos;15400.0;A
2020;3690;516753;515745;Número de autónomos;12700.0;A
2020;3690;516753;4305;Número de autónomos;6000.0;A
2020;3690;516753;4306;Número de autónomos;49100.0;A
2020;3690;516754;4172;Número de autónomos;4475.0;A
2020;3690;516754;4210;Número de autónomos;10950.0;A
2020;3690;516754;4235;Número de autónomos;14650.0;A
2020;3690;516754;515745;Número de autónomos;10450.0;A
2020;3690;516754;4305;Número de autónomos;4275.0;A
2020;3690;516754;4306;Número de autónomos;44800.0;A
2020;3690;515892;4172;Número de autónomos;19050.0;A
2020;3690;515892;4210;Número de autónomos;47725.0;A
2020;3690;515892;4235;Número de autónomos;68175.0;A
2020;3690;515892;515745;Número de autónomos;55525.0;A
2020;3690;515892;4305;Número de autónomos;25975.0;A
2020;3690;515892;4306;Número de autónomos;216450.0;A
2020;3691;516728;4172;Número de autónomos;5525.0;A
2020;3691;516728;4210;Número de autónomos;14025.0;A
2020;3691;516728;4235;Número de autónomos;20475.0;A
2020;3691;516728;515745;Número de autónomos;18125.0;A
2020;3691;516728;4305;Número de autónomos;8825.0;A
2020;3691;516728;4306;Número de autónomos;66975.0;A
2020;3691;516748;4172;Número de autónomos;5700.0;A
2020;3691;516748;4210;Número de autónomos;14875.0;A
2020;3691;516748;4235;Número de autónomos;22150.0;A
2020;3691;516748;515745;Número de autónomos;18775.0;A
2020;3691;516748;4305;Número de autónomos;8500.0;A
2020;3691;516748;4306;Número de autónomos;70000.0;A
2020;3691;516749;4172;Número de autónomos;4075.0;A
2020;3691;516749;4210;Número de autónomos;11325.0;A
2020;3691;516749;4235;Número de autónomos;17200.0;A
2020;3691;516749;515745;Número de autónomos;16050.0;A
2020;3691;516749;4305;Número de autónomos;8000.0;A
2020;3691;516749;4306;Número de autónomos;56650.0;A
2020;3691;516750;4172;Número de autónomos;5425.0;A
2020;3691;516750;4210;Número de autónomos;14725.0;A
2020;3691;516750;4235;Número de autónomos;23450.0;A
2020;3691;516750;515745;Número de autónomos;19850.0;A
2020;3691;516750;4305;Número de autónomos;9000.0;A
2020;3691;516750;4306;Número de autónomos;72450.0;A
2020;3691;516751;4172;Número de autónomos;3175.0;A
2020;3691;516751;4210;Número de autónomos;5875.0;A
2020;3691;516751;4235;Número de autónomos;11600.0;A
2020;3691;516751;515745;Número de autónomos;8200.0;A
2020;3691;516751;4305;Número de autónomos;4425.0;A
2020;3691;516751;4306;Número de autónomos;33275.0;A
2020;3691;516752;4172;Número de autónomos;3525.0;A
2020;3691;516752;4210;Número de autónomos;9125.0;A
2020;3691;516752;4235;Número de autónomos;13875.0;A
2020;3691;516752;515745;Número de autónomos;13775.0;A
2020;3691;516752;4305;Número de autónomos;5500.0;A
2020;3691;516752;4306;Número de autónomos;45800.0;A
2020;3691;516753;4172;Número de autónomos;11025.0;A
2020;3691;516753;4210;Número de autónomos;27675.0;A
2020;3691;516753;4235;Número de autónomos;43250.0;A
2020;3691;516753;515745;Número de autónomos;35750.0;A
2020;3691;516753;4305;Número de autónomos;17375.0;A
2020;3691;516753;4306;Número de autónomos;135075.0;A
2020;3691;516754;4172;Número de autónomos;10200.0;A
2020;3691;516754;4210;Número de autónomos;27025.0;A
2020;3691;516754;4235;Número de autónomos;42850.0;A
2020;3691;516754;515745;Número de autónomos;31400.0;A
2020;3691;516754;4305;Número de autónomos;13800.0;A
2020;3691;516754;4306;Número de autónomos;125275.0;A
2020;3691;515892;4172;Número de autónomos;48900.0;A
2020;3691;515892;4210;Número de autónomos;125750.0;A
2020;3691;515892;4235;Número de autónomos;196150.0;A
2020;3691;515892;515745;Número de autónomos;163200.0;A
2020;3691;515892;4305;Número de autónomos;75750.0;A
2020;3691;515892;4306;Número de autónomos;609750.0;A
