D_TEMPORAL_0;D_AA_TERRITORIOIN_0;D_AA_DURACEMPREND_0;D_ANOCELEBRMATRIM_0;D_AA_MULTIVARIABL_0;INDICATOR;OBS_VALUE;FREQ
2020;516659;516607;5086;516632;Supervivientes;4325.0;A
2020;516659;516607;5087;516632;Supervivientes;4275.0;A
2020;516659;516607;5088;516632;Supervivientes;4600.0;A
2020;516659;516607;5089;516632;Supervivientes;4825.0;A
2020;516659;516607;5090;516632;Supervivientes;5775.0;A
2020;516659;516607;5091;516632;Supervivientes;5300.0;A
2020;516659;516607;5092;516632;Supervivientes;5500.0;A
2020;516659;516607;5093;516632;Supervivientes;5100.0;A
2020;516659;516607;5094;516632;Supervivientes;4875.0;A
2020;516659;516607;5095;516632;Supervivientes;6625.0;A
2020;516659;516607;5096;516632;Supervivientes;;A
2020;516659;516607;5097;516632;Supervivientes;;A
2020;516659;516608;5083;516632;Supervivientes;4325.0;A
2020;516659;516608;5084;516632;Supervivientes;4025.0;A
2020;516659;516608;5085;516632;Supervivientes;3625.0;A
2020;516659;516608;5086;516632;Supervivientes;3050.0;A
2020;516659;516608;5087;516632;Supervivientes;3400.0;A
2020;516659;516608;5088;516632;Supervivientes;3775.0;A
2020;516659;516608;5089;516632;Supervivientes;4050.0;A
2020;516659;516608;5090;516632;Supervivientes;4475.0;A
2020;516659;516608;5091;516632;Supervivientes;4500.0;A
2020;516659;516608;5092;516632;Supervivientes;4350.0;A
2020;516659;516608;5093;516632;Supervivientes;4125.0;A
2020;516659;516608;5094;516632;Supervivientes;3775.0;A
2020;516659;516608;5095;516632;Supervivientes;;A
2020;516659;516608;5096;516632;Supervivientes;;A
2020;516659;516608;5097;516632;Supervivientes;;A
2020;516659;516609;5083;516632;Supervivientes;3525.0;A
2020;516659;516609;5084;516632;Supervivientes;3125.0;A
2020;516659;516609;5085;516632;Supervivientes;3050.0;A
2020;516659;516609;5086;516632;Supervivientes;2225.0;A
2020;516659;516609;5087;516632;Supervivientes;2950.0;A
2020;516659;516609;5088;516632;Supervivientes;3225.0;A
2020;516659;516609;5089;516632;Supervivientes;3500.0;A
2020;516659;516609;5090;516632;Supervivientes;4050.0;A
2020;516659;516609;5091;516632;Supervivientes;3725.0;A
2020;516659;516609;5092;516632;Supervivientes;3800.0;A
2020;516659;516609;5093;516632;Supervivientes;3625.0;A
2020;516659;516609;5094;516632;Supervivientes;;A
2020;516659;516609;5095;516632;Supervivientes;;A
2020;516659;516609;5096;516632;Supervivientes;;A
2020;516659;516609;5097;516632;Supervivientes;;A
2020;516659;516610;5083;516632;Supervivientes;3025.0;A
2020;516659;516610;5084;516632;Supervivientes;2650.0;A
2020;516659;516610;5085;516632;Supervivientes;2500.0;A
2020;516659;516610;5086;516632;Supervivientes;1925.0;A
2020;516659;516610;5087;516632;Supervivientes;2600.0;A
2020;516659;516610;5088;516632;Supervivientes;3000.0;A
2020;516659;516610;5089;516632;Supervivientes;3200.0;A
2020;516659;516610;5090;516632;Supervivientes;3575.0;A
2020;516659;516610;5091;516632;Supervivientes;3375.0;A
2020;516659;516610;5092;516632;Supervivientes;3250.0;A
2020;516659;516610;5093;516632;Supervivientes;;A
2020;516659;516610;5094;516632;Supervivientes;;A
2020;516659;516610;5095;516632;Supervivientes;;A
2020;516659;516610;5096;516632;Supervivientes;;A
2020;516659;516610;5097;516632;Supervivientes;;A
2020;516659;516611;5083;516632;Supervivientes;2750.0;A
2020;516659;516611;5084;516632;Supervivientes;2250.0;A
2020;516659;516611;5085;516632;Supervivientes;2350.0;A
2020;516659;516611;5086;516632;Supervivientes;1600.0;A
2020;516659;516611;5087;516632;Supervivientes;2300.0;A
2020;516659;516611;5088;516632;Supervivientes;2675.0;A
2020;516659;516611;5089;516632;Supervivientes;2675.0;A
2020;516659;516611;5090;516632;Supervivientes;3275.0;A
2020;516659;516611;5091;516632;Supervivientes;2950.0;A
2020;516659;516611;5092;516632;Supervivientes;;A
2020;516659;516611;5093;516632;Supervivientes;;A
2020;516659;516611;5094;516632;Supervivientes;;A
2020;516659;516611;5095;516632;Supervivientes;;A
2020;516659;516611;5096;516632;Supervivientes;;A
2020;516659;516611;5097;516632;Supervivientes;;A
2020;516659;516612;5083;516632;Supervivientes;2225.0;A
2020;516659;516612;5084;516632;Supervivientes;2000.0;A
2020;516659;516612;5085;516632;Supervivientes;2125.0;A
2020;516659;516612;5086;516632;Supervivientes;1475.0;A
2020;516659;516612;5087;516632;Supervivientes;2025.0;A
2020;516659;516612;5088;516632;Supervivientes;2400.0;A
2020;516659;516612;5089;516632;Supervivientes;2425.0;A
2020;516659;516612;5090;516632;Supervivientes;2925.0;A
2020;516659;516612;5091;516632;Supervivientes;;A
2020;516659;516612;5092;516632;Supervivientes;;A
2020;516659;516612;5093;516632;Supervivientes;;A
2020;516659;516612;5094;516632;Supervivientes;;A
2020;516659;516612;5095;516632;Supervivientes;;A
2020;516659;516612;5096;516632;Supervivientes;;A
2020;516659;516612;5097;516632;Supervivientes;;A
2020;516659;516613;5083;516632;Supervivientes;2075.0;A
2020;516659;516613;5084;516632;Supervivientes;1775.0;A
2020;516659;516613;5085;516632;Supervivientes;1925.0;A
2020;516659;516613;5086;516632;Supervivientes;1350.0;A
2020;516659;516613;5087;516632;Supervivientes;1825.0;A
2020;516659;516613;5088;516632;Supervivientes;2250.0;A
2020;516659;516613;5089;516632;Supervivientes;2300.0;A
2020;516659;516613;5090;516632;Supervivientes;;A
2020;516659;516613;5091;516632;Supervivientes;;A
2020;516659;516613;5092;516632;Supervivientes;;A
2020;516659;516613;5093;516632;Supervivientes;;A
2020;516659;516613;5094;516632;Supervivientes;;A
2020;516659;516613;5095;516632;Supervivientes;;A
2020;516659;516613;5096;516632;Supervivientes;;A
2020;516659;516613;5097;516632;Supervivientes;;A
2020;516659;516614;5083;516632;Supervivientes;1950.0;A
2020;516659;516614;5084;516632;Supervivientes;1750.0;A
2020;516659;516614;5085;516632;Supervivientes;1725.0;A
2020;516659;516614;5086;516632;Supervivientes;1225.0;A
2020;516659;516614;5087;516632;Supervivientes;1775.0;A
2020;516659;516614;5088;516632;Supervivientes;2075.0;A
2020;516659;516614;5089;516632;Supervivientes;;A
2020;516659;516614;5090;516632;Supervivientes;;A
2020;516659;516614;5091;516632;Supervivientes;;A
2020;516659;516614;5092;516632;Supervivientes;;A
2020;516659;516614;5093;516632;Supervivientes;;A
2020;516659;516614;5094;516632;Supervivientes;;A
2020;516659;516614;5095;516632;Supervivientes;;A
2020;516659;516614;5096;516632;Supervivientes;;A
2020;516659;516614;5097;516632;Supervivientes;;A
2020;516659;516615;5083;516632;Supervivientes;1800.0;A
2020;516659;516615;5084;516632;Supervivientes;1675.0;A
2020;516659;516615;5085;516632;Supervivientes;1600.0;A
2020;516659;516615;5086;516632;Supervivientes;1100.0;A
2020;516659;516615;5087;516632;Supervivientes;1600.0;A
2020;516659;516615;5088;516632;Supervivientes;;A
2020;516659;516615;5089;516632;Supervivientes;;A
2020;516659;516615;5090;516632;Supervivientes;;A
2020;516659;516615;5091;516632;Supervivientes;;A
2020;516659;516615;5092;516632;Supervivientes;;A
2020;516659;516615;5093;516632;Supervivientes;;A
2020;516659;516615;5094;516632;Supervivientes;;A
2020;516659;516615;5095;516632;Supervivientes;;A
2020;516659;516615;5096;516632;Supervivientes;;A
2020;516659;516615;5097;516632;Supervivientes;;A
2020;516662;516633;5083;516632;Supervivientes;7950.0;A
2020;516662;516633;5084;516632;Supervivientes;7750.0;A
2020;516662;516633;5085;516632;Supervivientes;6550.0;A
2020;516662;516633;5086;516632;Supervivientes;6400.0;A
2020;516662;516633;5087;516632;Supervivientes;7175.0;A
2020;516662;516633;5088;516632;Supervivientes;9225.0;A
2020;516662;516633;5089;516632;Supervivientes;9300.0;A
2020;516662;516633;5090;516632;Supervivientes;9825.0;A
2020;516662;516633;5091;516632;Supervivientes;11250.0;A
2020;516662;516633;5092;516632;Supervivientes;8875.0;A
2020;516662;516633;5093;516632;Supervivientes;9425.0;A
2020;516662;516633;5094;516632;Supervivientes;9100.0;A
2020;516662;516633;5095;516632;Supervivientes;11250.0;A
2020;516662;516633;5096;516632;Supervivientes;10275.0;A
2020;516662;516633;5097;516632;Supervivientes;8025.0;A
2020;516662;516606;5083;516632;Supervivientes;5375.0;A
2020;516662;516606;5084;516632;Supervivientes;5000.0;A
2020;516662;516606;5085;516632;Supervivientes;3675.0;A
2020;516662;516606;5086;516632;Supervivientes;3700.0;A
2020;516662;516606;5087;516632;Supervivientes;4125.0;A
2020;516662;516606;5088;516632;Supervivientes;4575.0;A
2020;516662;516606;5089;516632;Supervivientes;4800.0;A
2020;516662;516606;5090;516632;Supervivientes;4275.0;A
2020;516662;516606;5091;516632;Supervivientes;5675.0;A
2020;516662;516606;5092;516632;Supervivientes;4475.0;A
2020;516662;516606;5093;516632;Supervivientes;4700.0;A
2020;516662;516606;5094;516632;Supervivientes;4400.0;A
2020;516662;516606;5095;516632;Supervivientes;6000.0;A
2020;516662;516606;5096;516632;Supervivientes;5975.0;A
2020;516662;516606;5097;516632;Supervivientes;;A
2020;516662;516607;5083;516632;Supervivientes;4200.0;A
2020;516662;516607;5084;516632;Supervivientes;3975.0;A
2020;516662;516607;5085;516632;Supervivientes;2950.0;A
2020;516662;516607;5086;516632;Supervivientes;2725.0;A
2020;516662;516607;5087;516632;Supervivientes;3250.0;A
2020;516662;516607;5088;516632;Supervivientes;3600.0;A
2020;516662;516607;5089;516632;Supervivientes;3675.0;A
2020;516662;516607;5090;516632;Supervivientes;3375.0;A
2020;516662;516607;5091;516632;Supervivientes;4300.0;A
2020;516662;516607;5092;516632;Supervivientes;3250.0;A
2020;516662;516607;5093;516632;Supervivientes;3450.0;A
2020;516662;516607;5094;516632;Supervivientes;3375.0;A
2020;516662;516607;5095;516632;Supervivientes;4350.0;A
2020;516662;516607;5096;516632;Supervivientes;;A
2020;516662;516607;5097;516632;Supervivientes;;A
2020;516662;516608;5083;516632;Supervivientes;3100.0;A
2020;516662;516608;5084;516632;Supervivientes;3325.0;A
2020;516662;516608;5085;516632;Supervivientes;2250.0;A
2020;516662;516608;5086;516632;Supervivientes;2200.0;A
2020;516662;516608;5087;516632;Supervivientes;2725.0;A
2020;516662;516608;5088;516632;Supervivientes;3025.0;A
2020;516662;516608;5089;516632;Supervivientes;3125.0;A
2020;516662;516608;5090;516632;Supervivientes;2725.0;A
2020;516662;516608;5091;516632;Supervivientes;3550.0;A
2020;516662;516608;5092;516632;Supervivientes;2825.0;A
2020;516662;516608;5093;516632;Supervivientes;2775.0;A
2020;516662;516608;5094;516632;Supervivientes;2650.0;A
2020;516662;516608;5095;516632;Supervivientes;;A
2020;516662;516608;5096;516632;Supervivientes;;A
2020;516662;516608;5097;516632;Supervivientes;;A
2020;516662;516609;5083;516632;Supervivientes;2825.0;A
2020;516662;516609;5084;516632;Supervivientes;2725.0;A
2020;516662;516609;5085;516632;Supervivientes;1925.0;A
2020;516662;516609;5086;516632;Supervivientes;1725.0;A
2020;516662;516609;5087;516632;Supervivientes;2275.0;A
2020;516662;516609;5088;516632;Supervivientes;2775.0;A
2020;516662;516609;5089;516632;Supervivientes;2700.0;A
2020;516662;516609;5090;516632;Supervivientes;2350.0;A
2020;516662;516609;5091;516632;Supervivientes;3125.0;A
2020;516662;516609;5092;516632;Supervivientes;2425.0;A
2020;516662;516609;5093;516632;Supervivientes;2500.0;A
2020;516662;516609;5094;516632;Supervivientes;;A
2020;516662;516609;5095;516632;Supervivientes;;A
2020;516662;516609;5096;516632;Supervivientes;;A
2020;516662;516609;5097;516632;Supervivientes;;A
2020;516662;516610;5083;516632;Supervivientes;2450.0;A
2020;516662;516610;5084;516632;Supervivientes;2275.0;A
2020;516662;516610;5085;516632;Supervivientes;1425.0;A
2020;516662;516610;5086;516632;Supervivientes;1525.0;A
2020;516662;516610;5087;516632;Supervivientes;1975.0;A
2020;516662;516610;5088;516632;Supervivientes;2500.0;A
2020;516662;516610;5089;516632;Supervivientes;2425.0;A
2020;516662;516610;5090;516632;Supervivientes;2025.0;A
2020;516662;516610;5091;516632;Supervivientes;2850.0;A
2020;516662;516610;5092;516632;Supervivientes;2175.0;A
2020;516662;516610;5093;516632;Supervivientes;;A
2020;516662;516610;5094;516632;Supervivientes;;A
2020;516662;516610;5095;516632;Supervivientes;;A
2020;516662;516610;5096;516632;Supervivientes;;A
2020;516662;516610;5097;516632;Supervivientes;;A
2020;516662;516611;5083;516632;Supervivientes;2275.0;A
2020;516662;516611;5084;516632;Supervivientes;2125.0;A
2020;516662;516611;5085;516632;Supervivientes;1275.0;A
2020;516662;516611;5086;516632;Supervivientes;1425.0;A
2020;516662;516611;5087;516632;Supervivientes;1725.0;A
2020;516662;516611;5088;516632;Supervivientes;2425.0;A
2020;516662;516611;5089;516632;Supervivientes;2175.0;A
2020;516662;516611;5090;516632;Supervivientes;1775.0;A
2020;516662;516611;5091;516632;Supervivientes;2725.0;A
2020;516662;516611;5092;516632;Supervivientes;;A
2020;516662;516611;5093;516632;Supervivientes;;A
2020;516662;516611;5094;516632;Supervivientes;;A
2020;516662;516611;5095;516632;Supervivientes;;A
2020;516662;516611;5096;516632;Supervivientes;;A
2020;516662;516611;5097;516632;Supervivientes;;A
2020;516662;516612;5083;516632;Supervivientes;2100.0;A
2020;516662;516612;5084;516632;Supervivientes;1775.0;A
2020;516662;516612;5085;516632;Supervivientes;1275.0;A
