D_TEMPORAL_0;D_SEXO_0;D_AA_TIPOCOTIZACA_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3689;515775;516753;Número de autónomos;6400.0;A
2020;3689;515775;516754;Número de autónomos;6475.0;A
2020;3689;515775;515892;Número de autónomos;33450.0;A
2020;3689;515776;516728;Número de autónomos;10100.0;A
2020;3689;515776;516748;Número de autónomos;18950.0;A
2020;3689;515776;516749;Número de autónomos;14250.0;A
2020;3689;515776;516750;Número de autónomos;18825.0;A
2020;3689;515776;516751;Número de autónomos;7650.0;A
2020;3689;515776;516752;Número de autónomos;10550.0;A
2020;3689;515776;516753;Número de autónomos;35825.0;A
2020;3689;515776;516754;Número de autónomos;31625.0;A
2020;3689;515776;515892;Número de autónomos;148950.0;A
2020;3689;515777;516728;Número de autónomos;1850.0;A
2020;3689;515777;516748;Número de autónomos;4275.0;A
2020;3689;515777;516749;Número de autónomos;2875.0;A
2020;3689;515777;516750;Número de autónomos;3700.0;A
2020;3689;515777;516751;Número de autónomos;1500.0;A
2020;3689;515777;516752;Número de autónomos;3600.0;A
2020;3689;515777;516753;Número de autónomos;6000.0;A
2020;3689;515777;516754;Número de autónomos;6300.0;A
2020;3689;515777;515892;Número de autónomos;30200.0;A
2020;3690;515771;516728;Número de autónomos;25375.0;A
2020;3690;515771;516748;Número de autónomos;24075.0;A
2020;3690;515771;516749;Número de autónomos;19525.0;A
2020;3690;515771;516750;Número de autónomos;25000.0;A
2020;3690;515771;516751;Número de autónomos;11275.0;A
2020;3690;515771;516752;Número de autónomos;15725.0;A
2020;3690;515771;516753;Número de autónomos;49100.0;A
2020;3690;515771;516754;Número de autónomos;44800.0;A
2020;3690;515771;515892;Número de autónomos;216450.0;A
2020;3690;515772;516728;Número de autónomos;14125.0;A
2020;3690;515772;516748;Número de autónomos;9325.0;A
2020;3690;515772;516749;Número de autónomos;7900.0;A
2020;3690;515772;516750;Número de autónomos;9975.0;A
2020;3690;515772;516751;Número de autónomos;5100.0;A
2020;3690;515772;516752;Número de autónomos;6500.0;A
2020;3690;515772;516753;Número de autónomos;19200.0;A
2020;3690;515772;516754;Número de autónomos;18350.0;A
2020;3690;515772;515892;Número de autónomos;91125.0;A
2020;3690;515774;516728;Número de autónomos;11250.0;A
2020;3690;515774;516748;Número de autónomos;14750.0;A
2020;3690;515774;516749;Número de autónomos;11625.0;A
2020;3690;515774;516750;Número de autónomos;15025.0;A
2020;3690;515774;516751;Número de autónomos;6175.0;A
2020;3690;515774;516752;Número de autónomos;9225.0;A
2020;3690;515774;516753;Número de autónomos;29900.0;A
2020;3690;515774;516754;Número de autónomos;26450.0;A
2020;3690;515774;515892;Número de autónomos;125325.0;A
2020;3690;515775;516728;Número de autónomos;2075.0;A
2020;3690;515775;516748;Número de autónomos;1600.0;A
2020;3690;515775;516749;Número de autónomos;1500.0;A
2020;3690;515775;516750;Número de autónomos;2000.0;A
2020;3690;515775;516751;Número de autónomos;950.0;A
2020;3690;515775;516752;Número de autónomos;1300.0;A
2020;3690;515775;516753;Número de autónomos;3150.0;A
2020;3690;515775;516754;Número de autónomos;3550.0;A
2020;3690;515775;515892;Número de autónomos;16275.0;A
2020;3690;515776;516728;Número de autónomos;7675.0;A
2020;3690;515776;516748;Número de autónomos;11500.0;A
2020;3690;515776;516749;Número de autónomos;8500.0;A
2020;3690;515776;516750;Número de autónomos;10925.0;A
