D_TEMPORAL_0;D_SEXO_0;D_AA_TIPODEHOGAR_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3690;515763;516748;Número de autónomos;6075.0;A
2019;3690;515763;516749;Número de autónomos;5925.0;A
2019;3690;515763;516750;Número de autónomos;5850.0;A
2019;3690;515763;516751;Número de autónomos;2775.0;A
2019;3690;515763;516752;Número de autónomos;5350.0;A
2019;3690;515763;516753;Número de autónomos;11150.0;A
2019;3690;515763;516754;Número de autónomos;12200.0;A
2019;3690;515763;515892;Número de autónomos;56975.0;A
2019;3690;515764;516728;Número de autónomos;3425.0;A
2019;3690;515764;516748;Número de autónomos;2800.0;A
2019;3690;515764;516749;Número de autónomos;3075.0;A
2019;3690;515764;516750;Número de autónomos;2825.0;A
2019;3690;515764;516751;Número de autónomos;1150.0;A
2019;3690;515764;516752;Número de autónomos;1850.0;A
2019;3690;515764;516753;Número de autónomos;7750.0;A
2019;3690;515764;516754;Número de autónomos;6750.0;A
2019;3690;515764;515892;Número de autónomos;29750.0;A
2019;3690;516585;516728;Número de autónomos;*;A
2019;3690;516585;516748;Número de autónomos;550.0;A
2019;3690;516585;516749;Número de autónomos;*;A
2019;3690;516585;516750;Número de autónomos;575.0;A
2019;3690;516585;516751;Número de autónomos;*;A
2019;3690;516585;516752;Número de autónomos;*;A
2019;3690;516585;516753;Número de autónomos;1800.0;A
2019;3690;516585;516754;Número de autónomos;*;A
2019;3690;516585;515892;Número de autónomos;3875.0;A
2019;3690;515755;516728;Número de autónomos;25125.0;A
2019;3690;515755;516748;Número de autónomos;24275.0;A
2019;3690;515755;516749;Número de autónomos;19700.0;A
2019;3690;515755;516750;Número de autónomos;25225.0;A
2019;3690;515755;516751;Número de autónomos;11125.0;A
2019;3690;515755;516752;Número de autónomos;15925.0;A
2019;3690;515755;516753;Número de autónomos;49875.0;A
2019;3690;515755;516754;Número de autónomos;44725.0;A
2019;3690;515755;515892;Número de autónomos;217600.0;A
2019;3691;515756;516728;Número de autónomos;10775.0;A
2019;3691;515756;516748;Número de autónomos;12675.0;A
2019;3691;515756;516749;Número de autónomos;6925.0;A
2019;3691;515756;516750;Número de autónomos;15775.0;A
2019;3691;515756;516751;Número de autónomos;6725.0;A
2019;3691;515756;516752;Número de autónomos;6500.0;A
2019;3691;515756;516753;Número de autónomos;24250.0;A
2019;3691;515756;516754;Número de autónomos;16200.0;A
2019;3691;515756;515892;Número de autónomos;100700.0;A
2019;3691;515757;516728;Número de autónomos;8975.0;A
2019;3691;515757;516748;Número de autónomos;10775.0;A
2019;3691;515757;516749;Número de autónomos;6150.0;A
2019;3691;515757;516750;Número de autónomos;13625.0;A
2019;3691;515757;516751;Número de autónomos;5875.0;A
2019;3691;515757;516752;Número de autónomos;5600.0;A
2019;3691;515757;516753;Número de autónomos;21175.0;A
2019;3691;515757;516754;Número de autónomos;13675.0;A
2019;3691;515757;515892;Número de autónomos;86525.0;A
2019;3691;515758;516728;Número de autónomos;1800.0;A
2019;3691;515758;516748;Número de autónomos;1900.0;A
2019;3691;515758;516749;Número de autónomos;775.0;A
2019;3691;515758;516750;Número de autónomos;2150.0;A
2019;3691;515758;516751;Número de autónomos;850.0;A
2019;3691;515758;516752;Número de autónomos;900.0;A
2019;3691;515758;516753;Número de autónomos;3075.0;A
2019;3691;515758;516754;Número de autónomos;2525.0;A
2019;3691;515758;515892;Número de autónomos;14175.0;A
2019;3691;515759;516728;Número de autónomos;25625.0;A
2019;3691;515759;516748;Número de autónomos;29525.0;A
2019;3691;515759;516749;Número de autónomos;24275.0;A
2019;3691;515759;516750;Número de autónomos;29800.0;A
2019;3691;515759;516751;Número de autónomos;14150.0;A
2019;3691;515759;516752;Número de autónomos;19150.0;A
2019;3691;515759;516753;Número de autónomos;52200.0;A
2019;3691;515759;516754;Número de autónomos;53750.0;A
2019;3691;515759;515892;Número de autónomos;250725.0;A
2019;3691;515761;516728;Número de autónomos;12125.0;A
2019;3691;515761;516748;Número de autónomos;14175.0;A
2019;3691;515761;516749;Número de autónomos;11075.0;A
2019;3691;515761;516750;Número de autónomos;17525.0;A
2019;3691;515761;516751;Número de autónomos;7325.0;A
2019;3691;515761;516752;Número de autónomos;10125.0;A
2019;3691;515761;516753;Número de autónomos;27575.0;A
2019;3691;515761;516754;Número de autónomos;21450.0;A
2019;3691;515761;515892;Número de autónomos;122950.0;A
2019;3691;515762;516728;Número de autónomos;13500.0;A
2019;3691;515762;516748;Número de autónomos;15350.0;A
2019;3691;515762;516749;Número de autónomos;13200.0;A
2019;3691;515762;516750;Número de autónomos;12275.0;A
2019;3691;515762;516751;Número de autónomos;6825.0;A
2019;3691;515762;516752;Número de autónomos;9025.0;A
2019;3691;515762;516753;Número de autónomos;24625.0;A
2019;3691;515762;516754;Número de autónomos;32300.0;A
2019;3691;515762;515892;Número de autónomos;127775.0;A
2019;3691;515760;516728;Número de autónomos;28875.0;A
2019;3691;515760;516748;Número de autónomos;27075.0;A
2019;3691;515760;516749;Número de autónomos;26525.0;A
2019;3691;515760;516750;Número de autónomos;25600.0;A
2019;3691;515760;516751;Número de autónomos;11625.0;A
2019;3691;515760;516752;Número de autónomos;20525.0;A
2019;3691;515760;516753;Número de autónomos;53525.0;A
2019;3691;515760;516754;Número de autónomos;54125.0;A
2019;3691;515760;515892;Número de autónomos;249000.0;A
2019;3691;515763;516728;Número de autónomos;19525.0;A
2019;3691;515763;516748;Número de autónomos;19025.0;A
2019;3691;515763;516749;Número de autónomos;18275.0;A
2019;3691;515763;516750;Número de autónomos;17600.0;A
2019;3691;515763;516751;Número de autónomos;7950.0;A
2019;3691;515763;516752;Número de autónomos;15425.0;A
2019;3691;515763;516753;Número de autónomos;33650.0;A
2019;3691;515763;516754;Número de autónomos;36600.0;A
2019;3691;515763;515892;Número de autónomos;168825.0;A
2019;3691;515764;516728;Número de autónomos;9350.0;A
2019;3691;515764;516748;Número de autónomos;8050.0;A
2019;3691;515764;516749;Número de autónomos;8250.0;A
2019;3691;515764;516750;Número de autónomos;8000.0;A
2019;3691;515764;516751;Número de autónomos;3675.0;A
2019;3691;515764;516752;Número de autónomos;5100.0;A
2019;3691;515764;516753;Número de autónomos;19875.0;A
2019;3691;515764;516754;Número de autónomos;17525.0;A
2019;3691;515764;515892;Número de autónomos;80175.0;A
2019;3691;516585;516728;Número de autónomos;1150.0;A
2019;3691;516585;516748;Número de autónomos;1150.0;A
2019;3691;516585;516749;Número de autónomos;*;A
2019;3691;516585;516750;Número de autónomos;1750.0;A
2019;3691;516585;516751;Número de autónomos;600.0;A
2019;3691;516585;516752;Número de autónomos;*;A
2019;3691;516585;516753;Número de autónomos;5600.0;A
2019;3691;516585;516754;Número de autónomos;1725.0;A
2019;3691;516585;515892;Número de autónomos;12650.0;A
2019;3691;515755;516728;Número de autónomos;66425.0;A
2019;3691;515755;516748;Número de autónomos;70425.0;A
2019;3691;515755;516749;Número de autónomos;58000.0;A
2019;3691;515755;516750;Número de autónomos;72925.0;A
2019;3691;515755;516751;Número de autónomos;33100.0;A
2019;3691;515755;516752;Número de autónomos;46475.0;A
2019;3691;515755;516753;Número de autónomos;135575.0;A
2019;3691;515755;516754;Número de autónomos;125800.0;A
2019;3691;515755;515892;Número de autónomos;613075.0;A
2020;3689;515756;516728;Número de autónomos;6775.0;A
2020;3689;515756;516748;Número de autónomos;8425.0;A
2020;3689;515756;516749;Número de autónomos;4325.0;A
2020;3689;515756;516750;Número de autónomos;10050.0;A
2020;3689;515756;516751;Número de autónomos;4875.0;A
2020;3689;515756;516752;Número de autónomos;4775.0;A
2020;3689;515756;516753;Número de autónomos;14375.0;A
2020;3689;515756;516754;Número de autónomos;10275.0;A
2020;3689;515756;515892;Número de autónomos;64350.0;A
2020;3689;515757;516728;Número de autónomos;6250.0;A
2020;3689;515757;516748;Número de autónomos;7875.0;A
2020;3689;515757;516749;Número de autónomos;4200.0;A
2020;3689;515757;516750;Número de autónomos;9125.0;A
2020;3689;515757;516751;Número de autónomos;4550.0;A
2020;3689;515757;516752;Número de autónomos;4525.0;A
2020;3689;515757;516753;Número de autónomos;13525.0;A
2020;3689;515757;516754;Número de autónomos;9475.0;A
2020;3689;515757;515892;Número de autónomos;59950.0;A
2020;3689;515758;516728;Número de autónomos;525.0;A
2020;3689;515758;516748;Número de autónomos;550.0;A
2020;3689;515758;516749;Número de autónomos;*;A
2020;3689;515758;516750;Número de autónomos;925.0;A
2020;3689;515758;516751;Número de autónomos;*;A
2020;3689;515758;516752;Número de autónomos;*;A
2020;3689;515758;516753;Número de autónomos;850.0;A
2020;3689;515758;516754;Número de autónomos;800.0;A
2020;3689;515758;515892;Número de autónomos;4400.0;A
2020;3689;515759;516728;Número de autónomos;16250.0;A
2020;3689;515759;516748;Número de autónomos;18850.0;A
2020;3689;515759;516749;Número de autónomos;14825.0;A
2020;3689;515759;516750;Número de autónomos;19525.0;A
2020;3689;515759;516751;Número de autónomos;9450.0;A
2020;3689;515759;516752;Número de autónomos;12400.0;A
2020;3689;515759;516753;Número de autónomos;33175.0;A
2020;3689;515759;516754;Número de autónomos;33375.0;A
2020;3689;515759;515892;Número de autónomos;159100.0;A
2020;3689;515761;516728;Número de autónomos;7975.0;A
2020;3689;515761;516748;Número de autónomos;8850.0;A
2020;3689;515761;516749;Número de autónomos;6875.0;A
2020;3689;515761;516750;Número de autónomos;11325.0;A
2020;3689;515761;516751;Número de autónomos;5075.0;A
2020;3689;515761;516752;Número de autónomos;6575.0;A
2020;3689;515761;516753;Número de autónomos;18000.0;A
2020;3689;515761;516754;Número de autónomos;13575.0;A
2020;3689;515761;515892;Número de autónomos;79150.0;A
2020;3689;515762;516728;Número de autónomos;8275.0;A
2020;3689;515762;516748;Número de autónomos;10000.0;A
2020;3689;515762;516749;Número de autónomos;7950.0;A
2020;3689;515762;516750;Número de autónomos;8200.0;A
2020;3689;515762;516751;Número de autónomos;4375.0;A
2020;3689;515762;516752;Número de autónomos;5825.0;A
2020;3689;515762;516753;Número de autónomos;15175.0;A
2020;3689;515762;516754;Número de autónomos;19800.0;A
2020;3689;515762;515892;Número de autónomos;79950.0;A
2020;3689;515760;516728;Número de autónomos;17575.0;A
2020;3689;515760;516748;Número de autónomos;17975.0;A
2020;3689;515760;516749;Número de autónomos;17675.0;A
2020;3689;515760;516750;Número de autónomos;16400.0;A
2020;3689;515760;516751;Número de autónomos;7300.0;A
2020;3689;515760;516752;Número de autónomos;12675.0;A
2020;3689;515760;516753;Número de autónomos;34875.0;A
2020;3689;515760;516754;Número de autónomos;35225.0;A
2020;3689;515760;515892;Número de autónomos;160575.0;A
2020;3689;515763;516728;Número de autónomos;11650.0;A
2020;3689;515763;516748;Número de autónomos;13325.0;A
2020;3689;515763;516749;Número de autónomos;12425.0;A
2020;3689;515763;516750;Número de autónomos;11175.0;A
2020;3689;515763;516751;Número de autónomos;5075.0;A
2020;3689;515763;516752;Número de autónomos;9325.0;A
2020;3689;515763;516753;Número de autónomos;23125.0;A
2020;3689;515763;516754;Número de autónomos;24475.0;A
2020;3689;515763;515892;Número de autónomos;111200.0;A
2020;3689;515764;516728;Número de autónomos;5925.0;A
2020;3689;515764;516748;Número de autónomos;4650.0;A
2020;3689;515764;516749;Número de autónomos;5250.0;A
2020;3689;515764;516750;Número de autónomos;5225.0;A
2020;3689;515764;516751;Número de autónomos;2225.0;A
2020;3689;515764;516752;Número de autónomos;3350.0;A
2020;3689;515764;516753;Número de autónomos;11750.0;A
2020;3689;515764;516754;Número de autónomos;10750.0;A
2020;3689;515764;515892;Número de autónomos;49375.0;A
2020;3689;516585;516728;Número de autónomos;1000.0;A
2020;3689;516585;516748;Número de autónomos;675.0;A
2020;3689;516585;516749;Número de autónomos;*;A
2020;3689;516585;516750;Número de autónomos;1475.0;A
2020;3689;516585;516751;Número de autónomos;*;A
2020;3689;516585;516752;Número de autónomos;*;A
2020;3689;516585;516753;Número de autónomos;3550.0;A
2020;3689;516585;516754;Número de autónomos;1600.0;A
2020;3689;516585;515892;Número de autónomos;9275.0;A
2020;3689;515755;516728;Número de autónomos;41600.0;A
2020;3689;515755;516748;Número de autónomos;45925.0;A
2020;3689;515755;516749;Número de autónomos;37125.0;A
2020;3689;515755;516750;Número de autónomos;47450.0;A
2020;3689;515755;516751;Número de autónomos;22000.0;A
2020;3689;515755;516752;Número de autónomos;30075.0;A
2020;3689;515755;516753;Número de autónomos;85975.0;A
2020;3689;515755;516754;Número de autónomos;80475.0;A
2020;3689;515755;515892;Número de autónomos;393300.0;A
2020;3690;515756;516728;Número de autónomos;4400.0;A
2020;3690;515756;516748;Número de autónomos;4325.0;A
2020;3690;515756;516749;Número de autónomos;2525.0;A
2020;3690;515756;516750;Número de autónomos;5575.0;A
2020;3690;515756;516751;Número de autónomos;1775.0;A
2020;3690;515756;516752;Número de autónomos;2100.0;A
2020;3690;515756;516753;Número de autónomos;9050.0;A
