D_TEMPORAL_0;D_SEXO_0;D_AA_TIPOULTIEMPR_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3691;515781;516749;Número de autónomos;6525.0;A
2020;3691;515781;516750;Número de autónomos;7200.0;A
2020;3691;515781;516751;Número de autónomos;3975.0;A
2020;3691;515781;516752;Número de autónomos;4200.0;A
2020;3691;515781;516753;Número de autónomos;20425.0;A
2020;3691;515781;516754;Número de autónomos;20675.0;A
2020;3691;515781;515892;Número de autónomos;79925.0;A
2020;3691;515782;516728;Número de autónomos;5075.0;A
2020;3691;515782;516748;Número de autónomos;6975.0;A
2020;3691;515782;516749;Número de autónomos;5525.0;A
2020;3691;515782;516750;Número de autónomos;5625.0;A
2020;3691;515782;516751;Número de autónomos;3425.0;A
2020;3691;515782;516752;Número de autónomos;4425.0;A
2020;3691;515782;516753;Número de autónomos;11350.0;A
2020;3691;515782;516754;Número de autónomos;10875.0;A
2020;3691;515782;515892;Número de autónomos;53650.0;A
2020;3691;515778;516728;Número de autónomos;66975.0;A
2020;3691;515778;516748;Número de autónomos;70000.0;A
2020;3691;515778;516749;Número de autónomos;56650.0;A
2020;3691;515778;516750;Número de autónomos;72450.0;A
2020;3691;515778;516751;Número de autónomos;33275.0;A
2020;3691;515778;516752;Número de autónomos;45800.0;A
2020;3691;515778;516753;Número de autónomos;135075.0;A
2020;3691;515778;516754;Número de autónomos;125275.0;A
2020;3691;515778;515892;Número de autónomos;609750.0;A
