D_TEMPORAL_0;D_SEXO_0;D_AA_SITPREVULTEM_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3691;518712;516751;Número de autónomos;3300.0;A
2019;3691;518712;516752;Número de autónomos;4400.0;A
2019;3691;518712;516753;Número de autónomos;18350.0;A
2019;3691;518712;516754;Número de autónomos;11225.0;A
2019;3691;518712;515892;Número de autónomos;64675.0;A
2019;3691;518713;516728;Número de autónomos;20325.0;A
2019;3691;518713;516748;Número de autónomos;24425.0;A
2019;3691;518713;516749;Número de autónomos;18775.0;A
2019;3691;518713;516750;Número de autónomos;24650.0;A
2019;3691;518713;516751;Número de autónomos;11700.0;A
2019;3691;518713;516752;Número de autónomos;14650.0;A
2019;3691;518713;516753;Número de autónomos;47725.0;A
2019;3691;518713;516754;Número de autónomos;42825.0;A
2019;3691;518713;515892;Número de autónomos;206525.0;A
2019;3691;518714;516728;Número de autónomos;6100.0;A
2019;3691;518714;516748;Número de autónomos;8175.0;A
2019;3691;518714;516749;Número de autónomos;5775.0;A
2019;3691;518714;516750;Número de autónomos;8625.0;A
2019;3691;518714;516751;Número de autónomos;3450.0;A
2019;3691;518714;516752;Número de autónomos;4700.0;A
2019;3691;518714;516753;Número de autónomos;15600.0;A
2019;3691;518714;516754;Número de autónomos;16225.0;A
2019;3691;518714;515892;Número de autónomos;69225.0;A
2019;3691;7196;516728;Número de autónomos;66425.0;A
2019;3691;7196;516748;Número de autónomos;70425.0;A
2019;3691;7196;516749;Número de autónomos;58000.0;A
2019;3691;7196;516750;Número de autónomos;72925.0;A
2019;3691;7196;516751;Número de autónomos;33100.0;A
2019;3691;7196;516752;Número de autónomos;46475.0;A
2019;3691;7196;516753;Número de autónomos;135575.0;A
2019;3691;7196;516754;Número de autónomos;125800.0;A
2019;3691;7196;515892;Número de autónomos;613075.0;A
2020;3689;515798;516728;Número de autónomos;22175.0;A
2020;3689;515798;516748;Número de autónomos;21550.0;A
2020;3689;515798;516749;Número de autónomos;18200.0;A
2020;3689;515798;516750;Número de autónomos;21300.0;A
2020;3689;515798;516751;Número de autónomos;10600.0;A
2020;3689;515798;516752;Número de autónomos;15700.0;A
2020;3689;515798;516753;Número de autónomos;36900.0;A
2020;3689;515798;516754;Número de autónomos;38800.0;A
2020;3689;515798;515892;Número de autónomos;186475.0;A
2020;3689;518710;516728;Número de autónomos;5000.0;A
2020;3689;518710;516748;Número de autónomos;8050.0;A
2020;3689;518710;516749;Número de autónomos;5525.0;A
2020;3689;518710;516750;Número de autónomos;6750.0;A
2020;3689;518710;516751;Número de autónomos;2825.0;A
2020;3689;518710;516752;Número de autónomos;4400.0;A
2020;3689;518710;516753;Número de autónomos;12525.0;A
2020;3689;518710;516754;Número de autónomos;13650.0;A
2020;3689;518710;515892;Número de autónomos;59200.0;A
2020;3689;515799;516728;Número de autónomos;17175.0;A
2020;3689;515799;516748;Número de autónomos;13500.0;A
2020;3689;515799;516749;Número de autónomos;12675.0;A
2020;3689;515799;516750;Número de autónomos;14550.0;A
2020;3689;515799;516751;Número de autónomos;7775.0;A
2020;3689;515799;516752;Número de autónomos;11300.0;A
2020;3689;515799;516753;Número de autónomos;24375.0;A
2020;3689;515799;516754;Número de autónomos;25150.0;A
2020;3689;515799;515892;Número de autónomos;127275.0;A
2020;3689;518711;516728;Número de autónomos;19425.0;A
2020;3689;518711;516748;Número de autónomos;24375.0;A
2020;3689;518711;516749;Número de autónomos;18925.0;A
2020;3689;518711;516750;Número de autónomos;26150.0;A
2020;3689;518711;516751;Número de autónomos;11400.0;A
2020;3689;518711;516752;Número de autónomos;14375.0;A
2020;3689;518711;516753;Número de autónomos;49075.0;A
2020;3689;518711;516754;Número de autónomos;41675.0;A
2020;3689;518711;515892;Número de autónomos;206825.0;A
2020;3689;518712;516728;Número de autónomos;3725.0;A
2020;3689;518712;516748;Número de autónomos;4125.0;A
2020;3689;518712;516749;Número de autónomos;3850.0;A
2020;3689;518712;516750;Número de autónomos;4625.0;A
2020;3689;518712;516751;Número de autónomos;2125.0;A
2020;3689;518712;516752;Número de autónomos;2475.0;A
2020;3689;518712;516753;Número de autónomos;11625.0;A
2020;3689;518712;516754;Número de autónomos;6650.0;A
2020;3689;518712;515892;Número de autónomos;39425.0;A
2020;3689;518713;516728;Número de autónomos;12325.0;A
2020;3689;518713;516748;Número de autónomos;15100.0;A
2020;3689;518713;516749;Número de autónomos;11350.0;A
2020;3689;518713;516750;Número de autónomos;16025.0;A
2020;3689;518713;516751;Número de autónomos;7400.0;A
2020;3689;518713;516752;Número de autónomos;8850.0;A
2020;3689;518713;516753;Número de autónomos;29100.0;A
2020;3689;518713;516754;Número de autónomos;25275.0;A
2020;3689;518713;515892;Número de autónomos;126300.0;A
2020;3689;518714;516728;Número de autónomos;3375.0;A
2020;3689;518714;516748;Número de autónomos;5150.0;A
2020;3689;518714;516749;Número de autónomos;3725.0;A
2020;3689;518714;516750;Número de autónomos;5500.0;A
2020;3689;518714;516751;Número de autónomos;1875.0;A
2020;3689;518714;516752;Número de autónomos;3050.0;A
2020;3689;518714;516753;Número de autónomos;8350.0;A
2020;3689;518714;516754;Número de autónomos;9750.0;A
2020;3689;518714;515892;Número de autónomos;41100.0;A
2020;3689;7196;516728;Número de autónomos;41600.0;A
2020;3689;7196;516748;Número de autónomos;45925.0;A
2020;3689;7196;516749;Número de autónomos;37125.0;A
2020;3689;7196;516750;Número de autónomos;47450.0;A
2020;3689;7196;516751;Número de autónomos;22000.0;A
2020;3689;7196;516752;Número de autónomos;30075.0;A
2020;3689;7196;516753;Número de autónomos;85975.0;A
2020;3689;7196;516754;Número de autónomos;80475.0;A
2020;3689;7196;515892;Número de autónomos;393300.0;A
2020;3690;515798;516728;Número de autónomos;10950.0;A
2020;3690;515798;516748;Número de autónomos;9575.0;A
2020;3690;515798;516749;Número de autónomos;8325.0;A
2020;3690;515798;516750;Número de autónomos;10400.0;A
2020;3690;515798;516751;Número de autónomos;4175.0;A
2020;3690;515798;516752;Número de autónomos;6475.0;A
2020;3690;515798;516753;Número de autónomos;17500.0;A
2020;3690;515798;516754;Número de autónomos;17525.0;A
2020;3690;515798;515892;Número de autónomos;85500.0;A
2020;3690;518710;516728;Número de autónomos;2475.0;A
2020;3690;518710;516748;Número de autónomos;3125.0;A
2020;3690;518710;516749;Número de autónomos;2000.0;A
2020;3690;518710;516750;Número de autónomos;3050.0;A
2020;3690;518710;516751;Número de autónomos;1100.0;A
2020;3690;518710;516752;Número de autónomos;1975.0;A
2020;3690;518710;516753;Número de autónomos;5275.0;A
2020;3690;518710;516754;Número de autónomos;4975.0;A
2020;3690;518710;515892;Número de autónomos;24225.0;A
2020;3690;515799;516728;Número de autónomos;8475.0;A
2020;3690;515799;516748;Número de autónomos;6450.0;A
2020;3690;515799;516749;Número de autónomos;6325.0;A
2020;3690;515799;516750;Número de autónomos;7350.0;A
2020;3690;515799;516751;Número de autónomos;3075.0;A
2020;3690;515799;516752;Número de autónomos;4500.0;A
2020;3690;515799;516753;Número de autónomos;12225.0;A
2020;3690;515799;516754;Número de autónomos;12550.0;A
2020;3690;515799;515892;Número de autónomos;61275.0;A
2020;3690;518711;516728;Número de autónomos;14425.0;A
2020;3690;518711;516748;Número de autónomos;14500.0;A
2020;3690;518711;516749;Número de autónomos;11200.0;A
2020;3690;518711;516750;Número de autónomos;14600.0;A
2020;3690;518711;516751;Número de autónomos;7100.0;A
2020;3690;518711;516752;Número de autónomos;9250.0;A
2020;3690;518711;516753;Número de autónomos;31600.0;A
2020;3690;518711;516754;Número de autónomos;27275.0;A
