TIME_PERIOD,REF_AREA,D_TIPOMATRIMONIO_0,INDICATOR,OBS_VALUE,FREQ
2016,ES615,5669,DIV,1053.5608,A
2016,ES615,5664,DIV,1041.1856,A
2016,ES615,5668,DIV,12.3752,A
2016,ES615,5666,DIV,6.1876,A
2016,ES615,5667,DIV,6.1876,A
2016,ES616,5669,DIV,1120.7404,A
2016,ES616,5664,DIV,1112.2664,A
2016,ES616,5668,DIV,8.474,A
2016,ES616,5666,DIV,6.9792,A
2016,ES616,5667,DIV,1.4948,A
2016,ES617,5669,DIV,3657.8326,A
2016,ES617,5664,DIV,3607.32,A
2016,ES617,5668,DIV,50.5126,A
2016,ES617,5666,DIV,35.5078,A
2016,ES617,5667,DIV,15.0048,A
2016,ES618,5669,DIV,4023.9932,A
2016,ES618,5664,DIV,3979.7318,A
2016,ES618,5668,DIV,44.2614,A
2016,ES618,5666,DIV,25.3384,A
2016,ES618,5667,DIV,18.923,A
2015,ES61,5669,DIV,17029.5907,A
2015,ES61,5664,DIV,16912.0991,A
2015,ES61,5668,DIV,117.4916,A
2015,ES61,5666,DIV,55.0451,A
2015,ES61,5667,DIV,62.4465,A
2015,ES611,5669,DIV,1398.5163,A
2015,ES611,5664,DIV,1392.2019,A
2015,ES611,5668,DIV,6.3144,A
2015,ES611,5666,DIV,3.1572,A
2015,ES611,5667,DIV,3.1572,A
2015,ES612,5669,DIV,2355.5567,A
2015,ES612,5664,DIV,2334.0279,A
2015,ES612,5668,DIV,21.5288,A
2015,ES612,5666,DIV,9.5628,A
2015,ES612,5667,DIV,11.966,A
2015,ES613,5669,DIV,1621.987,A
2015,ES613,5664,DIV,1617.5185,A
2015,ES613,5668,DIV,4.4685,A
2015,ES613,5666,DIV,1.4895,A
2015,ES613,5667,DIV,2.979,A
2015,ES614,5669,DIV,1864.9266,A
2015,ES614,5664,DIV,1854.6126,A
2015,ES614,5668,DIV,10.314,A
2015,ES614,5666,DIV,1.719,A
2015,ES614,5667,DIV,8.595,A
2015,ES615,5669,DIV,1022.9657,A
2015,ES615,5664,DIV,1011.7548,A
2015,ES615,5668,DIV,11.2109,A
2015,ES615,5666,DIV,6.7532,A
2015,ES615,5667,DIV,4.4577,A
2015,ES616,5669,DIV,1197.5493,A
2015,ES616,5664,DIV,1192.992,A
2015,ES616,5668,DIV,4.5573,A
2015,ES616,5666,DIV,3.0382,A
2015,ES616,5667,DIV,1.5191,A
2015,ES617,5669,DIV,3560.4711,A
2015,ES617,5664,DIV,3522.1752,A
2015,ES617,5668,DIV,38.2959,A
2015,ES617,5666,DIV,18.042,A
2015,ES617,5667,DIV,20.2539,A
2015,ES618,5669,DIV,4007.618,A
2015,ES618,5664,DIV,3986.8162,A
2015,ES618,5668,DIV,20.8018,A
2015,ES618,5666,DIV,11.2832,A
2015,ES618,5667,DIV,9.5186,A
2014,ES61,5669,DIV,17376.98787,A
2014,ES61,5664,DIV,17266.97361,A
2014,ES61,5668,DIV,110.01426,A
2014,ES61,5666,DIV,67.64096,A
2014,ES61,5667,DIV,42.3733,A
2014,ES611,5669,DIV,1315.503,A
2014,ES611,5664,DIV,1308.438,A
2014,ES611,5668,DIV,7.065,A
2014,ES611,5666,DIV,2.826,A
2014,ES611,5667,DIV,4.239,A
2014,ES612,5669,DIV,2485.68082,A
2014,ES612,5664,DIV,2470.65252,A
2014,ES612,5668,DIV,15.0283,A
2014,ES612,5666,DIV,7.51415,A
2014,ES612,5667,DIV,7.51415,A
2014,ES613,5669,DIV,1712.10316,A
2014,ES613,5664,DIV,1705.44128,A
2014,ES613,5668,DIV,6.66188,A
2014,ES613,5666,DIV,3.33094,A
2014,ES613,5667,DIV,3.33094,A
2014,ES614,5669,DIV,1848.68385,A
2014,ES614,5664,DIV,1831.9743,A
2014,ES614,5668,DIV,16.70955,A
2014,ES614,5666,DIV,13.67145,A
2014,ES614,5667,DIV,3.0381,A
2014,ES615,5669,DIV,1140.17566,A
2014,ES615,5664,DIV,1133.10261,A
2014,ES615,5668,DIV,7.07305,A
2014,ES615,5666,DIV,4.24383,A
2014,ES615,5667,DIV,2.82922,A
2014,ES616,5669,DIV,1180.1112,A
2014,ES616,5664,DIV,1178.6434,A
2014,ES616,5668,DIV,1.4678,A
2014,ES616,5667,DIV,1.4678,A
2014,ES617,5669,DIV,3567.8708,A
2014,ES617,5664,DIV,3545.3301,A
2014,ES617,5668,DIV,22.5407,A
2014,ES617,5666,DIV,19.3206,A
2014,ES617,5667,DIV,3.2201,A
2014,ES618,5669,DIV,4126.85938,A
2014,ES618,5664,DIV,4093.3914,A
2014,ES618,5668,DIV,33.46798,A
2014,ES618,5666,DIV,16.73399,A
2014,ES618,5667,DIV,16.73399,A
2013,ES61,5669,DIV,16473.17478,A
2013,ES61,5664,DIV,16408.28227,A
2013,ES61,5668,DIV,64.89251,A
2013,ES61,5666,DIV,32.43898,A
2013,ES61,5667,DIV,32.45353,A
2013,ES611,5669,DIV,1267.4696,A
2013,ES611,5664,DIV,1262.5442,A
2013,ES611,5668,DIV,4.9254,A
2013,ES611,5666,DIV,3.2836,A
2013,ES611,5667,DIV,1.6418,A
2013,ES612,5669,DIV,2358.7305,A
2013,ES612,5664,DIV,2348.47515,A
2013,ES612,5668,DIV,10.25535,A
2013,ES612,5666,DIV,5.8602,A
2013,ES612,5667,DIV,4.39515,A
2013,ES613,5669,DIV,1452.76866,A
2013,ES613,5664,DIV,1448.69928,A
2013,ES613,5668,DIV,4.06938,A
2013,ES613,5666,DIV,2.71292,A
2013,ES613,5667,DIV,1.35646,A
2013,ES614,5669,DIV,1822.15704,A
2013,ES614,5664,DIV,1813.9737,A
2013,ES614,5668,DIV,8.18334,A
2013,ES614,5666,DIV,5.45556,A
2013,ES614,5667,DIV,2.72778,A
2013,ES615,5669,DIV,995.33511,A
2013,ES615,5664,DIV,991.0263,A
2013,ES615,5668,DIV,4.30881,A
2013,ES615,5666,DIV,1.43627,A
2013,ES615,5667,DIV,2.87254,A
2013,ES616,5669,DIV,1155.71547,A
2013,ES616,5664,DIV,1154.30434,A
2013,ES616,5668,DIV,1.41113,A
2013,ES616,5666,DIV,1.41113,A
2013,ES617,5669,DIV,3581.6334,A
2013,ES617,5664,DIV,3565.8363,A
2013,ES617,5668,DIV,15.7971,A
2013,ES617,5666,DIV,4.3083,A
2013,ES617,5667,DIV,11.4888,A
2013,ES618,5669,DIV,3839.365,A
2013,ES618,5664,DIV,3823.423,A
2013,ES618,5668,DIV,15.942,A
2013,ES618,5666,DIV,7.971,A
2013,ES618,5667,DIV,7.971,A
2012,ES61,5669,DIV,19100.05171,A
2012,ES61,5664,DIV,19044.05171,A
2012,ES61,5668,DIV,56.0,A
2012,ES61,5666,DIV,40.0,A
2012,ES61,5667,DIV,16.0,A
2012,ES611,5669,DIV,1673.28115,A
2012,ES611,5664,DIV,1670.28115,A
2012,ES611,5668,DIV,3.0,A
2012,ES611,5666,DIV,2.0,A
2012,ES611,5667,DIV,1.0,A
2012,ES612,5669,DIV,2751.43454,A
2012,ES612,5664,DIV,2745.43454,A
2012,ES612,5668,DIV,6.0,A
2012,ES612,5666,DIV,6.0,A
2012,ES613,5669,DIV,1519.27045,A
2012,ES613,5664,DIV,1515.27045,A
2012,ES613,5668,DIV,4.0,A
2012,ES613,5666,DIV,4.0,A
2012,ES614,5669,DIV,2194.10578,A
2012,ES614,5664,DIV,2188.10578,A
2012,ES614,5668,DIV,6.0,A
2012,ES614,5666,DIV,4.0,A
2012,ES614,5667,DIV,2.0,A
2012,ES615,5669,DIV,1090.26737,A
2012,ES615,5664,DIV,1090.26737,A
2012,ES616,5669,DIV,1282.34085,A
2012,ES616,5664,DIV,1281.34085,A
2012,ES616,5668,DIV,1.0,A
2012,ES616,5666,DIV,1.0,A
2012,ES617,5669,DIV,4090.46015,A
2012,ES617,5664,DIV,4069.46015,A
2012,ES617,5668,DIV,21.0,A
2012,ES617,5666,DIV,14.0,A
2012,ES617,5667,DIV,7.0,A
2012,ES618,5669,DIV,4498.89142,A
2012,ES618,5664,DIV,4483.89142,A
2012,ES618,5668,DIV,15.0,A
2012,ES618,5666,DIV,9.0,A
2012,ES618,5667,DIV,6.0,A
2011,ES61,5669,DIV,18257.58564089,A
2011,ES61,5664,DIV,18210.58564089,A
2011,ES61,5668,DIV,47.0,A
2011,ES61,5666,DIV,25.0,A
2011,ES61,5667,DIV,22.0,A
2011,ES611,5669,DIV,1426.82187464,A
2011,ES611,5664,DIV,1426.82187464,A
2011,ES612,5669,DIV,2822.48660103,A
2011,ES612,5664,DIV,2816.48660103,A
2011,ES612,5668,DIV,6.0,A
2011,ES612,5666,DIV,3.0,A
2011,ES612,5667,DIV,3.0,A
2011,ES613,5669,DIV,1607.8291226,A
2011,ES613,5664,DIV,1604.8291226,A
2011,ES613,5668,DIV,3.0,A
2011,ES613,5666,DIV,1.0,A
2011,ES613,5667,DIV,2.0,A
2011,ES614,5669,DIV,2058.63585768,A
2011,ES614,5664,DIV,2057.63585768,A
2011,ES614,5668,DIV,1.0,A
2011,ES614,5666,DIV,1.0,A
2011,ES615,5669,DIV,976.40048302,A
2011,ES615,5664,DIV,972.40048302,A
2011,ES615,5668,DIV,4.0,A
2011,ES615,5666,DIV,3.0,A
2011,ES615,5667,DIV,1.0,A
2011,ES616,5669,DIV,1223.16206129,A
2011,ES616,5664,DIV,1220.16206129,A
2011,ES616,5668,DIV,3.0,A
2011,ES616,5666,DIV,2.0,A
2011,ES616,5667,DIV,1.0,A
2011,ES617,5669,DIV,3827.02436747,A
2011,ES617,5664,DIV,3813.02436747,A
2011,ES617,5668,DIV,14.0,A
2011,ES617,5666,DIV,9.0,A
2011,ES617,5667,DIV,5.0,A
2011,ES618,5669,DIV,4315.22527316,A
2011,ES618,5664,DIV,4299.22527316,A
2011,ES618,5668,DIV,16.0,A
2011,ES618,5666,DIV,6.0,A
2011,ES618,5667,DIV,10.0,A
2010,ES61,5669,DIV,18373.44232079,A
2010,ES61,5664,DIV,18337.44232079,A
2010,ES61,5668,DIV,36.0,A
2010,ES61,5666,DIV,18.0,A
2010,ES61,5667,DIV,18.0,A
2010,ES611,5669,DIV,1362.40772485,A
2010,ES611,5664,DIV,1356.40772485,A
2010,ES611,5668,DIV,6.0,A
2010,ES611,5666,DIV,3.0,A
2010,ES611,5667,DIV,3.0,A
2010,ES612,5669,DIV,2718.61775842,A
2010,ES612,5664,DIV,2714.61775842,A
2010,ES612,5668,DIV,4.0,A
2010,ES612,5666,DIV,2.0,A
2010,ES612,5667,DIV,2.0,A
2010,ES613,5669,DIV,1659.02026916,A
2010,ES613,5664,DIV,1654.02026916,A
2010,ES613,5668,DIV,5.0,A
2010,ES613,5666,DIV,3.0,A
2010,ES613,5667,DIV,2.0,A
2010,ES614,5669,DIV,2005.38373943,A
2010,ES614,5664,DIV,2005.38373943,A
2010,ES615,5669,DIV,992.51673019,A
2010,ES615,5664,DIV,991.51673019,A
2010,ES615,5668,DIV,1.0,A
2010,ES615,5666,DIV,1.0,A
2010,ES616,5669,DIV,1193.6878551,A
2010,ES616,5664,DIV,1190.6878551,A
2010,ES616,5668,DIV,3.0,A
2010,ES616,5667,DIV,3.0,A
2010,ES617,5669,DIV,3876.9745934,A
2010,ES617,5664,DIV,3870.9745934,A
2010,ES617,5668,DIV,6.0,A
2010,ES617,5666,DIV,3.0,A
2010,ES617,5667,DIV,3.0,A
2010,ES618,5669,DIV,4564.83365024,A
2010,ES618,5664,DIV,4553.83365024,A
2010,ES618,5668,DIV,11.0,A
2010,ES618,5666,DIV,6.0,A
2010,ES618,5667,DIV,5.0,A
2009,ES61,5669,DIV,17493.840001105,A
2009,ES61,5664,DIV,17474.840001105,A
2009,ES61,5668,DIV,19.0,A
2009,ES61,5666,DIV,10.0,A
2009,ES61,5667,DIV,9.0,A
2009,ES611,5669,DIV,1275.959999958,A
2009,ES611,5664,DIV,1275.959999958,A
2009,ES612,5669,DIV,2773.590000972,A
2009,ES612,5664,DIV,2767.590000972,A
2009,ES612,5668,DIV,6.0,A
2009,ES612,5666,DIV,2.0,A
2009,ES612,5667,DIV,4.0,A
2009,ES613,5669,DIV,1537.74000012,A
2009,ES613,5664,DIV,1537.74000012,A
2009,ES614,5669,DIV,1967.070000359,A
2009,ES614,5664,DIV,1967.070000359,A
2009,ES615,5669,DIV,1012.380000091,A
2009,ES615,5664,DIV,1012.380000091,A
2009,ES616,5669,DIV,1122.459999905,A
2009,ES616,5664,DIV,1121.459999905,A
2009,ES616,5668,DIV,1.0,A
2009,ES616,5666,DIV,1.0,A
2009,ES617,5669,DIV,3607.690000055,A
2009,ES617,5664,DIV,3602.690000055,A
2009,ES617,5668,DIV,5.0,A
2009,ES617,5666,DIV,3.0,A
2009,ES617,5667,DIV,2.0,A
2009,ES618,5669,DIV,4196.949999645,A
2009,ES618,5664,DIV,4189.949999645,A
2009,ES618,5668,DIV,7.0,A
2009,ES618,5666,DIV,4.0,A
2009,ES618,5667,DIV,3.0,A
2008,ES61,5669,DIV,19784.701197956,A
2008,ES61,5664,DIV,19772.701197956,A
2008,ES61,5668,DIV,12.0,A
2008,ES61,5666,DIV,4.0,A
2008,ES61,5667,DIV,8.0,A
2008,ES611,5669,DIV,1459.899390218,A
2008,ES611,5664,DIV,1459.899390218,A
2008,ES612,5669,DIV,3029.88628849,A
2008,ES612,5664,DIV,3025.88628849,A
2008,ES612,5668,DIV,4.0,A
2008,ES612,5666,DIV,2.0,A
2008,ES612,5667,DIV,2.0,A
2008,ES613,5669,DIV,1595.530376772,A
2008,ES613,5664,DIV,1595.530376772,A
2008,ES614,5669,DIV,2172.357568834,A
2008,ES614,5664,DIV,2172.357568834,A
2008,ES615,5669,DIV,1165.944181717,A
