ESTADO_CIVIL;TIME_PERIOD;CERTIFIC_DISCAPAC;REF_AREA;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;NIVEL_ESTUDIOS_TER;RELACTIVIDAD;SITUAC_PROFES;PERCEP_PRES_INVAL;SITUACION_DEPEND;COMP_HOG_ACTIVIDAD;AMBITO_ESTUD_HOG;PRESENC_DISCAPAC
DIV_DISREP;2014;5732;ES61;POP;311836.29325;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2014;5733;ES61;POP;35178.94886;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2020;5732;ES61;POP;5186332.37613;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2020;5733;ES61;POP;380104.37389;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2019;5732;ES61;POP;5158340.82145;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2019;5733;ES61;POP;383540.92910999997;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2018;5732;ES61;POP;5133221.42824;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2018;5733;ES61;POP;384213.07175;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2017;5732;ES61;POP;5143195.08601;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2017;5733;ES61;POP;372652.16483;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2016;5732;ES61;POP;5155560.69442;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2016;5733;ES61;POP;371284.55678;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
