TEMPORAL;SEXO;EDAD;CNED2014;NIVEL;RELACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2015;M;Y15-29;61285;46593;48939;ES61;TASA_DE_PARO;100.0;M
2015;M;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;55.496414540589036;M
2015;M;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;58.63515635733645;M
2015;M;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;49.32128150046032;M
2015;M;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;52.187474111768864;M
2015;M;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;55.08221470963972;M
2015;M;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;29.270483066468017;M
2015;M;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;45.22058259217492;M
2015;M;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;37.49205169344704;M
2015;M;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;29.09147565675812;M
2015;M;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;24.3926431186863;M
2015;M;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;32.83791644815554;M
2015;M;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;16.88039479150175;M
2015;M;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;39.57931663113256;M
2015;M;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;30.491328135703927;M
2015;M;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;21.98946403587768;M
2015;M;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;11.443982369304015;M
2015;M;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;23.193994554348755;M
2015;M;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;37.51994779437081;M
2015;M;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;43.699354713680414;M
2015;M;Y45-64;61291;46593;48939;ES61;TASA_DE_PARO;31.740594823715686;M
2015;M;Y45-64;61311;46593;48939;ES61;TASA_DE_PARO;21.093913676591004;M
2015;M;Y45-64;61332;46593;48939;ES61;TASA_DE_PARO;11.779404895295572;M
2015;M;Y45-64;61283;46593;48939;ES61;TASA_DE_PARO;26.5874995641913;M
2015;M;Y65-100;61285;46593;48939;ES61;TASA_DE_PARO;52.818499196322435;M
2015;M;Y65-100;61288;46593;48939;ES61;TASA_DE_PARO;37.95112845051498;M
2015;M;Y65-100;61291;46593;48939;ES61;TASA_DE_PARO;30.19915403927888;M
2015;M;Y65-100;61311;46593;48939;ES61;TASA_DE_PARO;15.068661872930036;M
2015;M;Y65-100;61332;46593;48939;ES61;TASA_DE_PARO;12.524369570427545;M
2015;M;Y65-100;61283;46593;48939;ES61;TASA_DE_PARO;26.14723537133539;M
2015;M;TOTAL;61285;46593;48939;ES61;TASA_DE_PARO;37.67378267033229;M
2015;M;TOTAL;61288;46593;48939;ES61;TASA_DE_PARO;42.4085115863052;M
2015;M;TOTAL;61291;46593;48939;ES61;TASA_DE_PARO;35.17133861081001;M
2015;M;TOTAL;61311;46593;48939;ES61;TASA_DE_PARO;25.280974554138037;M
2015;M;TOTAL;61332;46593;48939;ES61;TASA_DE_PARO;16.121345107605997;M
2015;M;TOTAL;61283;46593;48939;ES61;TASA_DE_PARO;29.084845994669422;M
2015;F;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;68.05349281334807;M
2015;F;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;65.12244203575142;M
2015;F;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;53.410960344716564;M
2015;F;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;53.161886862149764;M
2015;F;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;58.860443481431204;M
2015;F;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;71.44425580729362;M
2015;F;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;53.74155062964788;M
2015;F;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;43.305513881407535;M
2015;F;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;30.227907486340673;M
2015;F;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;27.737375335076447;M
2015;F;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;34.286318822421;M
2015;F;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;81.594108520407;M
2015;F;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;43.09631765681207;M
2015;F;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;42.09779523468324;M
2015;F;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;36.89002611238018;M
2015;F;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;22.457242145536966;M
2015;F;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;32.97615276428728;M
2015;F;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;71.52523695682372;M
2015;F;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;54.67468149876928;M
2015;F;Y45-64;61291;46593;48939;ES61;TASA_DE_PARO;41.11722139997775;M
2015;F;Y45-64;61311;46593;48939;ES61;TASA_DE_PARO;27.10933189686594;M
2015;F;Y45-64;61332;46593;48939;ES61;TASA_DE_PARO;14.977807127983326;M
2015;F;Y45-64;61283;46593;48939;ES61;TASA_DE_PARO;32.55778417858275;M
2015;F;Y65-100;61285;46593;48939;ES61;TASA_DE_PARO;77.78669700955902;M
2015;F;Y65-100;61288;46593;48939;ES61;TASA_DE_PARO;40.208618191827995;M
2015;F;Y65-100;61291;46593;48939;ES61;TASA_DE_PARO;33.61323050325946;M
2015;F;Y65-100;61311;46593;48939;ES61;TASA_DE_PARO;17.342935364462562;M
2015;F;Y65-100;61332;46593;48939;ES61;TASA_DE_PARO;7.873557322220597;M
2015;F;Y65-100;61283;46593;48939;ES61;TASA_DE_PARO;26.463561749678522;M
2015;F;TOTAL;61285;46593;48939;ES61;TASA_DE_PARO;75.95781333518258;M
2015;F;TOTAL;61288;46593;48939;ES61;TASA_DE_PARO;48.993842664667575;M
2015;F;TOTAL;61291;46593;48939;ES61;TASA_DE_PARO;43.3979710568621;M
2015;F;TOTAL;61311;46593;48939;ES61;TASA_DE_PARO;32.76540416867839;M
2015;F;TOTAL;61332;46593;48939;ES61;TASA_DE_PARO;22.66067980640082;M
2015;F;TOTAL;61283;46593;48939;ES61;TASA_DE_PARO;34.493205279673155;M
2015;_T;Y15-29;61285;46593;48939;ES61;TASA_DE_PARO;100.0;M
2015;_T;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;59.895341552620486;M
2015;_T;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;61.19347476847441;M
2015;_T;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;51.496717629741795;M
2015;_T;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;52.78755494158174;M
2015;_T;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;56.84245289308107;M
2015;_T;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;62.25276823214967;M
2015;_T;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;47.847160095136275;M
2015;_T;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;39.75446249770124;M
2015;_T;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;29.686204184047387;M
2015;_T;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;26.316606825934553;M
