TEMPORAL;CNAE09;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2017;7715;_T;ES61;PARADOS;310.82498;M
2017;7716;M;ES61;PARADOS;57.85459;M
2017;7716;F;ES61;PARADOS;75.5007725;M
2017;7716;_T;ES61;PARADOS;133.3553625;M
2017;7889;M;ES61;PARADOS;12.504245;M
2017;7889;F;ES61;PARADOS;2.4387375;M
2017;7889;_T;ES61;PARADOS;14.9429825;M
2017;8032;M;ES61;PARADOS;17.3419225;M
2017;8032;F;ES61;PARADOS;19.7150925;M
2017;8032;_T;ES61;PARADOS;37.057015;M
2017;8256;M;ES61;PARADOS;35.2777825;M
2017;8256;F;ES61;PARADOS;49.2299825;M
2017;8256;_T;ES61;PARADOS;84.507765;M
2017;8346;M;ES61;PARADOS;15.98563;M
2017;8346;F;ES61;PARADOS;24.976225;M
2017;8346;_T;ES61;PARADOS;40.961855;M
2017;8456;M;ES61;PARADOS;185.1814275;M
2017;8456;F;ES61;PARADOS;222.99073;M
2017;8456;_T;ES61;PARADOS;408.1721575;M
2017;6950;M;ES61;PARADOS;44.807885;M
2017;6950;F;ES61;PARADOS;52.3141725;M
2017;6950;_T;ES61;PARADOS;97.1220575;M
2017;6949;M;ES61;PARADOS;499.1727375;M
2017;6949;F;ES61;PARADOS;510.51309;M
2017;6949;_T;ES61;PARADOS;1009.6858275;M
2018;6980;M;ES61;PARADOS;65.7498325;M
2018;6980;F;ES61;PARADOS;44.8802475;M
2018;6980;_T;ES61;PARADOS;110.63008;M
2018;7057;M;ES61;PARADOS;15.6690775;M
2018;7057;F;ES61;PARADOS;8.1545525;M
2018;7057;_T;ES61;PARADOS;23.82363;M
2018;7662;M;ES61;PARADOS;32.8711675;M
2018;7662;F;ES61;PARADOS;1.5864775;M
2018;7662;_T;ES61;PARADOS;34.457645;M
2018;7715;M;ES61;PARADOS;119.39987;M
2018;7715;F;ES61;PARADOS;165.4471775;M
2018;7715;_T;ES61;PARADOS;284.8470475;M
2018;7716;M;ES61;PARADOS;53.3066775;M
2018;7716;F;ES61;PARADOS;66.110625;M
2018;7716;_T;ES61;PARADOS;119.4173025;M
2018;7889;M;ES61;PARADOS;11.5004875;M
2018;7889;F;ES61;PARADOS;3.86735;M
2018;7889;_T;ES61;PARADOS;15.3678375;M
2018;8032;M;ES61;PARADOS;13.207005;M
2018;8032;F;ES61;PARADOS;16.4570725;M
2018;8032;_T;ES61;PARADOS;29.6640775;M
2018;8256;M;ES61;PARADOS;29.9004725;M
2018;8256;F;ES61;PARADOS;52.2960475;M
2018;8256;_T;ES61;PARADOS;82.19652;M
2018;8346;M;ES61;PARADOS;11.4852275;M
2018;8346;F;ES61;PARADOS;26.7160825;M
