TEMPORAL;SEXO;EDAD;RELACTIVIDAD;NIVEL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;_T;TOTAL;48936;46593;ES61;POP;2999.116195;M
2005;_T;TOTAL;48937;46593;ES61;POP;63.1830125;M
2005;_T;TOTAL;48939;46593;ES61;POP;481.1228775;M
2005;_T;TOTAL;48940;46593;ES61;POP;3480.2390725;M
2005;_T;TOTAL;48946;46593;ES61;POP;2886.15161;M
2006;M;Y15-29;48952;46593;ES61;POP;488.9720825;M
2006;M;Y15-29;48934;46593;ES61;POP;21.27444;M
2006;M;Y15-29;48936;46593;ES61;POP;236.28781;M
2006;M;Y15-29;48937;46593;ES61;POP;12.95454;M
2006;M;Y15-29;48939;46593;ES61;POP;48.406765;M
2006;M;Y15-29;48940;46593;ES61;POP;284.694575;M
2006;M;Y15-29;48946;46593;ES61;POP;204.2775075;M
2006;M;Y25-34;48952;46593;ES61;POP;690.9505525;M
2006;M;Y25-34;48934;46593;ES61;POP;39.73914;M
2006;M;Y25-34;48936;46593;ES61;POP;562.20987;M
2006;M;Y25-34;48937;46593;ES61;POP;4.2494575;M
2006;M;Y25-34;48939;46593;ES61;POP;62.3787575;M
2006;M;Y25-34;48940;46593;ES61;POP;624.5886275;M
2006;M;Y25-34;48946;46593;ES61;POP;66.361925;M
2006;M;Y30-44;48952;46593;ES61;POP;647.2616325;M
2006;M;Y30-44;48934;46593;ES61;POP;35.7752;M
2006;M;Y30-44;48936;46593;ES61;POP;554.881965;M
2006;M;Y30-44;48937;46593;ES61;POP;0.387275;M
2006;M;Y30-44;48939;46593;ES61;POP;42.19142;M
2006;M;Y30-44;48940;46593;ES61;POP;597.073385;M
2006;M;Y30-44;48946;46593;ES61;POP;50.1882475;M
2006;M;Y45-54;48952;46593;ES61;POP;498.80761;M
2006;M;Y45-54;48934;46593;ES61;POP;19.17975;M
2006;M;Y45-54;48936;46593;ES61;POP;402.7464725;M
2006;M;Y45-54;48937;46593;ES61;POP;0.099325;M
2006;M;Y45-54;48939;46593;ES61;POP;28.7274775;M
2006;M;Y45-54;48940;46593;ES61;POP;431.47395;M
2006;M;Y45-54;48946;46593;ES61;POP;67.33366;M
2006;M;Y45-64;48952;46593;ES61;POP;372.51071;M
2006;M;Y45-64;48934;46593;ES61;POP;3.81739;M
2006;M;Y45-64;48936;46593;ES61;POP;191.3494;M
2006;M;Y45-64;48939;46593;ES61;POP;18.274005;M
2006;M;Y45-64;48940;46593;ES61;POP;209.623405;M
2006;M;Y45-64;48946;46593;ES61;POP;162.887305;M
2006;M;Y65-100;48952;46593;ES61;POP;481.8612425;M
2006;M;Y65-100;48934;46593;ES61;POP;0.200605;M
2006;M;Y65-100;48936;46593;ES61;POP;11.0782325;M
2006;M;Y65-100;48939;46593;ES61;POP;0.1654725;M
2006;M;Y65-100;48940;46593;ES61;POP;11.243705;M
2006;M;Y65-100;48946;46593;ES61;POP;470.6175375;M
2006;M;TOTAL;48952;46593;ES61;POP;3180.36383;M
2006;M;TOTAL;48934;46593;ES61;POP;119.986525;M
2006;M;TOTAL;48936;46593;ES61;POP;1958.55375;M
2006;M;TOTAL;48937;46593;ES61;POP;17.6905975;M
2006;M;TOTAL;48939;46593;ES61;POP;200.1438975;M
2006;M;TOTAL;48940;46593;ES61;POP;2158.6976475;M
2006;M;TOTAL;48946;46593;ES61;POP;1021.6661825;M
2006;F;Y15-29;48952;46593;ES61;POP;464.27255;M
2006;F;Y15-29;48934;46593;ES61;POP;27.716615;M
2006;F;Y15-29;48936;46593;ES61;POP;155.1531225;M
2006;F;Y15-29;48937;46593;ES61;POP;20.5031675;M
2006;F;Y15-29;48939;46593;ES61;POP;59.892975;M
2006;F;Y15-29;48940;46593;ES61;POP;215.0460975;M
2006;F;Y15-29;48946;46593;ES61;POP;249.2264525;M
2006;F;Y25-34;48952;46593;ES61;POP;654.91267;M
2006;F;Y25-34;48934;46593;ES61;POP;46.0274875;M
2006;F;Y25-34;48936;46593;ES61;POP;387.5829575;M
2006;F;Y25-34;48937;46593;ES61;POP;10.0803125;M
2006;F;Y25-34;48939;46593;ES61;POP;87.500835;M
2006;F;Y25-34;48940;46593;ES61;POP;475.0837925;M
2006;F;Y25-34;48946;46593;ES61;POP;179.8288775;M
2006;F;Y30-44;48952;46593;ES61;POP;635.8911475;M
2006;F;Y30-44;48934;46593;ES61;POP;43.5084275;M
2006;F;Y30-44;48936;46593;ES61;POP;334.4996575;M
2006;F;Y30-44;48937;46593;ES61;POP;2.9125775;M
2006;F;Y30-44;48939;46593;ES61;POP;59.2946;M
2006;F;Y30-44;48940;46593;ES61;POP;393.7942575;M
2006;F;Y30-44;48946;46593;ES61;POP;242.09689;M
2006;F;Y45-54;48952;46593;ES61;POP;499.8708375;M
2006;F;Y45-54;48934;46593;ES61;POP;21.42284;M
2006;F;Y45-54;48936;46593;ES61;POP;220.53259;M
2006;F;Y45-54;48937;46593;ES61;POP;1.55482;M
2006;F;Y45-54;48939;46593;ES61;POP;34.1904625;M
2006;F;Y45-54;48940;46593;ES61;POP;254.7230525;M
2006;F;Y45-54;48946;46593;ES61;POP;245.147785;M
2006;F;Y45-64;48952;46593;ES61;POP;391.96977;M
2006;F;Y45-64;48934;46593;ES61;POP;5.3326825;M
2006;F;Y45-64;48936;46593;ES61;POP;78.008575;M
2006;F;Y45-64;48937;46593;ES61;POP;1.311635;M
2006;F;Y45-64;48939;46593;ES61;POP;11.8866975;M
2006;F;Y45-64;48940;46593;ES61;POP;89.8952725;M
2006;F;Y45-64;48946;46593;ES61;POP;302.0744975;M
2006;F;Y65-100;48952;46593;ES61;POP;645.0345825;M
2006;F;Y65-100;48934;46593;ES61;POP;0.8636675;M
2006;F;Y65-100;48936;46593;ES61;POP;4.17141;M
2006;F;Y65-100;48939;46593;ES61;POP;0.446575;M
2006;F;Y65-100;48940;46593;ES61;POP;4.617985;M
2006;F;Y65-100;48946;46593;ES61;POP;640.4165975;M
2006;F;TOTAL;48952;46593;ES61;POP;3291.9515575;M
2006;F;TOTAL;48934;46593;ES61;POP;144.87172;M
2006;F;TOTAL;48936;46593;ES61;POP;1179.9483125;M
2006;F;TOTAL;48937;46593;ES61;POP;36.3625125;M
2006;F;TOTAL;48939;46593;ES61;POP;253.212145;M
2006;F;TOTAL;48940;46593;ES61;POP;1433.1604575;M
2006;F;TOTAL;48946;46593;ES61;POP;1858.7911;M
2006;_T;Y15-29;48952;46593;ES61;POP;953.2446325;M
2006;_T;Y15-29;48934;46593;ES61;POP;48.991055;M
2006;_T;Y15-29;48936;46593;ES61;POP;391.4409325;M
2006;_T;Y15-29;48937;46593;ES61;POP;33.4577075;M
2006;_T;Y15-29;48939;46593;ES61;POP;108.29974;M
