TEMPORAL;TERRITORIO;SEXO;EPA_RELACTIVIDAD;EPA_NIVEL;INDICATOR;OBS_VALUE;FREQ
2005;ES618;F;48934;46593;POP;34.933435;M
2005;ES618;F;48939;46593;POP;66.0694775;M
2005;ES618;F;48937;46593;POP;7.1304975;M
2005;ES618;F;48946;46593;POP;419.49449;M
2005;ES618;_T;48952;46593;POP;1464.9782175;M
2005;ES618;_T;48940;46593;POP;830.02748;M
2005;ES618;_T;48936;46593;POP;715.5632025;M
2005;ES618;_T;48934;46593;POP;70.03106;M
2005;ES618;_T;48939;46593;POP;114.4642775;M
2005;ES618;_T;48937;46593;POP;13.2607525;M
2005;ES618;_T;48946;46593;POP;634.9507375;M
2005;ES61;M;48952;46593;POP;3125.9825225;M
2005;ES61;M;48940;46593;POP;2114.9653175;M
2005;ES61;M;48936;46593;POP;1895.4381975;M
2005;ES61;M;48934;46593;POP;128.7149725;M
2005;ES61;M;48939;46593;POP;219.52712;M
2005;ES61;M;48937;46593;POP;24.6990175;M
2005;ES61;M;48946;46593;POP;1011.017205;M
2005;ES61;F;48952;46593;POP;3240.40816;M
2005;ES61;F;48940;46593;POP;1365.273755;M
2005;ES61;F;48936;46593;POP;1103.6779975;M
2005;ES61;F;48934;46593;POP;136.53108;M
2005;ES61;F;48939;46593;POP;261.5957575;M
2005;ES61;F;48937;46593;POP;38.483995;M
2005;ES61;F;48946;46593;POP;1875.134405;M
2005;ES61;_T;48952;46593;POP;6366.3906825;M
2005;ES61;_T;48940;46593;POP;3480.2390725;M
2005;ES61;_T;48936;46593;POP;2999.116195;M
2005;ES61;_T;48934;46593;POP;265.2460525;M
2005;ES61;_T;48939;46593;POP;481.1228775;M
2005;ES61;_T;48937;46593;POP;63.1830125;M
2005;ES61;_T;48946;46593;POP;2886.15161;M
2006;ES611;M;48952;46593;POP;266.4322425;M
2006;ES611;M;48940;46593;POP;200.0540125;M
2006;ES611;M;48936;46593;POP;185.5268075;M
2006;ES611;M;48934;46593;POP;10.58332;M
2006;ES611;M;48939;46593;POP;14.527205;M
2006;ES611;M;48937;46593;POP;1.019145;M
2006;ES611;M;48946;46593;POP;66.37823;M
2006;ES611;F;48952;46593;POP;250.081745;M
2006;ES611;F;48940;46593;POP;133.44317;M
2006;ES611;F;48936;46593;POP;117.073355;M
2006;ES611;F;48934;46593;POP;13.17017;M
2006;ES611;F;48939;46593;POP;16.369815;M
2006;ES611;F;48937;46593;POP;1.7161175;M
2006;ES611;F;48946;46593;POP;116.638575;M
2006;ES611;_T;48952;46593;POP;516.5139875;M
2006;ES611;_T;48940;46593;POP;333.4971825;M
2006;ES611;_T;48936;46593;POP;302.6001625;M
2006;ES611;_T;48934;46593;POP;23.75349;M
2006;ES611;_T;48939;46593;POP;30.89702;M
2006;ES611;_T;48937;46593;POP;2.7352625;M
2006;ES611;_T;48946;46593;POP;183.016805;M
2006;ES612;M;48952;46593;POP;473.15983;M
2006;ES612;M;48940;46593;POP;321.190415;M
2006;ES612;M;48936;46593;POP;282.2723125;M
2006;ES612;M;48934;46593;POP;17.8928925;M
2006;ES612;M;48939;46593;POP;38.9181025;M
2006;ES612;M;48937;46593;POP;4.68916;M
2006;ES612;M;48946;46593;POP;151.969415;M
2006;ES612;F;48952;46593;POP;488.1151975;M
2006;ES612;F;48940;46593;POP;201.78307;M
2006;ES612;F;48936;46593;POP;160.3821925;M
2006;ES612;F;48934;46593;POP;23.0489625;M
2006;ES612;F;48939;46593;POP;41.4008775;M
2006;ES612;F;48937;46593;POP;6.8885025;M
2006;ES612;F;48946;46593;POP;286.3321275;M
2006;ES612;_T;48952;46593;POP;961.2750275;M
2006;ES612;_T;48940;46593;POP;522.973485;M
2006;ES612;_T;48936;46593;POP;442.654505;M
2006;ES612;_T;48934;46593;POP;40.941855;M
2006;ES612;_T;48939;46593;POP;80.31898;M
2006;ES612;_T;48937;46593;POP;11.5776625;M
2006;ES612;_T;48946;46593;POP;438.3015425;M
2006;ES613;M;48952;46593;POP;311.0862675;M
2006;ES613;M;48940;46593;POP;205.105535;M
2006;ES613;M;48936;46593;POP;186.0562725;M
2006;ES613;M;48934;46593;POP;11.27849;M
2006;ES613;M;48939;46593;POP;19.0492625;M
2006;ES613;M;48937;46593;POP;1.54418;M
2006;ES613;M;48946;46593;POP;105.9807325;M
2006;ES613;F;48952;46593;POP;329.509515;M
2006;ES613;F;48940;46593;POP;139.40203;M
2006;ES613;F;48936;46593;POP;108.5440375;M
2006;ES613;F;48934;46593;POP;12.7325075;M
2006;ES613;F;48939;46593;POP;30.8579925;M
2006;ES613;F;48937;46593;POP;3.8301875;M
2006;ES613;F;48946;46593;POP;190.107485;M
2006;ES613;_T;48952;46593;POP;640.5957825;M
2006;ES613;_T;48940;46593;POP;344.507565;M
2006;ES613;_T;48936;46593;POP;294.60031;M
2006;ES613;_T;48934;46593;POP;24.0109975;M
2006;ES613;_T;48939;46593;POP;49.907255;M
2006;ES613;_T;48937;46593;POP;5.3743675;M
2006;ES613;_T;48946;46593;POP;296.0882175;M
2006;ES614;M;48952;46593;POP;351.2555975;M
2006;ES614;M;48940;46593;POP;231.42781;M
2006;ES614;M;48936;46593;POP;213.7087975;M
2006;ES614;M;48934;46593;POP;10.577105;M
2006;ES614;M;48939;46593;POP;17.7190125;M
2006;ES614;M;48937;46593;POP;1.926205;M
2006;ES614;M;48946;46593;POP;119.8277875;M
2006;ES614;F;48952;46593;POP;366.91857;M
2006;ES614;F;48940;46593;POP;152.46561;M
2006;ES614;F;48936;46593;POP;128.002765;M
2006;ES614;F;48934;46593;POP;13.7932325;M
2006;ES614;F;48939;46593;POP;24.462845;M
2006;ES614;F;48937;46593;POP;3.889;M
2006;ES614;F;48946;46593;POP;214.45296;M
2006;ES614;_T;48952;46593;POP;718.1741675;M
2006;ES614;_T;48940;46593;POP;383.89342;M
2006;ES614;_T;48936;46593;POP;341.7115625;M
2006;ES614;_T;48934;46593;POP;24.3703375;M
2006;ES614;_T;48939;46593;POP;42.1818575;M
2006;ES614;_T;48937;46593;POP;5.815205;M
2006;ES614;_T;48946;46593;POP;334.2807475;M
2006;ES615;M;48952;46593;POP;199.616405;M
2006;ES615;M;48940;46593;POP;131.3260625;M
