TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2014;6203;M;ES61;ASALARIADOS;146.96223;M
2014;6203;F;ES61;ASALARIADOS;197.7502225;M
2014;6203;_T;ES61;ASALARIADOS;344.7124525;M
2014;6333;M;ES61;ASALARIADOS;120.816465;M
2014;6333;F;ES61;ASALARIADOS;74.245805;M
2014;6333;_T;ES61;ASALARIADOS;195.06227;M
2014;6375;M;ES61;ASALARIADOS;85.513935;M
2014;6375;F;ES61;ASALARIADOS;126.400285;M
2014;6375;_T;ES61;ASALARIADOS;211.91422;M
2014;6463;M;ES61;ASALARIADOS;232.56257;M
2014;6463;F;ES61;ASALARIADOS;298.2186025;M
2014;6463;_T;ES61;ASALARIADOS;530.7811725;M
2014;6489;M;ES61;ASALARIADOS;28.94934;M
2014;6489;F;ES61;ASALARIADOS;2.9986175;M
2014;6489;_T;ES61;ASALARIADOS;31.9479575;M
2014;6601;M;ES61;ASALARIADOS;181.2470625;M
2014;6601;F;ES61;ASALARIADOS;22.9997275;M
2014;6601;_T;ES61;ASALARIADOS;204.24679;M
2014;6667;M;ES61;ASALARIADOS;125.3377725;M
2014;6667;F;ES61;ASALARIADOS;9.4697375;M
2014;6667;_T;ES61;ASALARIADOS;134.80751;M
2014;6726;M;ES61;ASALARIADOS;181.6868125;M
2014;6726;F;ES61;ASALARIADOS;241.0867475;M
2014;6726;_T;ES61;ASALARIADOS;422.77356;M
2014;5989;M;ES61;ASALARIADOS;17.9842475;M
2014;5989;F;ES61;ASALARIADOS;3.8721825;M
2014;5989;_T;ES61;ASALARIADOS;21.85643;M
2014;6727;M;ES61;ASALARIADOS;1149.8292325;M
2014;6727;F;ES61;ASALARIADOS;986.9062475;M
2014;6727;_T;ES61;ASALARIADOS;2136.73548;M
2015;6038;M;ES61;ASALARIADOS;27.703025;M
2015;6038;F;ES61;ASALARIADOS;13.5419075;M
2015;6038;_T;ES61;ASALARIADOS;41.2449325;M
2015;6203;M;ES61;ASALARIADOS;145.38447;M
2015;6203;F;ES61;ASALARIADOS;209.3777675;M
2015;6203;_T;ES61;ASALARIADOS;354.7622375;M
2015;6333;M;ES61;ASALARIADOS;139.175075;M
2015;6333;F;ES61;ASALARIADOS;74.633905;M
2015;6333;_T;ES61;ASALARIADOS;213.80898;M
2015;6375;M;ES61;ASALARIADOS;90.78036;M
2015;6375;F;ES61;ASALARIADOS;141.162825;M
2015;6375;_T;ES61;ASALARIADOS;231.943185;M
2015;6463;M;ES61;ASALARIADOS;247.7717075;M
2015;6463;F;ES61;ASALARIADOS;310.973565;M
2015;6463;_T;ES61;ASALARIADOS;558.7452725;M
2015;6489;M;ES61;ASALARIADOS;27.6148225;M
2015;6489;F;ES61;ASALARIADOS;2.704;M
2015;6489;_T;ES61;ASALARIADOS;30.3188225;M
