TEMPORAL;SEXO;EDAD;CLASEINACTIV;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;M;TOTAL;47514;ES61;INACTIVOS;44.5508525;M
2006;M;TOTAL;47520;ES61;INACTIVOS;54.8094925;M
2006;M;TOTAL;47522;ES61;INACTIVOS;18.094185;M
2006;M;TOTAL;47523;ES61;INACTIVOS;1021.6661825;M
2006;F;Y15-29;47511;ES61;INACTIVOS;208.23729;M
2006;F;Y15-29;47517;ES61;INACTIVOS;30.764305;M
2006;F;Y15-29;47513;ES61;INACTIVOS;1.8195825;M
2006;F;Y15-29;47514;ES61;INACTIVOS;2.7889425;M
2006;F;Y15-29;47520;ES61;INACTIVOS;3.49865;M
2006;F;Y15-29;47522;ES61;INACTIVOS;2.1176825;M
2006;F;Y15-29;47523;ES61;INACTIVOS;249.2264525;M
2006;F;Y30-44;47511;ES61;INACTIVOS;37.7908175;M
2006;F;Y30-44;47512;ES61;INACTIVOS;0.9045575;M
2006;F;Y30-44;47517;ES61;INACTIVOS;341.6082925;M
2006;F;Y30-44;47513;ES61;INACTIVOS;18.2291525;M
2006;F;Y30-44;47514;ES61;INACTIVOS;14.554045;M
2006;F;Y30-44;47520;ES61;INACTIVOS;5.7200025;M
2006;F;Y30-44;47522;ES61;INACTIVOS;3.1189;M
2006;F;Y30-44;47523;ES61;INACTIVOS;421.9257675;M
2006;F;Y45-64;47511;ES61;INACTIVOS;13.30253;M
2006;F;Y45-64;47512;ES61;INACTIVOS;24.862505;M
2006;F;Y45-64;47517;ES61;INACTIVOS;386.97969;M
2006;F;Y45-64;47513;ES61;INACTIVOS;50.744075;M
2006;F;Y45-64;47514;ES61;INACTIVOS;67.67951;M
2006;F;Y45-64;47520;ES61;INACTIVOS;3.0105825;M
2006;F;Y45-64;47522;ES61;INACTIVOS;0.64339;M
2006;F;Y45-64;47523;ES61;INACTIVOS;547.2222825;M
2006;F;Y65-100;47511;ES61;INACTIVOS;8.01231;M
2006;F;Y65-100;47512;ES61;INACTIVOS;184.1397575;M
2006;F;Y65-100;47517;ES61;INACTIVOS;147.8698;M
2006;F;Y65-100;47513;ES61;INACTIVOS;56.1130425;M
2006;F;Y65-100;47514;ES61;INACTIVOS;238.88591;M
2006;F;Y65-100;47520;ES61;INACTIVOS;4.8402625;M
2006;F;Y65-100;47522;ES61;INACTIVOS;0.555515;M
2006;F;Y65-100;47523;ES61;INACTIVOS;640.4165975;M
2006;F;TOTAL;47511;ES61;INACTIVOS;267.3429475;M
2006;F;TOTAL;47512;ES61;INACTIVOS;209.90682;M
2006;F;TOTAL;47517;ES61;INACTIVOS;907.2220875;M
2006;F;TOTAL;47513;ES61;INACTIVOS;126.9058525;M
2006;F;TOTAL;47514;ES61;INACTIVOS;323.9084075;M
2006;F;TOTAL;47520;ES61;INACTIVOS;17.0694975;M
2006;F;TOTAL;47522;ES61;INACTIVOS;6.4354875;M
2006;F;TOTAL;47523;ES61;INACTIVOS;1858.7911;M
2006;_T;Y15-29;47511;ES61;INACTIVOS;384.732645;M
2006;_T;Y15-29;47512;ES61;INACTIVOS;0.1373075;M
2006;_T;Y15-29;47517;ES61;INACTIVOS;35.037615;M
2006;_T;Y15-29;47513;ES61;INACTIVOS;5.8719225;M
2006;_T;Y15-29;47514;ES61;INACTIVOS;4.55454;M
2006;_T;Y15-29;47520;ES61;INACTIVOS;16.9892575;M
2006;_T;Y15-29;47522;ES61;INACTIVOS;6.1806725;M
2006;_T;Y15-29;47523;ES61;INACTIVOS;453.50396;M
2006;_T;Y30-44;47511;ES61;INACTIVOS;67.241855;M
2006;_T;Y30-44;47512;ES61;INACTIVOS;3.3419875;M
2006;_T;Y30-44;47517;ES61;INACTIVOS;361.207675;M
2006;_T;Y30-44;47513;ES61;INACTIVOS;45.6811325;M
2006;_T;Y30-44;47514;ES61;INACTIVOS;24.6877525;M
2006;_T;Y30-44;47520;ES61;INACTIVOS;25.7357075;M
2006;_T;Y30-44;47522;ES61;INACTIVOS;10.57983;M
2006;_T;Y30-44;47523;ES61;INACTIVOS;538.47594;M
2006;_T;Y45-64;47511;ES61;INACTIVOS;14.5932225;M
2006;_T;Y45-64;47512;ES61;INACTIVOS;116.4468025;M
2006;_T;Y45-64;47517;ES61;INACTIVOS;413.6016325;M
2006;_T;Y45-64;47513;ES61;INACTIVOS;110.83079;M
2006;_T;Y45-64;47514;ES61;INACTIVOS;92.0175375;M
2006;_T;Y45-64;47520;ES61;INACTIVOS;22.85075;M
2006;_T;Y45-64;47522;ES61;INACTIVOS;7.1025125;M
2006;_T;Y45-64;47523;ES61;INACTIVOS;777.4432475;M
2006;_T;Y65-100;47511;ES61;INACTIVOS;8.58396;M
2006;_T;Y65-100;47512;ES61;INACTIVOS;634.31468;M
2006;_T;Y65-100;47517;ES61;INACTIVOS;150.109695;M
2006;_T;Y65-100;47513;ES61;INACTIVOS;63.8564375;M
2006;_T;Y65-100;47514;ES61;INACTIVOS;247.19943;M
2006;_T;Y65-100;47520;ES61;INACTIVOS;6.303275;M
2006;_T;Y65-100;47522;ES61;INACTIVOS;0.6666575;M
2006;_T;Y65-100;47523;ES61;INACTIVOS;1111.034135;M
2006;_T;TOTAL;47511;ES61;INACTIVOS;475.1516825;M
2006;_T;TOTAL;47512;ES61;INACTIVOS;754.2407775;M
2006;_T;TOTAL;47517;ES61;INACTIVOS;959.9566175;M
2006;_T;TOTAL;47513;ES61;INACTIVOS;226.2402825;M
2006;_T;TOTAL;47514;ES61;INACTIVOS;368.45926;M
2006;_T;TOTAL;47520;ES61;INACTIVOS;71.87899;M
2006;_T;TOTAL;47522;ES61;INACTIVOS;24.5296725;M
2006;_T;TOTAL;47523;ES61;INACTIVOS;2880.4572825;M
2007;M;Y15-29;47511;ES61;INACTIVOS;178.7856375;M
2007;M;Y15-29;47512;ES61;INACTIVOS;0.07452;M
2007;M;Y15-29;47517;ES61;INACTIVOS;7.51182;M
2007;M;Y15-29;47513;ES61;INACTIVOS;3.487315;M
2007;M;Y15-29;47514;ES61;INACTIVOS;1.2197575;M
2007;M;Y15-29;47520;ES61;INACTIVOS;10.8756725;M
2007;M;Y15-29;47522;ES61;INACTIVOS;4.1386975;M
2007;M;Y15-29;47523;ES61;INACTIVOS;206.09342;M
2007;M;Y30-44;47511;ES61;INACTIVOS;28.3719425;M
2007;M;Y30-44;47512;ES61;INACTIVOS;3.5328325;M
2007;M;Y30-44;47517;ES61;INACTIVOS;26.28425;M
2007;M;Y30-44;47513;ES61;INACTIVOS;26.5247875;M
2007;M;Y30-44;47514;ES61;INACTIVOS;9.20829;M
2007;M;Y30-44;47520;ES61;INACTIVOS;20.0785125;M
2007;M;Y30-44;47522;ES61;INACTIVOS;7.8201375;M
2007;M;Y30-44;47523;ES61;INACTIVOS;121.8207525;M
2007;M;Y45-64;47511;ES61;INACTIVOS;1.4309375;M
