TEMPORAL;SEXO;NACIONALIDAD;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;M;46925;Y45-64;ES61;ACTIVOS;667.4411775;M
2008;M;46925;Y65-100;ES61;ACTIVOS;10.9614775;M
2008;M;46925;TOTAL;ES61;ACTIVOS;2031.4655075;M
2008;M;46943;Y15-29;ES61;ACTIVOS;70.602995;M
2008;M;46943;Y30-44;ES61;ACTIVOS;108.2178025;M
2008;M;46943;Y45-64;ES61;ACTIVOS;32.863105;M
2008;M;46943;TOTAL;ES61;ACTIVOS;211.6839025;M
2008;M;46944;Y15-29;ES61;ACTIVOS;570.8152775;M
2008;M;46944;Y30-44;ES61;ACTIVOS;961.0683725;M
2008;M;46944;Y45-64;ES61;ACTIVOS;700.3042825;M
2008;M;46944;Y65-100;ES61;ACTIVOS;10.9614775;M
2008;M;46944;TOTAL;ES61;ACTIVOS;2243.14941;M
2008;F;46925;Y15-29;ES61;ACTIVOS;407.594365;M
2008;F;46925;Y30-44;ES61;ACTIVOS;628.258365;M
2008;F;46925;Y45-64;ES61;ACTIVOS;379.49322;M
2008;F;46925;Y65-100;ES61;ACTIVOS;7.7270925;M
2008;F;46925;TOTAL;ES61;ACTIVOS;1423.0730425;M
2008;F;46943;Y15-29;ES61;ACTIVOS;59.629985;M
2008;F;46943;Y30-44;ES61;ACTIVOS;87.508545;M
2008;F;46943;Y45-64;ES61;ACTIVOS;27.3894625;M
2008;F;46943;Y65-100;ES61;ACTIVOS;1.19718;M
2008;F;46943;TOTAL;ES61;ACTIVOS;175.7251725;M
2008;F;46944;Y15-29;ES61;ACTIVOS;467.22435;M
2008;F;46944;Y30-44;ES61;ACTIVOS;715.76691;M
2008;F;46944;Y45-64;ES61;ACTIVOS;406.8826825;M
2008;F;46944;Y65-100;ES61;ACTIVOS;8.9242725;M
2008;F;46944;TOTAL;ES61;ACTIVOS;1598.798215;M
2008;_T;46925;Y15-29;ES61;ACTIVOS;907.8066475;M
2008;_T;46925;Y30-44;ES61;ACTIVOS;1481.108935;M
2008;_T;46925;Y45-64;ES61;ACTIVOS;1046.9343975;M
2008;_T;46925;Y65-100;ES61;ACTIVOS;18.68857;M
2008;_T;46925;TOTAL;ES61;ACTIVOS;3454.53855;M
2008;_T;46943;Y15-29;ES61;ACTIVOS;130.23298;M
2008;_T;46943;Y30-44;ES61;ACTIVOS;195.7263475;M
2008;_T;46943;Y45-64;ES61;ACTIVOS;60.2525675;M
2008;_T;46943;Y65-100;ES61;ACTIVOS;1.19718;M
2008;_T;46943;TOTAL;ES61;ACTIVOS;387.409075;M
2008;_T;46944;Y15-29;ES61;ACTIVOS;1038.0396275;M
2008;_T;46944;Y30-44;ES61;ACTIVOS;1676.8352825;M
2008;_T;46944;Y45-64;ES61;ACTIVOS;1107.186965;M
2008;_T;46944;Y65-100;ES61;ACTIVOS;19.88575;M
2008;_T;46944;TOTAL;ES61;ACTIVOS;3841.947625;M
2009;M;46925;Y15-29;ES61;ACTIVOS;470.663775;M
2009;M;46925;Y30-44;ES61;ACTIVOS;860.0420425;M
2009;M;46925;Y45-64;ES61;ACTIVOS;688.1068125;M
2009;M;46925;Y65-100;ES61;ACTIVOS;10.801175;M
