ID;NAME;DESCRIPTION;PARENTCODE;ORDER
2461;(14059) San Sebastián de los Ballesteros;San Sebastián de los Ballesteros;ES613;231
2462;(14060) Santaella;Santaella;ES613;232
2463;(14061) Santa Eufemia;Santa Eufemia;ES613;233
2464;(14062) Torrecampo;Torrecampo;ES613;234
2465;(14063) Valenzuela;Valenzuela;ES613;235
2466;(14064) Valsequillo;Valsequillo;ES613;236
2467;(14065) Victoria (La);Victoria (La);ES613;237
2468;(14066) Villa del Río;Villa del Río;ES613;238
2469;(14067) Villafranca de Córdoba;Villafranca de Córdoba;ES613;239
2470;(14068) Villaharta;Villaharta;ES613;240
2471;(14069) Villanueva de Córdoba;Villanueva de Córdoba;ES613;241
2472;(14070) Villanueva del Duque;Villanueva del Duque;ES613;242
2473;(14071) Villanueva del Rey;Villanueva del Rey;ES613;243
2474;(14072) Villaralto;Villaralto;ES613;244
2475;(14073) Villaviciosa de Córdoba;Villaviciosa de Córdoba;ES613;245
2476;(14074) Viso (El);Viso (El);ES613;246
2477;(14075) Zuheros;Zuheros;ES613;247
2479;(14NC) Municipio de Córdoba sin especificar;Municipio de Córdoba sin especificar;ES613;248
2684;(18500) Acequias;Acequias;ES614;247
2483;(18001) Agrón;Agrón;ES614;248
2484;(18002) Alamedilla;Alamedilla;ES614;249
2485;(18003) Albolote;Albolote;ES614;250
2486;(18004) Albondón;Albondón;ES614;251
2487;(18005) Albuñán;Albuñán;ES614;252
2488;(18006) Albuñol;Albuñol;ES614;253
2489;(18007) Albuñuelas;Albuñuelas;ES614;254
2491;(18008) Alcázar y Bargis;Alcázar y Bargis;ES614;255
2492;(18009) Alcudia de Guadix;Alcudia de Guadix;ES614;257
2493;(18010) Aldeire;Aldeire;ES614;258
2494;(18011) Alfacar;Alfacar;ES614;259
2495;(18012) Algarinejo;Algarinejo;ES614;260
2496;(18013) Alhama de Granada;Alhama de Granada;ES614;261
2497;(18014) Alhendín;Alhendín;ES614;262
2498;(18015) Alicún de Ortega;Alicún de Ortega;ES614;263
2499;(18016) Almegíjar;Almegíjar;ES614;264
2500;(18017) Almuñécar;Almuñécar;ES614;265
2699;(18904) Alpujarra de la Sierra;Alpujarra de la Sierra;ES614;266
2501;(18018) Alquife;Alquife;ES614;267
2502;(18019) Ambroz;Ambroz;ES614;268
2503;(18020) Arenas del Rey;Arenas del Rey;ES614;269
2504;(18021) Armilla;Armilla;ES614;270
2505;(18022) Atarfe;Atarfe;ES614;271
2685;(18502) Bayacas;Bayacas;ES614;272
2506;(18023) Baza;Baza;ES614;273
2507;(18024) Beas de Granada;Beas de Granada;ES614;274
2508;(18025) Beas de Guadix;Beas de Guadix;ES614;275
2509;(18026) Belicena;Belicena;ES614;276
2511;(18027) Benalúa;Benalúa;ES614;277
2512;(18028) Benalúa de las Villas;Benalúa de las Villas;ES614;279
2513;(18029) Benamaurel;Benamaurel;ES614;280
2514;(18030) Bérchules;Bérchules;ES614;281
2515;(18031) Béznar;Béznar;ES614;282
2516;(18032) Bubión;Bubión;ES614;283
2517;(18033) Busquístar;Busquístar;ES614;284
2518;(18034) Cacín;Cacín;ES614;285
2519;(18035) Cádiar;Cádiar;ES614;286
2520;(18036) Cájar;Cájar;ES614;287
2601;(18114) Calahorra (La);Calahorra (La);ES614;288
2521;(18037) Calicasas;Calicasas;ES614;290
2522;(18038) Campotéjar;Campotéjar;ES614;291
2523;(18039) Caniles;Caniles;ES614;292
2524;(18040) Cáñar;Cáñar;ES614;293
2525;(18041) Caparacena;Caparacena;ES614;294
2526;(18042) Capileira;Capileira;ES614;295
2527;(18043) Carataunas;Carataunas;ES614;296
